N	2gram	Tiupa_Disk_1	UchenyiS
1	и в	16	14
2	а не	22	10
3	не только	28	10
4	и не	11	8
5	прежде всего	11	8
6	то что	5	7
7	в этом	15	7
8	не может	9	7
9	может быть	17	6
10	хотя бы	3	5
11	то же	7	5
12	но и	14	4
13	в этой	2	4
14	в их	5	4
15	с другой	10	4
16	но в	8	3
17	как и	16	3
18	все же	3	3
19	не следует	2	3
20	в своей	5	3
21	в частности	9	3
22	же время	4	3
23	другой стороны	3	3
24	для него	4	3
25	это не	3	3
26	в то	3	3
27	не как	4	3
28	и т.д	4	3
29	том что	19	2
30	но не	11	2
31	в том	23	2
32	с его	4	2
33	не есть	2	2
34	крайней мере	2	2
35	не в	7	2
36	о чем	2	2
37	только в	7	2
38	тем что	3	2
39	могут быть	4	2
40	что он	4	2
41	в себе	7	2
42	же самое	2	2
43	к области	2	2
44	этого термина	2	2
45	по композиции	5	2
46	в самом	3	2
47	в сторону	4	2
48	по себе	3	2
49	а о	2	2
50	сводится к	5	2
51	одним из	2	2
52	не приходится	2	2
53	по крайней	2	2
54	что и	3	2
55	в его	7	2
56	более чем	2	2
57	между тем	4	2
58	таким образом	3	2
59	это было	2	2
