N	2gram	Tiupa_Vved_1	Vladivir
1	и в	13	31
2	не только	20	24
3	а к	3	22
4	но и	19	19
5	то что	6	18
6	и не	12	17
7	том что	7	14
8	что в	3	14
9	в этом	21	14
10	и с	2	14
11	по поводу	2	12
12	в его	4	12
13	но в	6	12
14	в том	10	11
15	потому что	5	11
16	о том	5	11
17	также и	4	10
18	он не	3	10
19	никогда не	4	9
20	как мы	3	9
21	а в	6	9
22	только в	6	9
23	и по	3	8
24	в то	4	8
25	для него	3	7
26	об этом	4	7
27	как раз	2	7
28	и его	5	7
29	он и	2	6
30	к этому	2	6
31	и к	2	6
32	можно сказать	4	6
33	в качестве	8	6
34	может быть	18	6
35	в котором	8	6
36	так и	8	6
37	не может	7	6
38	то же	5	6
39	то он	2	6
40	а с	2	5
41	не в	6	5
42	и от	2	5
43	а также	8	5
44	что и	2	5
45	жизни и	7	5
46	что же	3	5
47	не было	2	5
48	в своих	2	5
49	с ним	3	5
50	же время	3	4
51	в своем	5	4
52	и все	4	4
53	в нем	5	4
54	для нас	2	4
55	в себе	5	4
56	как и	11	4
57	мы и	2	4
58	по своей	3	4
59	такого рода	16	4
60	никак не	2	4
61	хотя и	7	4
62	еще в	2	4
63	один из	3	4
64	в нашем	6	4
65	в своей	5	4
66	в этот	2	4
67	как он	2	4
68	этот раз	2	4
69	но на	2	3
70	к тому	6	3
71	отнюдь не	7	3
72	с другой	5	3
73	в жизни	4	3
74	как в	4	3
75	но не	5	3
76	но это	3	3
77	более или	2	3
78	по своему	2	3
79	все же	6	3
80	в целом	3	3
81	отношение к	2	3
82	на него	2	3
83	или менее	2	3
84	по своим	3	3
85	другой стороны	2	3
86	таким образом	4	3
87	о которой	2	3
88	уже не	5	3
89	свидетельствует о	4	3
90	едва ли	3	3
91	и на	3	3
92	что касается	5	3
93	это время	2	3
94	к его	3	3
95	в начале	3	3
96	здесь не	2	3
97	то есть	8	3
98	место в	2	2
99	тем что	2	2
100	не менее	4	2
101	в частности	13	2
102	она была	2	2
103	в них	2	2
104	не столько	4	2
105	тем не	3	2
106	тому же	4	2
107	все что	3	2
108	не имели	2	2
109	еще не	7	2
110	при этом	26	2
111	того что	6	2
112	было бы	4	2
113	что на	2	2
114	в самом	2	2
115	том чтобы	2	2
116	одним из	5	2
117	этом и	2	2
118	всей его	2	2
119	со стороны	5	2
120	то и	2	2
121	и для	3	2
122	начиная с	3	2
123	лишь в	2	2
124	письма к	2	2
125	тем самым	5	2
126	что мы	2	2
127	что такое	18	2
128	времени в	3	2
129	в результате	3	2
130	пока еще	4	2
131	из этих	3	2
132	о котором	2	2
