N	2gram	Berdyaev_O_1	Problemy
1	и в	19	35
2	из подполья	11	35
3	как бы	3	31
4	и не	13	27
5	что он	3	24
6	в его	7	21
7	но в	2	19
8	не может	4	18
9	как и	6	18
10	в нем	10	16
11	и все	10	15
12	но и	13	14
13	для него	5	14
14	может быть	11	14
15	все это	6	14
16	и его	4	14
17	в этом	12	14
18	к нему	3	13
19	он не	7	13
20	у достоевского	19	12
21	прежде всего	9	12
22	и с	2	12
23	и к	2	12
24	в другом	2	12
25	не в	11	10
26	не только	11	10
27	то что	5	10
28	так и	2	8
29	потому что	9	8
30	все же	2	8
31	и для	2	8
32	лишь в	7	7
33	а в	5	7
34	с ним	3	7
35	с его	4	7
36	еще не	3	7
37	что же	2	7
38	он сам	4	6
39	что в	4	6
40	что они	2	6
41	отношение к	5	6
42	в самом	5	6
43	что у	2	6
44	и на	2	6
45	от него	7	6
46	в том	5	5
47	так что	2	5
48	как к	2	5
49	в романах	4	5
50	и то	2	5
51	в себе	3	5
52	никогда не	9	4
53	романах достоевского	3	4
54	до конца	7	4
55	и вот	3	4
56	но он	7	4
57	его в	2	4
58	так как	2	4
59	человек и	4	4
60	у него	22	4
61	по себе	2	4
62	ивана карамазова	7	4
63	в своей	2	4
64	а не	11	4
65	что не	4	4
66	тем что	2	4
67	он в	2	4
68	в творчестве	5	4
69	уже в	2	3
70	и от	3	3
71	совсем не	2	3
72	и мысли	4	3
73	все эти	4	3
74	записок из	5	3
75	того что	3	3
76	должно быть	2	3
77	это не	3	3
78	сказать что	2	3
79	даже и	2	3
80	с тем	2	3
81	него и	4	3
82	в ее	2	3
83	том что	2	3
84	достоевского нет	2	3
85	было бы	3	3
86	достоевского в	3	3
87	что и	2	3
88	героев достоевского	2	3
89	когда он	3	3
90	ничего не	2	3
91	в душе	2	2
92	в этих	3	2
93	что все	2	2
94	вопрос о	10	2
95	хотя и	2	2
96	в своем	2	2
97	достоевского и	5	2
98	к ней	2	2
99	для достоевского	5	2
100	о том	3	2
101	и ни	2	2
102	в этот	2	2
103	ивана и	2	2
104	его мысли	4	2
105	и он	8	2
106	хотя бы	3	2
107	иван карамазов	2	2
108	в которой	2	2
109	самое главное	2	2
110	в записках	3	2
111	много раз	2	2
112	это было	3	2
