N	2gram	Nazirov_Tr_1	Problema
1	и не	7	28
2	то есть	3	27
3	не только	8	24
4	в виде	2	22
5	в том	2	20
6	и в	18	20
7	ни в	2	17
8	не просто	2	16
9	все эти	3	16
10	то что	4	15
11	потому что	2	15
12	но и	4	14
13	перед нами	2	13
14	не в	2	13
15	в себе	4	12
16	том что	4	12
17	прежде всего	4	11
18	как будто	3	11
19	отнюдь не	3	10
20	так и	5	10
21	и его	6	10
22	может быть	7	9
23	все это	4	9
24	и даже	4	9
25	в этом	9	9
26	что он	6	8
27	и все	4	8
28	но в	6	8
29	это не	5	7
30	еще не	4	7
31	то же	5	7
32	и с	7	7
33	об этом	4	6
34	так что	2	6
35	как и	5	6
36	но это	4	6
37	при этом	3	6
38	в таком	2	6
39	в данном	2	6
40	в нем	4	5
41	в ее	2	5
42	данном случае	2	5
43	как в	3	5
44	так же	4	5
45	то и	2	5
46	не может	5	5
47	уже не	2	5
48	о том	2	5
49	уже в	3	4
50	с тем	2	4
51	у достоевского	5	4
52	в одном	2	4
53	и ее	2	4
54	в этой	4	4
55	тем самым	3	4
56	несмотря на	5	4
57	что она	2	4
58	как бы	7	4
59	не имеет	2	4
60	жизнь и	3	4
61	в то	5	4
62	с ним	3	4
63	к тому	2	3
64	это уже	2	3
65	точно так	2	3
66	он был	2	3
67	для него	3	3
68	и как	3	3
69	но все	2	3
70	в его	3	3
71	только к	2	3
72	не так	2	3
73	что и	2	3
74	что в	4	3
75	бы и	2	3
76	в своем	3	3
77	даже если	2	3
78	к нему	3	3
79	тут же	2	3
80	и на	7	3
81	тем что	2	3
82	как это	3	3
83	для искусства	2	3
84	но они	2	2
85	в частности	2	2
86	столь же	2	2
87	в конце	3	2
88	с его	2	2
89	как же	2	2
90	говорит что	2	2
91	в это	2	2
92	нет в	2	2
93	что это	5	2
94	в самом	2	2
95	он не	2	2
96	никто не	3	2
97	все же	5	2
98	с ее	3	2
99	говорит о	2	2
100	но эта	2	2
101	и что	4	2
102	и он	3	2
103	друг друга	2	2
104	и то	2	2
105	его в	2	2
106	и это	2	2
