N	2gram	Tiupa_Disk_1	Vladivir
1	и в	16	31
2	в году	2	30
3	не только	28	24
4	но и	14	19
5	то что	5	18
6	и не	11	17
7	и даже	3	15
8	том что	19	14
9	что в	4	14
10	в этом	15	14
11	что он	4	12
12	в его	7	12
13	но в	8	12
14	с его	4	11
15	в том	23	11
16	потому что	4	11
17	о том	8	11
18	также и	3	10
19	никогда не	2	9
20	как мы	2	9
21	а в	5	9
22	только в	7	9
23	и по	2	8
24	в то	3	8
25	уже в	2	7
26	для него	4	7
27	об этом	2	7
28	о нем	2	7
29	и его	2	7
30	сказать что	3	7
31	к этому	2	6
32	и к	4	6
33	можно сказать	5	6
34	в качестве	34	6
35	того же	3	6
36	и потому	3	6
37	может быть	17	6
38	в котором	5	6
39	так и	8	6
40	не может	9	6
41	то же	7	6
42	и что	2	6
43	разного рода	2	6
44	это было	2	6
45	а с	5	5
46	не в	7	5
47	но как	2	5
48	а также	8	5
49	что и	3	5
50	когда он	2	5
51	что же	2	5
52	не было	7	5
53	в своих	3	5
54	же время	4	4
55	в своем	6	4
56	же касается	2	4
57	и все	2	4
58	в нем	9	4
59	в себе	7	4
60	и вообще	2	4
61	как и	16	4
62	и как	6	4
63	в этой	2	4
64	по своей	11	4
65	такого рода	4	4
66	хотя и	2	4
67	еще в	3	4
68	один из	3	4
69	себя в	2	4
70	в своей	5	4
71	в истории	4	4
72	мысли и	2	4
73	в особенности	4	4
74	к тому	5	3
75	отнюдь не	8	3
76	с другой	10	3
77	как в	10	3
78	но не	11	3
79	более или	2	3
80	по своему	3	3
81	за пределы	2	3
82	все же	3	3
83	на его	4	3
84	в целом	4	3
85	отношение к	4	3
86	или менее	2	3
87	по своим	4	3
88	другой стороны	3	3
89	таким образом	3	3
90	уже не	4	3
91	свидетельствует о	2	3
92	в науке	2	3
93	и он	2	3
94	едва ли	2	3
95	и на	5	3
96	что касается	2	3
97	на себя	2	3
98	к его	2	3
99	в начале	2	3
100	то есть	20	3
101	во мне	3	2
102	в момент	2	2
103	тем что	3	2
104	не менее	2	2
105	в частности	9	2
106	в них	4	2
107	хотя бы	3	2
108	указывает на	2	2
109	в тех	2	2
110	тем кто	2	2
111	одной из	4	2
112	но зато	2	2
113	тому же	5	2
114	особого рода	2	2
115	на этом	2	2
116	что с	2	2
117	своего времени	2	2
118	еще не	14	2
119	при этом	13	2
120	того что	3	2
121	в самом	3	2
122	для своего	2	2
123	ему в	2	2
124	обратить внимание	2	2
125	том чтобы	2	2
126	и о	4	2
127	одним из	2	2
128	для себя	4	2
129	из них	3	2
130	дело не	2	2
131	всей его	2	2
132	со стороны	7	2
133	так например	2	2
134	как к	2	2
135	лишь в	4	2
136	времени в	2	2
137	а по	2	2
138	пока еще	6	2
139	во всяком	2	2
140	точки зрения	3	2
141	к себе	2	2
142	о котором	2	2
