N	2gram	Medvedev_F_1	SlovoVZh
1	не может	16	16
2	точки зрения	16	14
3	может быть	14	14
4	и его	10	13
5	как бы	6	13
6	таким образом	13	12
7	и в	24	12
8	в нашем	2	11
9	отношению к	4	11
10	по отношению	4	11
11	и не	20	10
12	если бы	4	9
13	прежде всего	22	8
14	художественного произведения	23	7
15	в нем	14	6
16	все время	2	6
17	в процессе	9	6
18	при этом	5	6
19	с помощью	3	6
20	в том	6	6
21	только в	2	6
22	в ней	10	6
23	художественной формы	2	5
24	и др	5	5
25	в жизни	3	5
26	то что	8	5
27	должна быть	7	5
28	никогда не	4	5
29	а не	10	5
30	то же	10	5
31	хотя бы	5	5
32	как и	11	5
33	отнюдь не	6	5
34	как в	8	5
35	но в	5	5
36	мы ни	2	5
37	и к	4	4
38	ни было	2	4
39	все же	3	4
40	отношение к	3	4
41	жизни и	7	4
42	так и	18	4
43	от того	2	4
44	с другой	5	4
45	на самом	7	4
46	уже не	2	4
47	в литературе	5	4
48	как если	2	4
49	социального общения	6	4
50	зависимости от	3	4
51	литературы и	2	4
52	не в	8	4
53	в этом	15	4
54	и на	8	4
55	материала и	3	4
56	его в	3	4
57	в самом	5	4
58	за пределы	2	4
59	и является	2	4
60	не только	7	4
61	в них	3	3
62	отношении к	2	3
63	точка зрения	2	3
64	и более	2	3
65	бы то	3	3
66	не менее	11	3
67	когда он	3	3
68	в художественном	3	3
69	в своей	11	3
70	быть и	4	3
71	сих пор	6	3
72	теоретической поэтики	3	3
73	художественное произведение	6	3
74	все это	9	3
75	социальной группы	4	3
76	как к	3	3
77	не должна	7	3
78	то ни	3	3
79	в содержание	2	3
80	все эти	6	3
81	ясно что	3	3
82	по себе	5	3
83	но и	7	3
84	произведения и	8	3
85	и пр	17	3
86	того что	5	3
87	и наконец	3	3
88	художественном произведении	3	3
89	ни в	2	3
90	поэтического произведения	3	3
91	он должен	3	3
92	так же	4	3
93	самом деле	6	3
94	мы не	3	3
95	социологической поэтики	15	3
96	формы и	5	3
97	и с	8	3
98	и ее	10	3
99	в себе	3	3
100	для него	3	3
101	до сих	6	3
102	в пределах	6	3
103	еще не	6	3
104	только на	5	3
105	конечно не	4	3
106	здесь не	3	3
107	с ним	2	3
108	но для	3	3
109	между тем	2	3
110	истории литературы	12	2
111	место в	7	2
112	перестает быть	3	2
113	с этой	4	2
114	с его	4	2
115	что и	2	2
116	в душе	2	2
117	в настоящее	10	2
118	независимо от	4	2
119	но все	2	2
120	от всех	3	2
121	что в	4	2
122	на все	3	2
123	вместе с	2	2
124	значения и	2	2
125	в зависимости	2	2
126	на него	2	2
127	в своем	11	2
128	в отношении	3	2
129	социальной жизни	11	2
130	это не	2	2
131	влияние на	3	2
132	и все	6	2
133	в особенности	3	2
134	с одной	4	2
135	была бы	2	2
136	социальной среды	2	2
137	и что	2	2
138	данного коллектива	2	2
139	искусства и	5	2
140	ко всем	2	2
141	бы оно	2	2
142	не есть	2	2
143	несколько подробнее	2	2
144	не так	2	2
145	с точки	13	2
146	и здесь	6	2
147	его как	3	2
148	как на	4	2
149	стороны и	4	2
150	и те	2	2
151	с другими	4	2
152	для других	2	2
153	но это	3	2
154	более того	3	2
155	социологический метод	5	2
156	но не	3	2
157	в формах	4	2
158	до конца	7	2
159	она не	6	2
160	в то	9	2
161	одной стороны	4	2
162	настоящее время	10	2
163	ни на	3	2
164	литературы с	3	2
165	метод в	4	2
166	общения и	2	2
167	если же	2	2
168	оно не	4	2
169	кругозора и	3	2
170	идеологического творчества	9	2
171	как это	6	2
172	является для	2	2
173	ничего не	2	2
174	он не	3	2
175	в основном	3	2
176	в его	23	2
177	и потому	9	2
178	между ними	3	2
