N	2gram	Ircho_Kome_3	VrazhdaK
1	не только	5	9
2	в этом	8	8
3	и что	6	8
4	и в	22	8
5	но и	4	7
6	что в	5	7
7	то что	4	7
8	и все	2	7
9	в котором	2	6
10	в нем	3	6
11	все же	4	6
12	и даже	3	6
13	как и	3	6
14	в начале	3	6
15	но в	5	6
16	и с	4	6
17	то же	7	5
18	не было	2	5
19	и не	21	5
20	у него	4	5
21	об этом	7	5
22	между тем	2	5
23	в то	6	5
24	же время	5	5
25	уже в	2	4
26	как бы	3	4
27	все это	5	4
28	целый ряд	2	4
29	это не	2	4
30	что он	8	4
31	так же	4	4
32	с ним	5	4
33	х годов	2	4
34	в своих	2	4
35	может быть	6	4
36	при этом	7	4
37	несмотря на	4	4
38	о том	8	4
39	в ней	4	4
40	в виду	2	4
41	речь идет	5	3
42	с его	3	3
43	связи с	5	3
44	в своем	8	3
45	и во	2	3
46	в связи	4	3
47	в конце	7	3
48	т е	16	3
49	к этому	6	3
50	человека в	2	3
51	на то	3	3
52	он был	4	3
53	в том	12	3
54	раз в	2	3
55	и его	6	3
56	том что	13	3
57	тем что	5	3
58	в его	8	3
59	далеко не	3	3
60	его в	8	3
61	наряду с	2	3
62	и о	2	3
63	одним из	2	3
64	он не	5	3
65	в своей	5	2
66	и это	2	2
67	после этого	2	2
68	из них	5	2
69	не менее	5	2
70	никогда не	3	2
71	вместе с	9	2
72	отнюдь не	4	2
73	в них	3	2
74	столь же	3	2
75	как раз	6	2
76	что к	4	2
77	не может	3	2
78	по мнению	2	2
79	а в	7	2
80	отношения к	2	2
81	таким образом	12	2
82	это в	2	2
83	о которой	2	2
84	к себе	5	2
85	этот человек	2	2
86	не мог	2	2
87	и он	2	2
88	мы знаем	2	2
89	с точки	3	2
90	в глазах	8	2
91	тем более	4	2
92	в этой	3	2
93	их в	3	2
94	точки зрения	4	2
95	в свою	7	2
96	и ее	2	2
97	в себе	4	2
98	отношение к	5	2
99	еще не	6	2
100	во время	6	2
101	о чем	7	2
102	на это	3	2
103	его на	2	2
104	в мире	2	2
105	к ним	3	2
106	а также	2	2
