N	2gram	Voloshinov_1	Istorich
1	не только	4	18
2	может быть	14	17
3	никогда не	5	15
4	и в	12	15
5	мы имеем	2	15
6	но и	3	14
7	так как	9	14
8	так же	3	13
9	что в	2	12
10	то что	5	12
11	в этих	2	11
12	и не	10	11
13	в этом	4	11
14	его в	4	10
15	то же	5	10
16	еще не	3	9
17	все же	4	9
18	и здесь	2	9
19	он не	2	8
20	мы можем	2	8
21	том что	5	7
22	и пр	3	7
23	в нем	6	7
24	вместе с	2	7
25	сих пор	3	7
26	таким образом	12	7
27	не в	4	7
28	ничего не	2	7
29	до сих	3	6
30	в его	2	6
31	как бы	13	6
32	что и	2	6
33	и что	2	6
34	в том	6	6
35	только в	6	6
36	но в	5	6
37	прежде всего	8	5
38	но все	2	5
39	как в	5	5
40	она не	2	5
41	в котором	3	5
42	на него	2	5
43	так и	4	5
44	не может	16	5
45	а не	5	5
46	и наконец	3	5
47	к нему	4	5
48	имеем в	2	5
49	можно найти	2	5
50	с одной	2	4
51	и другие	2	4
52	и др	5	4
53	для нас	7	4
54	но это	2	4
55	при этом	6	4
56	в ней	6	4
57	связь с	2	4
58	со всех	2	4
59	и с	3	4
60	и на	4	4
61	в себе	3	4
62	все эти	3	4
63	и его	13	3
64	как это	2	3
65	одной стороны	2	3
66	о том	3	3
67	отношению к	11	3
68	когда он	3	3
69	все это	3	3
70	по отношению	11	3
71	в себя	2	3
72	того что	3	3
73	мы не	3	3
74	что мы	5	3
75	уже в	2	2
76	зависит от	2	2
77	и более	3	2
78	могут быть	2	2
79	он должен	3	2
80	себя и	2	2
81	с другой	4	2
82	это не	2	2
83	и так	2	2
84	в жизни	5	2
85	на самом	4	2
86	ни в	3	2
87	да и	3	2
88	в основном	2	2
89	как и	5	2
90	такой же	2	2
91	но не	2	2
92	кроме того	2	2
93	мы в	2	2
94	и для	3	2
95	на один	2	2
96	и дает	2	2
97	хотя бы	5	2
98	к материалу	4	2
99	в некоторых	3	2
100	другой стороны	2	2
101	самом деле	3	2
102	и герой	3	2
103	и по	3	2
104	и вполне	2	2
105	с другими	2	2
106	и то	2	2
107	сказать что	7	2
108	и ее	3	2
109	нет ничего	2	2
110	здесь не	3	2
111	в особенности	2	2
112	тому же	2	2
113	в виду	5	2
114	из него	2	2
