N	2gram	Vygotskiy__1	VelikijI
1	и не	9	20
2	и в	23	16
3	то что	17	9
4	так как	7	9
5	что они	3	7
6	и потому	2	7
7	а не	3	7
8	человека и	3	6
9	хотя и	2	5
10	как бы	11	5
11	но и	14	5
12	все это	6	5
13	того что	15	5
14	что все	4	4
15	и я	2	4
16	что он	7	4
17	как и	14	4
18	что мы	5	4
19	в котором	4	4
20	так и	5	4
21	мы хотим	2	4
22	потому что	6	4
23	в этом	17	4
24	говорить о	2	4
25	и все	5	4
26	в его	14	4
27	с его	4	3
28	если не	3	3
29	что в	14	3
30	в этих	2	3
31	в них	2	3
32	превращается в	3	3
33	в конце	2	3
34	ни в	4	3
35	в том	24	3
36	не в	4	3
37	и мы	3	3
38	к тому	4	3
39	во всех	3	3
40	никогда не	2	3
41	жизни и	2	3
42	в своей	4	3
43	бы и	2	3
44	тому что	5	3
45	лишь в	6	3
46	и что	5	3
47	не имеет	2	3
48	хотя бы	4	3
49	должно быть	2	3
50	их в	4	3
51	от этого	2	3
52	все эти	4	3
53	в чем	4	3
54	но в	5	3
55	с тем	7	2
56	прежде всего	10	2
57	том что	21	2
58	мы и	3	2
59	но не	4	2
60	не к	2	2
61	для него	2	2
62	того чтобы	17	2
63	вместо того	2	2
64	вслед за	2	2
65	не только	16	2
66	значения и	2	2
67	не могли	2	2
68	один из	2	2
69	не с	2	2
70	ее в	2	2
71	всего в	2	2
72	а с	4	2
73	тем что	6	2
74	мы не	7	2
75	уже не	2	2
76	вот почему	2	2
77	его не	3	2
78	а в	2	2
79	можно было	3	2
80	и то	3	2
81	между тем	9	2
82	могут быть	3	2
83	только в	6	2
84	и это	3	2
85	во всяком	3	2
86	которые не	3	2
