N	2gram	Berdyaev_O_1	RusskieA
1	и в	19	36
2	не только	11	22
3	что в	4	19
4	том что	2	19
5	в том	5	17
6	т е	4	17
7	но и	13	16
8	так как	2	15
9	в этом	12	12
10	в других	2	11
11	в этот	2	10
12	это не	3	10
13	как и	6	10
14	и на	2	10
15	потому что	9	10
16	а в	5	9
17	с тем	2	8
18	может быть	11	8
19	о том	3	8
20	что они	2	7
21	что и	2	7
22	так и	2	7
23	и не	13	6
24	все это	6	6
25	не имеет	2	6
26	то что	5	6
27	все же	2	5
28	как бы	3	5
29	одно из	2	5
30	к этому	2	4
31	еще не	3	4
32	в россии	5	4
33	не может	4	4
34	того что	3	4
35	тем что	2	4
36	в этих	3	3
37	в своем	2	3
38	и к	2	3
39	русского народа	2	3
40	и из	2	3
41	ничего не	2	3
42	не было	9	2
43	могут быть	3	2
44	что у	2	2
45	за все	2	2
46	и потому	2	2
47	их не	2	2
48	в нем	10	2
49	у него	22	2
50	он был	8	2
51	так что	2	2
52	на западе	2	2
53	до конца	7	2
54	чем в	2	2
55	когда он	3	2
56	в его	7	2
57	подойти к	2	2
58	и с	2	2
59	природы и	2	2
60	все эти	4	2
61	а не	11	2
62	и для	2	2
63	с ним	3	2
64	в своих	3	2
65	хотя и	2	2
66	к ней	2	2
67	но в	2	2
