N	3gram	Medvedev_F_3	Vvedenie
1	и т д	6	36
2	для того чтобы	4	20
3	в том что	3	12
4	тем не менее	2	8
5	не может быть	14	8
6	в этом смысле	2	8
7	то же время	7	6
8	в самом деле	4	6
9	в то же	7	6
10	и т п	5	5
11	с другой стороны	5	5
12	в данном случае	4	4
13	в этом отношении	3	4
14	во всяком случае	6	4
15	по отношению к	3	4
16	как мы видели	2	3
17	вместе с тем	3	3
18	и со стороны	2	2
19	смысле этого слова	2	2
20	в конце концов	2	2
21	дело в том	2	2
22	с точки зрения	14	2
23	вовсе не в	2	2
24	то же самое	3	2
25	в связи с	4	2
26	подобно тому как	4	2
27	и не могут	3	2
28	мы уже знаем	2	2
29	потому что он	3	2
