N	2gram	Nazirov_Tr_1	Istorich
1	и в	18	25
2	что он	6	22
3	может быть	7	17
4	не только	8	13
5	но и	4	13
6	в его	3	12
7	и не	7	11
8	уже не	2	11
9	все же	5	10
10	в этом	9	10
11	тем что	2	10
12	его в	2	9
13	и его	6	9
14	в виде	2	9
15	с тем	2	8
16	что в	4	8
17	том что	4	8
18	еще не	4	8
19	все эти	3	8
20	и что	4	8
21	и на	7	8
22	в частности	2	7
23	как и	5	7
24	но это	4	7
25	то что	4	7
26	в нем	4	7
27	потому что	2	7
28	и здесь	2	7
29	о том	2	7
30	это не	5	6
31	прежде всего	4	6
32	что и	2	6
33	как в	3	6
34	не может	5	6
35	и он	3	6
36	не в	2	6
37	в том	2	6
38	что это	5	5
39	в образе	6	5
40	но все	2	5
41	так же	4	5
42	что все	2	4
43	в ее	2	4
44	в дальнейшем	5	4
45	в основном	3	4
46	все это	4	4
47	то же	5	4
48	он не	2	4
49	и это	2	4
50	с ним	3	4
51	никогда не	2	3
52	и как	3	3
53	и все	4	3
54	состоит из	2	3
55	в целом	4	3
56	в этой	4	3
57	в то	5	3
58	к нему	3	3
59	друг друга	2	3
60	в данном	2	3
61	и с	7	3
62	никто не	3	3
63	перед нами	2	2
64	уже в	3	2
65	под влиянием	2	2
66	это уже	2	2
67	у него	6	2
68	а как	2	2
69	вопрос о	2	2
70	так что	2	2
71	об этом	4	2
72	одна из	2	2
73	как у	2	2
74	бросается в	2	2
75	в это	2	2
76	и сам	3	2
77	несмотря на	5	2
78	во сне	2	2
79	как бы	7	2
80	еще в	2	2
81	один из	3	2
82	данном случае	2	2
83	говорит о	2	2
84	ее за	2	2
85	что за	3	2
86	что этот	2	2
87	ничего не	2	2
88	о чем	3	2
