N	2gram	Bakhtin_Fr_7	Poddanst
1	не только	5	17
2	и в	41	14
3	и не	7	12
4	в области	2	11
5	в отношении	3	10
6	в этом	15	10
7	то же	13	9
8	в том	11	9
9	в качестве	9	9
10	но в	8	9
11	же время	9	7
12	в то	10	7
13	только в	6	7
14	но и	9	6
15	в ней	5	6
16	было бы	4	6
17	не в	9	5
18	в которых	2	5
19	может быть	4	5
20	же в	2	4
21	то что	8	4
22	что в	9	4
23	в своем	9	4
24	не может	3	4
25	и к	5	4
26	а в	5	4
27	том что	4	4
28	а также	2	4
29	как бы	7	4
30	и потому	3	4
31	в нем	7	3
32	это не	6	3
33	прежде всего	11	3
34	тем самым	3	3
35	с точки	3	3
36	мы не	2	3
37	и как	2	3
38	с ними	3	3
39	точки зрения	5	3
40	в себе	11	3
41	тот же	2	3
42	потому что	5	3
43	хотя и	4	3
44	том числе	4	2
45	в мире	3	2
46	начала и	2	2
47	именно в	2	2
48	и есть	3	2
49	во всех	3	2
50	время в	2	2
51	в них	7	2
52	все это	10	2
53	во всей	2	2
54	в недрах	2	2
55	с этим	2	2
56	еще более	2	2
57	и других	2	2
58	и вот	2	2
59	в значительной	2	2
60	а не	2	2
61	того что	2	2
62	должно быть	4	2
63	есть не	2	2
64	есть в	6	2
65	одна из	4	2
66	не было	3	2
67	из них	3	2
68	например в	3	2
69	и это	5	2
70	в его	12	2
71	и с	4	2
