N	2gram	Vinokur_Vv_1	StatiiOP
1	в и	4	130
2	и в	27	44
3	в том	31	36
4	и т	43	30
5	что в	11	30
6	том что	26	29
7	т д	37	21
8	в этом	34	21
9	вовсе не	6	19
10	то что	17	18
11	не только	21	18
12	было бы	5	17
13	а в	5	17
14	о том	15	17
15	и не	13	16
16	а не	3	16
17	т е	38	15
18	может быть	24	15
19	в данном	11	14
20	в области	4	14
21	можно было	7	13
22	не в	8	12
23	в тексте	4	12
24	у нас	2	11
25	в этой	3	11
26	самом деле	6	11
27	того чтобы	21	11
28	точки зрения	7	11
29	ясно что	9	10
30	для того	21	10
31	что он	4	10
32	но и	5	10
33	но в	10	10
34	только в	13	10
35	в отношении	2	9
36	с другой	8	9
37	но также	14	9
38	если бы	2	9
39	в то	5	9
40	как и	5	9
41	того что	12	9
42	т п	5	9
43	во второй	3	9
44	также и	16	9
45	в его	10	9
46	например в	2	8
47	во всех	2	8
48	все же	8	8
49	из них	3	8
50	не может	13	8
51	и его	5	8
52	это не	8	8
53	с точки	2	8
54	но ведь	4	8
55	прежде всего	8	7
56	так например	6	7
57	в самом	12	7
58	сих пор	5	7
59	до сих	5	7
60	другой стороны	5	7
61	таким образом	19	7
62	этом отношении	3	7
63	сказать что	5	7
64	потому что	14	6
65	из этих	5	6
66	так что	5	6
67	что и	3	6
68	в своей	4	6
69	данном случае	5	6
70	со стороны	12	6
71	что же	3	6
72	именно в	8	6
73	в той	7	6
74	во всяком	3	6
75	дело в	3	6
76	хотя бы	5	6
77	всяком случае	3	6
78	не менее	8	5
79	никогда не	3	5
80	так же	3	5
81	данном отношении	2	5
82	что мы	2	5
83	в котором	4	5
84	в нем	13	5
85	в целом	5	5
86	жизни и	2	5
87	xix в	12	5
88	все это	6	5
89	в печати	2	5
90	вряд ли	2	5
91	той же	4	5
92	то же	8	5
93	этой области	3	5
94	и даже	5	5
95	в которых	6	5
96	и то	5	5
97	тем что	6	5
98	могут быть	4	5
99	все эти	3	5
100	так как	13	5
101	на вопрос	6	4
102	в основу	2	4
103	речь идет	2	4
104	что это	3	4
105	в частности	3	4
106	что она	3	4
107	гораздо более	3	4
108	это в	2	4
109	вопрос о	8	4
110	бы и	2	4
111	в ее	11	4
112	же время	5	4
113	но все	3	4
114	тем более	2	4
115	должна была	2	4
116	и что	4	4
117	том отношении	3	4
118	в качестве	7	4
119	как раз	4	4
120	но если	3	4
121	как бы	5	4
122	дело не	3	4
123	и сейчас	2	4
124	д но	5	4
125	заключается в	4	4
126	во втором	2	4
127	не имеет	4	4
128	научной работы	3	4
129	языка и	12	4
130	этот вопрос	4	4
131	как будто	3	4
132	как это	5	4
133	не существует	2	3
134	по этому	2	3
135	тому что	2	3
136	в какой	4	3
137	же касается	2	3
138	и с	2	3
139	с этой	4	3
140	в конце	3	3
141	в применении	6	3
142	должна быть	2	3
143	в каждом	4	3
144	так называемая	2	3
145	в тех	2	3
146	же это	2	3
147	материал для	3	3
148	в г	5	3
149	да и	4	3
150	не трудно	7	3
151	об этом	5	3
152	в начале	3	3
153	же как	3	3
154	чем в	3	3
155	но не	7	3
156	того же	3	3
157	и без	2	3
158	еще не	4	3
159	что не	5	3
160	своего рода	3	3
161	и для	4	3
162	в ней	3	3
163	из двух	2	3
164	должен быть	4	3
165	и тем	5	3
166	то это	3	3
167	отношению к	4	3
168	из истории	2	3
169	ни с	2	3
170	в истории	9	3
171	говорит о	3	3
172	а именно	6	3
173	по меньшей	2	3
174	внимание на	4	3
175	по отношению	4	3
176	меньшей мере	2	3
177	в виде	4	3
178	с одной	4	3
179	что оно	2	3
180	но с	4	3
181	о которой	2	3
182	применении к	6	3
183	на этот	4	3
184	в очень	3	3
185	в чем	4	3
186	культуры в	5	3
187	в результате	3	3
188	работы в	3	3
189	в другом	3	3
190	и вообще	3	3
191	будто бы	2	3
192	ответ на	3	3
193	если это	2	3
194	между тем	8	3
195	с этим	2	3
196	истории литературы	3	2
197	дело что	2	2
198	уже в	5	2
199	совсем не	3	2
200	а как	3	2
201	нисколько не	3	2
202	и творчества	2	2
203	в этих	3	2
204	даже и	3	2
205	в своем	3	2
206	как о	4	2
207	вообще не	3	2
208	хотя в	2	2
209	по крайней	4	2
210	для которых	3	2
211	по истории	2	2
212	быть в	4	2
213	смысле этого	8	2
214	крайней мере	4	2
215	этом случае	6	2
216	по существу	2	2
217	при этом	3	2
218	быть и	2	2
219	что с	3	2
220	одной стороны	4	2
221	и сам	2	2
222	несмотря на	2	2
223	отношении что	3	2
224	в сущности	3	2
225	а также	3	2
226	свое время	2	2
227	этого слова	2	2
228	с историей	3	2
229	так называемой	3	2
230	что нет	2	2
231	и уже	3	2
232	тем не	8	2
233	в первом	5	2
234	отношение к	3	2
235	такого рода	2	2
236	ответа на	2	2
237	этой работы	3	2
238	и тогда	3	2
239	для этого	3	2
240	в свое	2	2
241	история литературы	2	2
242	еще и	3	2
243	о них	2	2
244	а потому	3	2
245	из того	2	2
246	так или	4	2
247	есть только	2	2
248	по его	2	2
249	другом месте	2	2
250	и те	2	2
251	мы не	2	2
252	или иначе	4	2
253	ничего не	2	2
254	в своих	2	2
255	дело с	6	2
256	от этого	5	2
257	одно из	5	2
258	мере в	4	2
259	в себе	4	2
260	говорить о	3	2
261	о котором	8	2
262	что здесь	2	2
263	этому поводу	2	2
264	его в	6	2
265	при помощи	2	2
266	и это	6	2
267	к нему	2	2
268	должен был	4	2
269	только с	3	2
270	или же	3	2
271	а если	2	2
272	мы имеем	3	2
273	е в	4	2
