N	2gram	Vinokur_Vv_1	RusskieA
1	и в	27	36
2	не только	21	22
3	что в	11	19
4	том что	26	19
5	в том	31	17
6	т е	38	17
7	в и	4	17
8	но и	5	16
9	так как	13	15
10	xix в	12	13
11	в этом	34	12
12	в этот	2	10
13	это не	8	10
14	как мы	9	10
15	как и	5	10
16	и т	43	10
17	вместе с	6	10
18	и на	3	10
19	потому что	14	10
20	об этом	5	9
21	т д	37	9
22	а в	5	9
23	с тем	6	8
24	состоит в	2	8
25	у нас	2	8
26	из них	3	8
27	может быть	24	8
28	один из	6	8
29	е в	4	8
30	о том	15	8
31	как это	5	8
32	что и	3	7
33	и других	3	7
34	между тем	8	7
35	представляют собой	6	7
36	и не	13	6
37	так например	6	6
38	при этом	3	6
39	в них	4	6
40	уже не	5	6
41	таким образом	19	6
42	мы не	2	6
43	все это	6	6
44	не имеет	4	6
45	в виде	4	6
46	то что	17	6
47	будто бы	2	6
48	этом случае	6	5
49	все же	8	5
50	как будто	3	5
51	как бы	5	5
52	в течение	5	5
53	в которых	6	5
54	одно из	5	5
55	того как	3	5
56	тому что	2	4
57	из этих	5	4
58	к этому	3	4
59	как уже	2	4
60	в тех	2	4
61	к тому	4	4
62	в г	5	4
63	по существу	2	4
64	представляет собой	12	4
65	одна из	2	4
66	после этого	2	4
67	еще не	4	4
68	связи с	3	4
69	и др	2	4
70	во всех	2	4
71	в их	11	4
72	не может	13	4
73	в связи	2	4
74	входит в	2	4
75	мы имеем	3	4
76	и что	4	4
77	того что	12	4
78	тем что	6	4
79	только в	13	4
80	не менее	8	3
81	о чем	4	3
82	что это	3	3
83	по этому	2	3
84	в этих	3	3
85	в качестве	7	3
86	в своем	3	3
87	но все	3	3
88	в одном	4	3
89	так называемой	3	3
90	тем не	8	3
91	на этом	3	3
92	несмотря на	2	3
93	только на	3	3
94	а также	3	3
95	по содержанию	2	3
96	не с	2	3
97	своего рода	3	3
98	в разных	5	3
99	то же	8	3
100	с точки	2	3
101	на этот	4	3
102	так же	3	3
103	и те	2	3
104	ко времени	2	3
105	ничего не	2	3
106	точки зрения	7	3
107	как например	5	3
108	этого слова	2	3
109	в области	4	3
110	в изучении	2	2
111	до того	2	2
112	независимо от	3	2
113	в частности	3	2
114	могут быть	4	2
115	с этим	2	2
116	в каждом	4	2
117	не просто	4	2
118	значение и	2	2
119	его к	2	2
120	что именно	2	2
121	в различных	2	2
122	в нем	13	2
123	стоит в	2	2
124	не что	4	2
125	в в	3	2
126	половине xix	2	2
127	так что	5	2
128	и как	9	2
129	в дальнейшем	2	2
130	в силу	3	2
131	но не	7	2
132	быть и	2	2
133	в прошлом	2	2
134	но что	3	2
135	после того	2	2
136	до конца	3	2
137	чем в	3	2
138	например в	2	2
139	связь между	4	2
140	том же	2	2
141	в ней	3	2
142	в его	10	2
143	и с	2	2
144	на этой	3	2
145	в целом	5	2
146	относящиеся к	3	2
147	с ней	2	2
148	и до	2	2
149	к выводу	6	2
150	что она	3	2
151	этой работы	3	2
152	для этого	3	2
153	этому поводу	2	2
154	в особенности	4	2
155	тогда как	2	2
156	все эти	3	2
157	xx в	3	2
158	в какой	4	2
159	а не	3	2
160	выводу что	5	2
161	только по	3	2
162	и для	4	2
163	в своих	2	2
164	этот вопрос	4	2
165	мы можем	2	2
166	хотя и	3	2
167	должна была	2	2
168	что иное	4	2
169	но в	10	2
170	как он	6	2
171	в более	2	2
172	иное как	5	2
173	нет надобности	3	2
