N	2gram	Berdyaev_M_2	TeoriaLi
1	в мире	7	24
2	– это	2	20
3	не только	18	18
4	и не	18	16
5	– в	2	14
6	а в	2	14
7	и в	46	13
8	может быть	21	12
9	так и	4	12
10	в этом	20	11
11	в том	3	11
12	а не	13	10
13	и его	5	10
14	в его	5	9
15	то же	5	9
16	что в	4	8
17	такого рода	2	8
18	отношению к	2	8
19	но и	15	8
20	по отношению	2	8
21	себя в	4	7
22	в себе	10	7
23	том что	4	7
24	точки зрения	2	7
25	по своей	3	7
26	только в	3	7
27	место в	2	6
28	с его	4	6
29	лишь в	2	6
30	как бы	8	6
31	в русской	6	6
32	но в	10	6
33	в своем	8	5
34	или иной	2	5
35	как и	13	5
36	не в	9	5
37	в самом	5	5
38	в нем	22	5
39	как в	7	5
40	он не	10	5
41	уже не	4	5
42	не случайно	2	5
43	между тем	2	5
44	личности и	2	4
45	личности в	2	4
46	в свою	4	4
47	ни в	3	4
48	– его	2	4
49	в своей	5	4
50	то что	5	4
51	отношение к	8	4
52	по преимуществу	5	4
53	не может	15	4
54	на смену	3	4
55	сказать что	3	4
56	хотя и	2	4
57	но он	11	4
58	не знает	9	4
59	никогда не	18	3
60	в нашем	7	3
61	в этих	2	3
62	в отношении	5	3
63	прежде всего	12	3
64	и к	7	3
65	человека к	8	3
66	для него	18	3
67	того что	6	3
68	и потому	7	3
69	на почве	3	3
70	– не	3	3
71	и вот	5	3
72	и что	2	3
73	– все	2	3
74	потому что	12	3
75	в основе	2	3
76	в этой	7	3
77	отношении к	3	3
78	его в	3	3
79	к которому	3	3
80	я не	5	2
81	но на	2	2
82	если бы	3	2
83	себя и	3	2
84	способность к	2	2
85	в конце	5	2
86	жизни в	3	2
87	это не	5	2
88	по себе	2	2
89	что он	7	2
90	к тому	5	2
91	от свободы	3	2
92	что они	3	2
93	к нему	2	2
94	принадлежит к	2	2
95	во всех	2	2
96	вместе с	2	2
97	но она	2	2
98	личности к	2	2
99	человеческой жизни	2	2
100	как к	2	2
101	и для	7	2
102	это и	3	2
103	говорит что	2	2
104	так же	6	2
105	у него	22	2
106	самим собою	2	2
107	и здесь	6	2
108	как будто	2	2
109	о том	3	2
110	перед ним	4	2
111	и это	5	2
112	в чем	3	2
113	в которой	2	2
114	отношения к	2	2
115	на деле	4	2
116	я и	2	2
