N	2gram	Vinokur_St_3	Tvorches
1	и в	25	21
2	как бы	6	17
3	в то	7	15
4	в его	12	13
5	то же	5	13
6	что в	19	12
7	как и	4	12
8	же время	3	12
9	то есть	2	12
10	с его	3	11
11	том что	15	11
12	все это	8	10
13	как в	6	8
14	он не	5	8
15	то что	12	8
16	во многом	2	7
17	у него	9	7
18	в свою	2	7
19	в том	20	7
20	не только	12	7
21	и не	10	7
22	в году	5	7
23	и на	6	7
24	но в	5	7
25	что он	19	6
26	не менее	2	6
27	для него	3	6
28	в котором	5	6
29	а в	6	6
30	и его	3	6
31	в этом	24	6
32	xix века	4	6
33	о том	8	6
34	в творчестве	3	6
35	вовсе не	2	5
36	а не	5	5
37	но это	4	5
38	может быть	19	5
39	в этой	14	5
40	все же	4	5
41	таким образом	10	5
42	в своих	8	5
43	потому что	5	5
44	только в	6	5
45	в русской	6	5
46	прежде всего	10	4
47	времени и	2	4
48	в целом	4	4
49	одной из	2	4
50	один из	2	4
51	своего рода	3	4
52	в своей	4	4
53	не может	7	4
54	это не	7	4
55	место в	6	3
56	уже в	3	3
57	самого начала	2	3
58	никогда не	2	3
59	с другой	5	3
60	что все	3	3
61	в каждом	4	3
62	это в	4	3
63	не был	2	3
64	с ее	2	3
65	с самого	2	3
66	что я	3	3
67	но не	2	3
68	на его	4	3
69	в самом	2	3
70	той же	2	3
71	и т	8	3
72	но и	9	3
73	дело не	2	3
74	ее в	2	3
75	в их	3	3
76	уже не	3	3
77	по мнению	3	3
78	и других	2	3
79	он говорит	4	3
80	того что	5	3
81	не так	3	3
82	и по	2	3
83	в которой	4	3
84	связан с	3	3
85	и с	4	3
86	в виде	3	3
87	в россии	6	3
88	на протяжении	4	3
89	в рассказе	3	3
90	так как	3	3
91	я и	3	3
92	ни на	2	3
93	такой же	2	2
94	на эти	3	2
95	а как	4	2
96	все более	2	2
97	в этих	11	2
98	в стихах	2	2
99	в качестве	4	2
100	не столько	2	2
101	по крайней	4	2
102	у пушкина	22	2
103	в жизни	4	2
104	одного из	2	2
105	к этому	3	2
106	можно сказать	4	2
107	с которым	3	2
108	в в	3	2
109	крайней мере	4	2
110	а по	2	2
111	его как	3	2
112	что его	2	2
113	об этом	5	2
114	так что	11	2
115	не в	6	2
116	то в	4	2
117	одна из	2	2
118	того же	2	2
119	до конца	3	2
120	к тому	2	2
121	в одной	2	2
122	в ней	4	2
123	к ней	4	2
124	если в	2	2
125	гораздо более	2	2
126	здесь нет	2	2
127	и тем	4	2
128	тем не	2	2
129	в духе	2	2
130	вместе с	2	2
131	так и	5	2
132	нет не	2	2
133	и далее	3	2
134	говорит что	5	2
135	что для	3	2
136	он чувствует	2	2
137	него есть	2	2
138	мы находим	2	2
139	не мог	2	2
140	самом деле	2	2
141	что не	2	2
142	и у	2	2
143	и наконец	3	2
144	только что	2	2
145	или в	2	2
146	сказать что	4	2
147	могут быть	2	2
148	но он	3	2
149	известно что	2	2
150	т п	6	2
151	при помощи	2	2
152	так сказать	2	2
153	в чем	4	2
154	в виду	2	2
