N	3gram	Vygotskiy__1	Myslijsy
1	то что я	2	7
2	в том что	9	7
3	само по себе	5	5
4	о том что	7	5
5	не может быть	8	5
6	то же самое	2	4
7	только тогда когда	4	4
8	тем не менее	2	4
9	до сих пор	3	4
10	и т п	15	4
11	для того чтобы	5	4
12	на то что	8	4
13	мы не можем	2	3
14	во всяком случае	6	3
15	не только не	3	3
16	с точки зрения	2	3
17	слова то есть	2	3
18	вместе с тем	2	3
19	и т д	8	3
20	в том случае	2	3
21	на самом деле	2	3
22	и таким образом	2	3
23	от того что	2	3
24	а в том	2	2
25	в таком случае	2	2
26	в том и	2	2
27	подобно тому как	5	2
28	то есть в	2	2
29	не в том	5	2
30	что и в	2	2
31	не в состоянии	3	2
32	только в том	3	2
