N	2gram	Vinokur_St_3	Problemy
1	и в	25	35
2	как бы	6	31
3	и не	10	27
4	что он	19	24
5	в его	12	21
6	но в	5	19
7	не может	7	18
8	как и	4	18
9	то есть	2	16
10	то же	5	15
11	но и	9	14
12	для него	3	14
13	может быть	19	14
14	все это	8	14
15	в сущности	2	14
16	и его	3	14
17	в этом	24	14
18	к нему	4	13
19	что я	3	13
20	он не	5	13
21	прежде всего	10	12
22	и с	4	12
23	и к	4	12
24	в другом	3	12
25	в то	7	11
26	не в	6	10
27	самом деле	2	10
28	же время	3	10
29	не только	12	10
30	то что	12	10
31	в отношении	2	9
32	самого начала	2	8
33	так и	5	8
34	себя и	2	8
35	с самого	2	8
36	потому что	5	8
37	все же	4	8
38	как мы	2	8
39	и для	4	8
40	лишь в	4	7
41	а в	6	7
42	и наконец	3	7
43	точки зрения	7	7
44	с его	3	7
45	вовсе не	2	7
46	еще не	2	7
47	в виде	3	7
48	таким образом	10	7
49	что в	19	6
50	в каждом	4	6
51	к тому	2	6
52	но это	4	6
53	что они	2	6
54	и что	3	6
55	отношение к	4	6
56	в самом	2	6
57	что у	2	6
58	и на	6	6
59	в речах	5	6
60	но не	2	6
61	в плане	2	6
62	только в	6	6
63	в конце	6	5
64	в том	20	5
65	так что	11	5
66	во время	3	5
67	он и	2	5
68	этого слова	2	5
69	как в	6	5
70	на протяжении	4	5
71	и это	5	5
72	все время	2	4
73	никогда не	2	4
74	с другой	5	4
75	в такой	2	4
76	или иной	2	4
77	звучат в	2	4
78	но все	2	4
79	до конца	3	4
80	на его	4	4
81	его отношение	2	4
82	всяком случае	4	4
83	он хочет	2	4
84	между тем	6	4
85	но он	3	4
86	в эту	4	4
87	но как	2	4
88	так как	3	4
89	у него	9	4
90	как раз	3	4
91	он говорил	5	4
92	в них	5	4
93	это слово	3	4
94	так чтобы	2	4
95	с которым	3	4
96	нет и	2	4
97	в своей	4	4
98	а не	5	4
99	что не	2	4
100	и у	2	4
101	во всяком	4	4
102	тем что	19	4
103	что это	16	4
104	в творчестве	3	4
105	в чем	4	4
106	уже в	3	3
107	его к	2	3
108	такой же	2	3
109	нет в	3	3
110	в общем	4	3
111	в виду	2	3
112	с ее	2	3
113	в целом	4	3
114	другой стороны	5	3
115	в форме	2	3
116	в одной	2	3
117	все эти	3	3
118	не мог	2	3
119	того что	5	3
120	это не	7	3
121	сказать что	4	3
122	и во	2	3
123	говорить о	3	3
124	в начале	4	3
125	в котором	5	3
126	с тем	4	3
127	не как	2	3
128	с этим	7	3
129	этом смысле	4	3
130	том что	15	3
131	было бы	7	3
132	во всех	2	3
133	конце концов	3	3
134	только что	2	3
135	а с	2	3
136	уже не	3	3
137	ничего не	4	3
138	так сказать	2	2
139	не менее	2	2
140	на вопрос	3	2
141	времени и	2	2
142	в этих	11	2
143	тому что	3	2
144	для этого	2	2
145	с этой	3	2
146	что все	3	2
147	это в	4	2
148	ни в	5	2
149	без всякого	2	2
150	что его	2	2
151	такое же	2	2
152	из его	7	2
153	которых я	2	2
154	на этом	3	2
155	в последнем	2	2
156	например в	4	2
157	время как	4	2
158	на нее	2	2
159	к слову	2	2
160	не просто	2	2
161	и по	2	2
162	в которых	2	2
163	в ней	4	2
164	к ней	4	2
165	ни на	2	2
166	о том	8	2
167	и ни	2	2
168	с которыми	2	2
169	слово в	2	2
170	я и	3	2
171	а как	4	2
172	всех этих	3	2
173	это место	2	2
174	для его	2	2
175	обращается к	3	2
176	несколько раз	2	2
177	того времени	3	2
178	в жизни	4	2
179	этих двух	2	2
180	на тему	3	2
181	то в	4	2
182	должна была	4	2
183	если я	2	2
184	одной из	2	2
185	в произведениях	2	2
186	как можно	2	2
187	своего рода	3	2
188	вместе с	2	2
189	тему о	2	2
190	им в	2	2
191	здесь есть	2	2
192	в речи	4	2
193	с точки	4	2
194	в которой	4	2
195	той же	2	2
196	или в	2	2
197	в рассказе	3	2
198	связан с	3	2
199	из этого	4	2
200	в каждой	2	2
201	если и	2	2
202	это было	8	2
