N	2gram	Nazirov_Tv_2	VeschiIm
1	не может	7	33
2	не только	13	31
3	может быть	8	29
4	и не	9	28
5	и в	20	26
6	то что	3	24
7	и есть	2	23
8	и т	13	21
9	т д	11	20
10	а не	6	20
11	что я	2	16
12	что она	4	14
13	только в	2	14
14	и что	2	13
15	но и	8	12
16	все же	5	12
17	и ее	2	12
18	таким образом	10	11
19	то же	7	10
20	уже не	3	10
21	как бы	11	10
22	потому что	7	10
23	в том	8	9
24	в самом	3	9
25	и с	8	9
26	прежде всего	8	9
27	что не	3	9
28	но это	5	8
29	в себе	3	8
30	и это	3	8
31	ничего не	4	8
32	в свете	3	7
33	говорить о	2	7
34	в то	10	7
35	его в	3	7
36	так как	3	7
37	том что	4	7
38	себя в	2	7
39	д и	2	7
40	с другими	2	7
41	в этом	8	7
42	так что	2	6
43	что они	4	6
44	что в	7	6
45	для него	3	6
46	но если	2	6
47	и только	2	6
48	но в	4	6
49	по крайней	2	6
50	крайней мере	2	6
51	с ним	3	6
52	не менее	2	5
53	это не	7	5
54	с этой	3	5
55	не в	4	5
56	еще не	5	5
57	а в	4	5
58	если бы	4	5
59	отнюдь не	4	5
60	в ее	2	5
61	у нас	2	5
62	одна из	3	5
63	но не	5	5
64	в чем	4	5
65	я не	2	4
66	от ее	2	4
67	с другой	2	4
68	же время	7	4
69	и мы	3	4
70	точка зрения	2	4
71	из них	2	4
72	в их	3	4
73	и даже	5	4
74	о том	5	4
75	как и	6	4
76	и потому	4	4
77	нет и	2	4
78	этот вопрос	3	4
79	мы не	4	4
80	тем что	3	4
81	же не	2	4
82	никогда не	11	3
83	как о	2	3
84	и сам	5	3
85	в нем	3	3
86	все это	6	3
87	их в	2	3
88	в одном	2	3
89	один из	3	3
90	не мешает	2	3
91	что он	6	3
92	мы видим	4	3
93	в своей	6	3
94	вместе с	3	3
95	так и	6	3
96	и тогда	2	3
97	а с	3	3
98	самом деле	2	3
99	и вообще	2	3
100	в основе	2	3
101	казалось бы	3	2
102	это уже	2	2
103	в частности	2	2
104	его и	2	2
105	человека и	3	2
106	что на	2	2
107	но зато	3	2
108	и если	2	2
109	не стоит	2	2
110	в первой	2	2
111	а а	4	2
112	так же	5	2
113	в своих	3	2
114	но ведь	2	2
115	то есть	5	2
116	однако это	2	2
117	на него	2	2
118	ни к	2	2
119	жизни в	3	2
120	превращается в	3	2
121	если он	5	2
122	а затем	3	2
123	а я	2	2
124	наряду с	7	2
125	об этом	4	2
126	он не	3	2
127	но уже	3	2
128	когда он	4	2
129	как в	4	2
130	приводит к	2	2
131	здравого смысла	2	2
132	тогда как	3	2
133	если не	4	2
134	и его	9	2
135	тут же	2	2
136	не случайно	2	2
137	во всяком	2	2
138	это все	2	2
