N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	65
2	то есть	12	45
3	как бы	17	22
4	и не	7	22
5	вовсе не	5	18
6	в том	7	16
7	в этом	6	15
8	но в	7	14
9	в нем	3	13
10	прежде всего	4	11
11	и на	7	11
12	и его	6	10
13	не только	7	10
14	но и	3	10
15	так и	2	10
16	в его	13	9
17	все это	10	9
18	в своем	4	8
19	в основе	2	8
20	в духе	2	8
21	в дальнейшем	3	8
22	и другие	3	8
23	и даже	3	8
24	жизни и	3	7
25	влияние на	2	7
26	только в	5	7
27	никогда не	3	6
28	не знает	2	6
29	том что	11	6
30	все же	5	6
31	времени и	4	6
32	при этом	7	6
33	может быть	5	6
34	в ней	2	6
35	на самом	3	6
36	в году	7	6
37	и у	2	6
38	сказать что	2	6
39	в литературе	2	6
40	так как	3	6
41	с его	11	5
42	в частности	2	5
43	еще более	2	5
44	жизни в	6	5
45	потому что	5	5
46	отличие от	2	5
47	на протяжении	3	5
48	между людьми	2	5
49	для него	6	5
50	в своей	4	5
51	как в	8	5
52	как и	12	5
53	в своих	5	5
54	xix века	6	5
55	и все	6	5
56	это уже	5	4
57	это в	3	4
58	не в	2	4
59	в этой	5	4
60	это как	3	4
61	в самом	3	4
62	из них	2	4
63	мысли и	4	4
64	в их	3	4
65	в отличие	2	4
66	так сказать	2	4
67	в жизни	2	4
68	что в	12	3
69	это не	4	3
70	что он	6	3
71	но это	5	3
72	самом деле	2	3
73	даже в	3	3
74	то что	8	3
75	не может	4	3
76	и других	3	3
77	в себя	2	3
78	уже не	3	3
79	во всей	2	3
80	с другой	3	3
81	в себе	2	3
82	далеко не	3	3
83	связан с	3	3
84	с ним	3	3
85	и с	3	3
86	в виду	2	3
87	мира в	2	3
88	но не	3	2
89	во многом	7	2
90	в книге	3	2
91	к тому	2	2
92	и от	4	2
93	стремление к	2	2
94	можно сказать	2	2
95	протяжении всего	2	2
96	а затем	2	2
97	в романе	10	2
98	из всех	4	2
99	это время	2	2
100	до конца	2	2
101	и он	2	2
102	на его	3	2
103	некоторые из	2	2
104	хотя и	3	2
105	он не	8	2
106	в основном	4	2
107	в целом	4	2
108	во второй	2	2
109	время в	3	2
110	к жизни	2	2
111	приводит к	2	2
112	только на	2	2
113	одновременно и	2	2
114	того что	3	2
115	что не	2	2
116	и наконец	2	2
117	и по	3	2
118	одним из	4	2
119	или в	2	2
120	в этих	2	2
121	могут быть	2	2
122	человеческих отношений	3	2
123	ни на	3	2
124	о том	6	2
125	дело в	3	2
126	в чем	2	2
127	в мир	2	2
