N	2gram	Losev_Vlad_2	Psycholo
1	в том	18	37
2	и в	30	32
3	и что	5	22
4	том что	12	21
5	то что	20	21
6	таким образом	3	21
7	потому что	9	21
8	то есть	7	21
9	что в	12	20
10	так же	4	18
11	может быть	7	18
12	что и	3	17
13	не может	9	17
14	точки зрения	7	17
15	того чтобы	2	14
16	что он	13	13
17	при этом	5	13
18	то же	4	13
19	для того	2	13
20	в этом	20	13
21	по себе	5	12
22	в самом	2	12
23	не только	12	12
24	заключается в	2	12
25	с и	2	12
26	так как	5	12
27	на то	2	11
28	с тем	2	11
29	было бы	9	11
30	как и	5	10
31	но и	8	10
32	и не	18	10
33	с точки	3	10
34	никогда не	7	9
35	как в	3	9
36	в своих	2	9
37	что это	4	8
38	не менее	7	8
39	не в	9	8
40	той же	4	8
41	того что	5	8
42	к тому	2	7
43	мы знаем	4	7
44	и как	3	7
45	а не	7	7
46	в сущности	2	7
47	все эти	5	7
48	можно было	2	7
49	и его	6	7
50	что для	2	7
51	сказать что	11	7
52	как будто	2	7
53	только в	6	7
54	в этой	4	6
55	тот же	5	6
56	и мы	4	6
57	и из	2	6
58	он не	4	6
59	как бы	5	6
60	те же	3	6
61	что если	2	6
62	о том	4	6
63	на все	2	5
64	что его	4	5
65	в ней	4	5
66	все это	5	5
67	и даже	10	5
68	и на	4	5
69	в то	9	5
70	сам по	2	4
71	едва ли	3	4
72	с этой	4	4
73	тем не	6	4
74	как это	7	4
75	в чем	2	4
76	и сам	2	4
77	несмотря на	4	4
78	из этого	5	4
79	никак не	3	4
80	и по	2	4
81	в нем	4	4
82	все же	9	4
83	жизни и	6	4
84	наряду с	2	4
85	и до	2	4
86	данном случае	2	4
87	а в	11	4
88	и все	7	4
89	не имеет	2	4
90	и для	3	4
91	в данном	3	4
92	и с	14	4
93	с этим	5	4
94	в целом	4	4
95	и это	3	4
96	ничего не	2	4
97	того как	2	4
98	в общем	2	3
99	по своему	2	3
100	в частности	2	3
101	но он	3	3
102	хотя бы	3	3
103	само собой	3	3
104	в конце	13	3
105	точно так	3	3
106	и к	6	3
107	по существу	3	3
108	об этом	6	3
109	так что	5	3
110	это значит	2	3
111	до конца	7	3
112	в свою	3	3
113	в своей	5	3
114	конце концов	3	3
115	не могли	3	3
116	то это	4	3
117	так и	5	3
118	во всех	3	3
119	том чтобы	2	3
120	жизни с	2	3
121	в их	2	3
122	в отношении	3	3
123	что же	8	3
124	на этом	2	3
125	еще более	3	3
126	и вот	3	3
127	время как	2	3
128	что не	2	3
129	и он	4	3
130	приходит к	2	3
131	то время	6	3
132	как к	2	3
133	он сказал	3	3
134	само по	2	3
135	он все	2	3
136	и то	5	3
137	мы должны	4	3
138	тогда когда	2	3
139	но в	8	3
140	мы не	2	3
141	в виду	2	3
142	это было	4	3
143	в самых	2	2
144	с его	4	2
145	мы будем	3	2
146	казалось бы	2	2
147	с в	4	2
148	больше того	2	2
149	в них	3	2
150	это не	2	2
151	и от	2	2
152	во сне	2	2
153	это в	3	2
154	во всяком	6	2
155	ни в	7	2
156	же время	3	2
157	а к	2	2
158	и при	2	2
159	тем более	3	2
160	свою очередь	2	2
161	но не	3	2
162	того же	5	2
163	но что	5	2
164	она не	2	2
165	и часто	2	2
166	бы с	2	2
167	вовсе не	4	2
168	на его	4	2
169	должен был	3	2
170	к нему	2	2
171	том же	3	2
172	в его	11	2
173	не вполне	2	2
174	всяком случае	6	2
175	он прямо	2	2
176	как он	2	2
177	его жизни	6	2
178	начала и	2	2
179	в этих	4	2
180	отношение к	4	2
181	для нас	7	2
182	вместе с	8	2
183	себе и	2	2
184	есть нечто	2	2
185	вплоть до	3	2
186	не на	2	2
187	не было	10	2
188	после того	2	2
189	мы находим	2	2
190	здесь мы	3	2
191	на этот	4	2
192	в очень	3	2
193	ли он	2	2
194	которой мы	2	2
195	отличие от	3	2
196	в таком	3	2
197	но это	4	2
198	также и	6	2
199	их в	2	2
200	он дает	2	2
201	в себе	6	2
202	того и	2	2
203	и вообще	10	2
204	в русском	2	2
205	философии и	3	2
206	когда мы	3	2
207	в которой	4	2
208	же с	13	2
209	учения о	3	2
