N	2gram	Tiupa_Lite_2	Problema
1	то есть	5	46
2	в его	4	43
3	и не	11	42
4	и в	19	38
5	не может	9	27
6	может быть	17	26
7	как бы	2	22
8	по отношению	4	21
9	в художественном	2	20
10	отнюдь не	4	19
11	отношению к	3	19
12	и с	3	17
13	и его	3	16
14	в нем	3	15
15	в этом	9	15
16	и т	2	14
17	прежде всего	4	13
18	т п	2	13
19	художественного творчества	2	12
20	в искусстве	4	12
21	но не	5	12
22	во всех	3	11
23	и для	3	11
24	в области	4	11
25	в их	3	10
26	в поэзии	3	9
27	но и	10	9
28	не только	8	9
29	в том	10	8
30	и как	3	8
31	и др	3	8
32	точки зрения	4	8
33	было бы	2	8
34	то что	7	8
35	что в	4	7
36	с другой	8	7
37	не в	4	7
38	как и	10	7
39	еще не	2	7
40	не к	2	6
41	и наконец	2	6
42	а в	3	6
43	все же	2	6
44	с точки	3	6
45	ничего не	3	6
46	то же	12	5
47	при этом	6	5
48	никогда не	3	5
49	в основе	2	5
50	с ним	2	5
51	себя как	2	5
52	в них	2	5
53	так и	7	5
54	а не	20	5
55	могут быть	2	5
56	не менее	6	4
57	в нашем	2	4
58	в ней	4	4
59	в конечном	5	4
60	в виду	2	4
61	другой стороны	4	4
62	данном случае	3	4
63	и только	2	4
64	в то	9	4
65	о том	2	4
66	но в	2	4
67	перестает быть	3	4
68	конечном счете	5	4
69	не с	3	4
70	в ее	2	4
71	тем самым	3	4
72	что не	2	4
73	хотя бы	2	4
74	в данном	3	4
75	в себе	6	4
76	себя и	2	3
77	тем не	2	3
78	но это	3	3
79	же время	9	3
80	одной стороны	6	3
81	не является	2	3
82	в целом	2	3
83	с одной	7	3
84	и даже	8	3
85	и на	6	3
86	ни было	2	3
87	на фоне	5	3
88	и к	2	3
89	том что	7	3
90	все что	2	3
91	одной из	2	3
92	он не	5	3
93	но с	3	3
94	в мире	9	3
95	не знает	2	3
96	слова и	7	3
97	едва ли	4	3
98	на этом	2	2
99	я не	5	2
100	в частности	4	2
101	в равной	3	2
102	в какой	2	2
103	столь же	5	2
104	в каждом	2	2
105	эстетической деятельности	3	2
106	всех своих	3	2
107	не более	2	2
108	не вполне	2	2
109	в культуре	3	2
110	как к	3	2
111	не было	2	2
112	этом отношении	3	2
113	и других	4	2
114	и что	2	2
115	того что	5	2
116	в своих	2	2
117	но как	2	2
118	в начале	3	2
119	в истории	2	2
120	в россии	2	2
121	как это	2	2
122	в него	2	2
123	но лишь	3	2
124	себе не	2	2
125	вовсе не	2	2
126	что он	3	2
127	у нас	5	2
128	по существу	3	2
129	а к	2	2
130	одна из	5	2
131	что и	2	2
132	себя в	6	2
133	человека в	4	2
134	в себя	3	2
135	к своему	2	2
136	для того	2	2
137	из которых	2	2
138	и он	3	2
139	тем что	4	2
140	в другом	3	2
