N	2gram	Voloshinov_1	KulturaY
1	в том	2	30
2	и в	13	24
3	том что	2	21
4	что в	3	17
5	и пр	7	15
6	было бы	4	15
7	в этом	2	14
8	точки зрения	7	14
9	может быть	8	13
10	все же	5	12
11	таким образом	6	12
12	в его	7	12
13	и не	8	12
14	не в	3	11
15	только в	6	11
16	вовсе не	2	10
17	в самом	2	10
18	не только	6	10
19	хотя бы	5	10
20	если бы	2	9
21	то что	6	9
22	прежде всего	9	9
23	отношению к	3	9
24	самом деле	3	9
25	с точки	5	9
26	так как	3	9
27	языка и	5	8
28	по отношению	3	8
29	в языке	2	8
30	то же	4	8
31	а не	2	8
32	тем что	2	8
33	о языке	2	8
34	не менее	2	7
35	в них	2	7
36	с другой	2	7
37	как бы	6	7
38	не может	8	7
39	с помощью	2	7
40	бы в	2	7
41	в области	2	7
42	так и	3	7
43	зависимости от	2	6
44	при этом	2	6
45	в ней	2	6
46	но и	3	6
47	что же	3	6
48	все это	4	6
49	другой стороны	2	6
50	все эти	2	6
51	в которой	3	6
52	еще и	4	5
53	в зависимости	2	5
54	к тому	2	5
55	языка как	3	5
56	истории языка	2	5
57	а в	2	5
58	и его	12	5
59	между тем	2	5
60	учение о	2	4
61	в нем	2	4
62	в тех	2	4
63	что они	2	4
64	в пределах	3	4
65	на язык	2	4
66	в целом	2	4
67	как в	2	4
68	не на	2	4
69	с этим	3	4
70	так же	2	4
71	роль в	2	4
72	с ними	2	4
73	в данном	2	4
74	и является	2	4
75	того или	2	4
76	слова и	2	4
77	там где	2	4
78	уже в	2	3
79	лингвистического вкуса	4	3
80	или иного	2	3
81	в лингвистике	2	3
82	в г	2	3
83	соответствии с	2	3
84	и может	2	3
85	в общем	2	3
86	в связи	2	3
87	только и	4	3
88	в их	3	3
89	несмотря на	2	3
90	социального общения	6	3
91	и то	3	3
92	нуждается в	2	3
93	в себе	3	3
94	в одном	3	3
95	речи не	2	2
96	никогда не	3	2
97	превращается в	3	2
98	с этой	2	2
99	не является	4	2
100	и все	3	2
101	в каждом	4	2
102	разумеется что	2	2
103	как и	3	2
104	и при	2	2
105	тот же	2	2
106	общения и	2	2
107	в своей	4	2
108	между собою	2	2
109	языковых форм	2	2
110	с историей	2	2
111	подойти к	2	2
112	школы и	2	2
113	и тем	2	2
114	ее в	2	2
115	и для	3	2
116	не мог	2	2
117	лишь в	4	2
118	не имеет	2	2
119	не столько	3	2
120	иное как	2	2
121	от этого	2	2
122	может иметь	2	2
123	в структуре	2	2
124	но ведь	5	2
125	и должно	2	2
126	но в	4	2
