N	2gram	Bakhtin_Pr_1	Myshleni
1	в том	11	33
2	том что	9	27
3	точки зрения	21	26
4	то что	18	20
5	в этом	25	19
6	с точки	15	18
7	того что	2	17
8	и в	23	15
9	не только	13	15
10	что в	8	14
11	таким образом	11	14
12	говорит он	8	12
13	что он	10	12
14	того чтобы	4	12
15	в самом	8	11
16	в процессе	4	11
17	в целом	4	10
18	но и	11	10
19	было бы	6	10
20	для того	2	10
21	мы не	2	10
22	в своем	8	9
23	может быть	21	9
24	не может	11	9
25	о том	2	9
26	в сущности	5	9
27	так и	10	8
28	никогда не	5	8
29	не в	6	8
30	заключается в	2	8
31	если бы	10	8
32	и не	34	7
33	потому что	12	7
34	как бы	28	7
35	по себе	7	7
36	тот же	2	7
37	он не	4	7
38	и т.п	3	7
39	во всяком	4	7
40	в отношении	2	6
41	точку зрения	4	6
42	как мы	5	6
43	в этой	4	6
44	мы уже	2	6
45	по отношению	11	6
46	с другой	2	6
47	сказать что	5	6
48	в истории	2	6
49	мы должны	2	6
50	как он	2	6
51	но в	4	6
52	по этому	2	6
53	в зависимости	3	6
54	вовсе не	8	6
55	и к	4	6
56	как и	8	6
57	зависимости от	3	6
58	вместе с	2	6
59	самом деле	5	6
60	на этот	2	6
61	всяком случае	3	6
62	там где	6	6
63	это не	10	5
64	уже в	5	5
65	вопрос о	4	5
66	и их	2	5
67	и даже	3	5
68	друг друга	3	5
69	по существу	4	5
70	все что	3	5
71	отношению к	11	5
72	приводит к	3	5
73	то же	10	5
74	во всей	2	5
75	можно было	3	5
76	этот вопрос	2	5
77	на вопрос	2	4
78	прежде всего	7	4
79	из этих	2	4
80	что все	3	4
81	является для	2	4
82	для нас	3	4
83	несмотря на	6	4
84	все это	7	4
85	в них	3	4
86	в совершенно	2	4
87	так же	6	4
88	а в	7	4
89	их в	2	4
90	и с	4	4
91	могли бы	3	4
92	так как	7	4
93	с его	6	4
94	к этому	2	4
95	все же	5	4
96	мы видим	3	4
97	в своей	11	4
98	даже в	2	4
99	как в	6	4
100	как раз	4	4
101	хотя бы	2	4
102	и его	13	4
103	только в	8	4
104	в которой	4	4
105	он сам	3	3
106	бы к	2	3
107	что именно	2	3
108	и сам	2	3
109	для него	15	3
110	при этом	3	3
111	точка зрения	7	3
112	из них	2	3
113	данном случае	2	3
114	со стороны	2	3
115	что для	2	3
116	этом отношении	5	3
117	все эти	8	3
118	но эта	4	3
119	в самой	7	3
120	они не	3	3
121	лишь в	3	3
122	и по	2	3
123	с другими	7	3
124	в которых	2	3
125	в результате	4	3
126	в основе	5	3
127	с ним	6	3
128	и все	3	3
129	таким же	2	3
130	идет о	3	3
131	но не	8	3
132	он говорит	2	3
133	типа и	3	3
134	для себя	2	3
135	из тех	2	3
136	бы и	4	3
137	что она	2	3
138	на самом	4	3
139	а не	20	3
140	из которых	2	3
141	в данном	2	3
142	он в	2	3
143	в отличие	2	3
144	отношения между	2	3
145	этого слова	2	3
146	и это	5	3
147	отличие от	2	3
148	ничего не	6	3
149	чем в	2	2
150	в противоположность	3	2
151	не могут	6	2
152	в другой	3	2
153	и есть	5	2
154	в этих	2	2
155	перед нами	4	2
156	как например	2	2
157	можно сказать	2	2
158	говорит сам	2	2
159	ни в	3	2
160	и как	8	2
161	но все	4	2
162	как у	2	2
163	не дает	3	2
164	и само	2	2
165	друг с	3	2
166	и самого	4	2
167	не возникает	2	2
168	в котором	2	2
169	и тем	2	2
170	с ее	2	2
171	в первой	2	2
172	от того	2	2
173	в их	3	2
174	и других	5	2
175	то он	3	2
176	но для	2	2
177	остается в	2	2
178	к себе	2	2
179	говорить о	2	2
180	во все	3	2
181	мира и	7	2
182	в одном	9	2
183	или как	5	2
184	с которой	4	2
185	в книге	3	2
186	нисколько не	2	2
187	у него	6	2
188	были бы	4	2
189	всей его	2	2
190	этом смысле	9	2
191	именно в	6	2
192	с их	5	2
193	в один	2	2
194	за пределы	6	2
195	в его	24	2
196	линии развития	2	2
197	которые он	2	2
198	что и	5	2
199	во всех	5	2
200	и для	3	2
201	все равно	2	2
202	или к	2	2
203	в себя	3	2
204	под этим	2	2
205	той же	6	2
206	тому как	3	2
207	тем что	3	2
208	само по	2	2
209	подобно тому	3	2
210	в себе	5	2
211	с другом	3	2
212	его к	4	2
213	самого автора	6	2
214	заметить что	2	2
215	не потому	2	2
