N	2gram	Propp_Morf_1	Vvedenie
1	и т	41	42
2	т д	39	36
3	т е	21	35
4	и в	13	32
5	в том	6	31
6	в этом	14	30
7	может быть	52	26
8	том что	4	26
9	не только	4	22
10	для того	2	21
11	того чтобы	3	20
12	таким образом	21	19
13	также и	4	18
14	то что	8	16
15	потому что	3	15
16	так как	16	15
17	не может	14	14
18	о том	2	13
19	со стороны	3	13
20	того что	3	12
21	и не	12	12
22	представляет собой	17	12
23	только в	2	12
24	как мы	6	11
25	что такое	3	11
26	ясно что	5	11
27	что в	8	10
28	но в	2	9
29	и как	5	9
30	между тем	5	9
31	то же	7	9
32	не менее	5	8
33	с другой	8	8
34	это не	6	8
35	тем не	5	8
36	не в	3	8
37	прежде всего	9	7
38	вопрос о	7	7
39	точки зрения	2	7
40	но не	4	7
41	было бы	3	7
42	все же	7	7
43	самом деле	4	7
44	можно было	2	7
45	не могут	4	6
46	смысле слова	4	6
47	один из	5	6
48	но и	4	6
49	в то	3	6
50	его в	2	6
51	с тем	2	6
52	вовсе не	4	6
53	как и	3	6
54	в качестве	5	6
55	хотя бы	4	6
56	этот вопрос	2	6
57	тем что	4	6
58	в руки	3	6
59	в какой	3	5
60	так например	3	5
61	но если	7	5
62	как бы	3	5
63	и тем	2	5
64	в целом	3	5
65	другой стороны	4	5
66	в которых	2	5
67	сказать что	2	5
68	приходим к	2	5
69	как например	2	5
70	об этом	4	5
71	по своему	2	5
72	есть и	4	5
73	д но	4	5
74	а не	11	5
75	могут быть	16	5
76	представляют собой	11	5
77	на вопрос	2	4
78	независимо от	3	4
79	связана с	3	4
80	как уже	2	4
81	этом случае	8	4
82	всяком случае	2	4
83	по отношению	4	4
84	и что	2	4
85	не имеет	2	4
86	а в	7	4
87	в первом	3	4
88	как это	3	4
89	мы имеем	9	4
90	что он	4	4
91	еще не	3	4
92	отношению к	4	4
93	только что	2	4
94	в виде	2	4
95	уже не	2	4
96	и для	2	4
97	во всяком	2	4
98	и ее	3	4
99	быть названо	3	4
100	совсем не	3	3
101	и есть	2	3
102	в частности	2	3
103	в этих	13	3
104	так называемых	2	3
105	раньше чем	3	3
106	в собственном	3	3
107	можно сказать	2	3
108	к тому	4	3
109	но все	3	3
110	в этой	2	3
111	на этом	3	3
112	хотя и	3	3
113	то это	3	3
114	к нему	3	3
115	из них	3	3
116	дело не	2	3
117	что она	2	3
118	все эти	2	3
119	так же	3	3
120	в результате	7	3
121	говорить о	3	3
122	в начале	3	3
123	при помощи	9	3
124	если бы	2	3
125	однако в	2	3
126	к этому	3	3
127	в различных	2	3
128	и к	4	3
129	связи с	10	3
130	в сущности	3	3
131	в свое	2	3
132	а также	4	3
133	что и	7	3
134	наука о	2	3
135	собственном смысле	3	3
136	что же	2	3
137	в в	2	3
138	в каком	2	3
139	как будто	2	3
140	до наших	2	2
141	в основу	2	2
142	и другие	6	2
143	это уже	3	2
144	тому что	4	2
145	из его	2	2
146	но это	6	2
147	несмотря на	4	2
148	наших дней	2	2
149	из двух	2	2
150	и др	10	2
151	от других	2	2
152	от того	3	2
153	в форме	6	2
154	в связи	9	2
155	и наоборот	4	2
156	во втором	3	2
157	этих случаях	11	2
158	с этим	11	2
159	и здесь	5	2
160	в интересах	2	2
161	так и	6	2
162	не существует	3	2
163	ни к	2	2
164	этого не	2	2
165	на котором	3	2
166	состоит в	2	2
167	не с	2	2
168	к отдельным	2	2
169	у нас	2	2
170	по существу	12	2
171	учение о	3	2
172	во всех	4	2
173	что мы	2	2
174	мы должны	3	2
175	с теми	4	2
176	ни одна	4	2
177	быть и	2	2
178	д в	2	2
179	по их	3	2
180	вряд ли	2	2
181	входит в	2	2
182	тогда как	2	2
183	того как	2	2
184	из которых	3	2
185	с точки	2	2
186	мы не	8	2
187	тому как	5	2
188	мы можем	2	2
189	подобно тому	6	2
190	в другом	2	2
191	или нет	2	2
192	если же	5	2
193	собой в	2	2
194	здесь не	2	2
195	одна из	4	2
196	а если	4	2
197	ничего не	4	2
198	д все	2	2
199	если это	3	2
