N	3gram	Vygotskiy__3	Problema
1	той или иной	2	11
2	тем не менее	5	10
3	в том что	17	8
4	это значит что	4	7
5	с другой стороны	3	6
6	можно было бы	5	4
7	ни в какой	4	4
8	во всяком случае	4	4
9	о том что	3	3
10	того или иного	2	3
11	то и другое	4	3
12	и во всяком	2	3
13	только в том	2	3
14	в зависимости от	5	3
15	в связи с	5	3
16	вместе с тем	10	3
17	в этом смысле	2	3
18	том виде как	2	2
19	что перед нами	3	2
20	в том виде	2	2
21	в то время	4	2
22	как показывает исследование	2	2
23	сами по себе	3	2
24	то время как	4	2
25	заключается в том	7	2
26	для того чтобы	7	2
