N	2gram	Losev_Vesc_1	Mirosoze
1	может быть	16	30
2	не только	36	29
3	и в	21	28
4	не может	17	28
5	но и	18	25
6	а не	19	25
7	в этом	4	20
8	у него	2	17
9	не в	5	16
10	это –	25	16
11	потому что	16	16
12	в ней	12	15
13	в своей	5	15
14	и есть	26	14
15	никогда не	2	14
16	в нем	2	13
17	и это	14	12
18	для него	4	11
19	в самом	9	11
20	и не	29	11
21	что в	9	10
22	в своем	6	10
23	прежде всего	9	10
24	и все	5	10
25	было бы	14	10
26	и потому	5	10
27	но он	2	9
28	с тем	5	9
29	в его	2	9
30	не есть	49	9
31	и его	2	9
32	есть лишь	2	9
33	из самых	2	8
34	но не	5	8
35	в котором	3	8
36	в самой	2	7
37	того что	8	7
38	в конце	2	7
39	но в	5	7
40	в себе	14	7
41	должна быть	4	6
42	в том	8	6
43	в этой	3	6
44	все это	5	6
45	только в	14	6
46	это не	5	5
47	– не	9	5
48	от нее	2	5
49	у нас	7	5
50	как и	8	5
51	то что	27	5
52	что есть	5	5
53	с этой	4	4
54	мог бы	5	4
55	ни с	6	4
56	а в	4	4
57	точки зрения	5	4
58	и этот	2	4
59	один из	3	4
60	это и	6	4
61	она не	4	4
62	к ней	2	4
63	что и	3	4
64	есть не	14	4
65	уже не	9	4
66	тем что	2	4
67	значит что	24	4
68	себя и	4	3
69	и вот	2	3
70	к тому	3	3
71	для нас	2	3
72	это есть	7	3
73	это значит	24	3
74	но если	8	3
75	только одно	2	3
76	и их	7	3
77	в свете	7	3
78	только и	2	3
79	я хочу	5	3
80	должно быть	6	3
81	с этим	3	3
82	и еще	2	3
83	его в	2	3
84	так как	7	3
85	и с	8	3
86	на этом	2	3
87	в жизни	3	3
88	с собой	2	3
89	в ее	7	3
90	том что	8	3
91	есть и	4	3
92	ничего не	3	3
93	себя в	10	3
94	бы и	5	3
95	хотя бы	6	3
96	может не	2	2
97	мы еще	2	2
98	вообще не	2	2
99	и от	3	2
100	момент в	6	2
101	с самим	4	2
102	в свою	4	2
103	для того	2	2
104	в виду	2	2
105	жизни и	2	2
106	отличается от	7	2
107	быть не	4	2
108	все эти	3	2
109	у всех	3	2
110	и что	15	2
111	есть только	7	2
112	также и	6	2
113	сказать что	17	2
114	даже и	4	2
115	по своей	2	2
116	как бы	12	2
117	о том	6	2
118	в россии	2	2
119	не значит	7	2
120	когда мы	6	2
121	бы в	5	2
122	с ним	8	2
123	в основе	3	2
124	если бы	5	2
125	только один	2	2
126	и во	3	2
127	различие между	2	2
128	мы видим	2	2
129	в то	3	2
130	и когда	4	2
131	относится к	5	2
132	должен быть	2	2
133	все же	4	2
134	по сравнению	7	2
135	в свой	2	2
136	с ней	2	2
137	и сама	3	2
138	мысли и	3	2
139	она может	4	2
140	истории и	2	2
141	т е	55	2
142	в той	3	2
143	того чтобы	3	2
144	и у	3	2
145	и как	8	2
146	и для	9	2
147	конце концов	2	2
148	образ и	3	2
149	от этого	2	2
150	от его	2	2
