N	2gram	Bakhtin_KF_1	KulturaY
1	потому что	2	25
2	и в	24	23
3	не только	5	20
4	в том	6	19
5	в этом	14	18
6	и не	26	16
7	ни к	2	15
8	было бы	8	15
9	может быть	45	15
10	точки зрения	12	14
11	если бы	8	12
12	все эти	10	12
13	том что	4	11
14	того чтобы	2	11
15	в области	2	11
16	но в	5	11
17	что в	4	10
18	по себе	2	10
19	а не	17	10
20	вовсе не	7	9
21	вопрос о	2	9
22	то что	7	9
23	самом деле	3	9
24	для того	3	9
25	хотя бы	4	9
26	не может	27	9
27	прежде всего	2	8
28	не в	12	8
29	в качестве	2	8
30	уже не	7	8
31	и пр	3	8
32	с точки	9	8
33	что это	3	7
34	не менее	3	7
35	все же	5	7
36	но и	9	7
37	слова в	2	6
38	это не	10	6
39	в этой	2	6
40	но не	12	6
41	что не	3	6
42	тем не	2	6
43	то же	5	6
44	между тем	4	6
45	и на	3	6
46	я не	6	5
47	должна быть	4	5
48	этом смысле	3	5
49	ясно что	3	5
50	что он	2	5
51	еще не	4	5
52	в его	40	5
53	этого слова	2	5
54	один из	2	5
55	должен быть	7	5
56	и тем	3	5
57	все это	10	5
58	там где	5	5
59	лишь в	8	5
60	и то	2	5
61	и здесь	7	5
62	только в	16	5
63	мы имеем	5	5
64	отнюдь не	6	4
65	к этому	2	4
66	бы и	3	4
67	для нас	4	4
68	ни в	12	4
69	но все	5	4
70	что я	5	4
71	должно быть	6	4
72	от того	3	4
73	как бы	9	4
74	в нем	28	4
75	со стороны	7	4
76	не было	8	4
77	не имеет	5	4
78	в данном	2	4
79	могут быть	3	4
80	в каком	4	4
81	говорить о	2	4
82	в то	3	4
83	ничего не	3	4
84	так и	2	4
85	или иное	2	3
86	нисколько не	4	3
87	всех этих	3	3
88	для этого	2	3
89	же время	2	3
90	данный момент	3	3
91	это и	2	3
92	в соответствии	2	3
93	но это	6	3
94	до конца	3	3
95	совершенно не	6	3
96	но для	2	3
97	в ней	3	3
98	он не	6	3
99	что и	7	3
100	в процессе	2	3
101	как в	2	3
102	смысл и	6	3
103	не знает	5	3
104	именно в	5	3
105	сводится к	2	3
106	того что	3	3
107	из которых	2	3
108	то или	2	3
109	а в	4	3
110	и его	17	3
111	тем что	3	3
112	и это	12	3
113	здесь не	3	3
114	в виду	3	3
115	смысла и	2	2
116	с тем	2	2
117	сознания и	3	2
118	и есть	9	2
119	никогда не	5	2
120	разве не	2	2
121	мысль и	2	2
122	оно не	2	2
123	не как	4	2
124	и все	7	2
125	но здесь	3	2
126	быть не	2	2
127	а следовательно	3	2
128	не должно	3	2
129	или иного	3	2
130	его к	2	2
131	в другом	3	2
132	и потому	2	2
133	в свою	3	2
134	ли это	2	2
135	при этом	4	2
136	но есть	2	2
137	конечно не	7	2
138	того или	3	2
139	был бы	3	2
140	к нему	12	2
141	в своей	10	2
142	в современной	3	2
143	дело не	2	2
144	в их	8	2
145	но можно	4	2
146	в своем	16	2
147	лишь с	2	2
148	и для	9	2
149	что за	2	2
150	на самом	3	2
151	как и	5	2
152	чтобы не	2	2
153	здесь мы	4	2
154	тем самым	4	2
155	для этой	3	2
156	в корне	2	2
157	что значит	2	2
158	рядом с	3	2
159	с ними	3	2
160	быть только	8	2
161	от этого	2	2
162	он и	2	2
163	в своих	3	2
164	соответствии с	2	2
165	это только	2	2
166	могла бы	4	2
167	отсюда и	3	2
168	что эта	2	2
169	а это	2	2
170	только как	4	2
