N	3gram	Vygotskiy__5	Vvedenie
1	и т д	3	36
2	для того чтобы	19	20
3	о том что	6	12
4	в том что	14	12
5	не может быть	2	8
6	в самом деле	5	6
7	до сих пор	5	6
8	и т п	3	5
9	с другой стороны	5	5
10	в том чтобы	2	5
11	в данном случае	2	4
12	на этот вопрос	3	4
13	не только в	2	4
14	с одной стороны	12	4
15	можно было бы	3	4
16	что иное как	2	4
17	по сравнению с	4	4
18	само по себе	2	4
19	в этом случае	2	4
20	в этом отношении	3	4
21	не что иное	2	4
22	с тем что	3	3
23	можно сказать что	2	3
24	и в самом	2	3
25	вместе с тем	3	3
26	вопрос о том	2	3
27	заключается в том	6	3
28	и той же	2	2
29	в конце концов	2	2
30	той или иной	2	2
31	по этому поводу	4	2
32	ответ на этот	2	2
33	с точки зрения	2	2
34	имеет дело с	2	2
35	что в этом	6	2
36	то же самое	3	2
37	состоит в том	2	2
38	может быть и	2	2
39	обратить внимание на	2	2
40	принять во внимание	2	2
41	одной и той	2	2
42	потому что он	2	2
