N	2gram	Tiupa_Narr_1	TeoriaLi
1	в мире	9	24
2	не только	32	18
3	в качестве	21	17
4	тогда как	12	16
5	и не	20	16
6	а в	11	14
7	в частности	14	13
8	и в	19	13
9	состоит в	13	13
10	может быть	25	12
11	так и	9	12
12	то есть	19	12
13	представляет собой	13	11
14	при этом	9	11
15	в этом	17	11
16	в том	18	11
17	но не	5	10
18	в тексте	16	10
19	а не	12	10
20	и его	5	10
21	в его	9	9
22	внутреннего зрения	4	9
23	то же	4	9
24	сводится к	3	8
25	что в	3	8
26	своего рода	12	8
27	такого рода	7	8
28	отношению к	6	8
29	но и	23	8
30	по отношению	7	8
31	себя в	5	7
32	в себе	8	7
33	том что	14	7
34	во второй	2	7
35	в отличие	5	7
36	в данном	5	7
37	точки зрения	10	7
38	по своей	3	7
39	в то	3	7
40	только в	4	7
41	как это	6	7
42	отличие от	5	7
43	с его	6	6
44	же время	4	6
45	еще не	7	6
46	картина мира	5	6
47	присутствия в	3	6
48	как бы	4	6
49	но в	6	6
50	в рамках	12	5
51	и одновременно	2	5
52	однако в	2	5
53	в своем	2	5
54	речевая маска	5	5
55	или иного	2	5
56	не сводится	2	5
57	или иной	5	5
58	а также	7	5
59	в ее	3	5
60	как и	7	5
61	не в	14	5
62	в пределах	2	5
63	между ними	2	5
64	того или	2	5
65	в нем	4	5
66	данном случае	4	5
67	как в	7	5
68	он не	3	5
69	уже не	5	5
70	тем самым	6	5
71	коммуникативного события	12	5
72	в принципе	4	5
73	жизни как	3	5
74	с другой	8	5
75	не случайно	2	5
76	между тем	3	5
77	мы имеем	2	5
78	героя и	4	5
79	не менее	3	4
80	конечном счете	2	4
81	не столько	4	4
82	личности в	2	4
83	в свою	3	4
84	можно сказать	5	4
85	ни в	3	4
86	субъекта и	2	4
87	более или	2	4
88	не предполагает	5	4
89	читателя в	2	4
90	креативная компетенция	6	4
91	в конечном	3	4
92	то что	11	4
93	отношение к	2	4
94	в форме	5	4
95	или менее	2	4
96	приводит к	2	4
97	и т.п	8	4
98	не может	10	4
99	высказывания в	6	4
100	сказать что	4	4
101	хотя и	3	4
102	и ее	2	4
103	говорить о	2	4
104	как правило	4	4
105	всего лишь	2	4
106	мира и	2	4
107	текста как	2	4
108	художественного текста	2	4
109	перед нами	4	3
110	по мысли	3	3
111	и др	2	3
112	никогда не	3	3
113	говоря словами	2	3
114	в противоположность	2	3
115	прежде всего	4	3
116	тем не	3	3
117	кто говорит	2	3
118	свою очередь	3	3
119	для него	2	3
120	мог бы	3	3
121	например в	2	3
122	той или	4	3
123	и потому	2	3
124	этого слова	2	3
125	авторской позиции	2	3
126	не все	5	3
127	с ее	3	3
128	картины мира	5	3
129	во времени	8	3
130	другой стороны	4	3
131	как раз	2	3
132	ценностного центра	2	3
133	а с	3	3
134	именно в	6	3
135	мира в	5	3
136	или в	2	3
137	о ней	3	3
138	являет собой	2	3
139	нового времени	2	3
140	в основе	5	3
141	между двумя	5	3
142	в этой	5	3
143	и т.д	7	3
144	его в	2	3
145	все эти	2	3
146	в эпизоде	3	3
147	в произведении	3	3
148	к которому	2	3
149	возможность иного	2	2
150	ситуации рассказывания	2	2
151	одну из	2	2
152	о чем	2	2
153	риторический предел	2	2
154	могут быть	3	2
155	восходит к	3	2
156	себя и	2	2
157	между собой	2	2
158	жизни в	3	2
159	это позиция	2	2
160	в аспекте	2	2
161	текста в	2	2
162	этического выбора	2	2
163	это не	2	2
164	с.с аверинцева	2	2
165	биографического дискурса	2	2
166	форма авторства	2	2
167	по себе	5	2
168	вокруг я	2	2
169	в литературе	2	2
170	что он	6	2
171	совершенно иной	2	2
172	к тому	7	2
173	или субъектом	2	2
174	но как	2	2
175	и как	5	2
176	в присутствии	3	2
177	речевого замысла	2	2
178	что они	3	2
179	одной стороны	7	2
180	коммуникативные стратегии	2	2
181	во втором	4	2
182	имеем дело	2	2
183	одной из	4	2
184	из которых	4	2
185	вслед за	4	2
186	имеет место	4	2
187	иначе говоря	6	2
188	статус знания	2	2
189	маска такого	2	2
190	в роли	2	2
191	коммуникативный статус	2	2
192	по бахтину	3	2
193	так или	2	2
194	даже в	2	2
195	времени в	2	2
196	не могло	2	2
197	в сказании	2	2
198	и тем	4	2
199	не с	3	2
200	к нему	5	2
201	коммуникативную стратегию	2	2
202	как говорит	3	2
203	зрения и	2	2
204	в культуре	2	2
205	коммуникативное событие	3	2
206	со стороны	9	2
207	в притче	3	2
208	а именно	3	2
209	в анекдоте	2	2
210	не на	2	2
211	здесь не	4	2
212	как к	2	2
213	коммуникативной стратегии	3	2
214	и для	2	2
215	с одной	7	2
216	анекдот не	2	2
217	это и	3	2
218	в себя	6	2
219	в той	6	2
220	первого эпизода	2	2
221	значении этого	3	2
222	с точки	2	2
223	и даже	3	2
224	во всей	2	2
225	высказывания и	3	2
226	так же	2	2
227	роль в	2	2
228	или иначе	3	2
229	я героя	2	2
230	в рассказе	4	2
231	и возможность	2	2
232	у него	4	2
233	речевой маски	2	2
234	вокруг него	2	2
235	следует признать	2	2
236	на себя	3	2
237	индивидуального речевого	2	2
238	как будто	3	2
239	без исключения	2	2
240	в структуре	2	2
241	и соответственно	2	2
242	о том	6	2
243	в организации	2	2
244	жизни но	2	2
245	м.м бахтин	2	2
246	референтная компетенция	3	2
247	отношения к	2	2
248	в области	2	2
