N	2gram	Potebnia_M_1	Tragedij
1	и в	39	18
2	в этом	15	9
3	не только	21	8
4	и не	18	7
5	и с	3	7
6	может быть	27	7
7	как бы	6	7
8	и его	5	6
9	же время	4	6
10	но в	9	6
11	все же	6	5
12	что это	3	5
13	так и	13	5
14	это не	7	5
15	не может	22	5
16	то же	6	5
17	как и	9	5
18	в то	4	5
19	несмотря на	5	5
20	но и	20	4
21	то что	10	4
22	в целом	2	4
23	что в	22	4
24	прежде всего	4	4
25	и все	3	4
26	в нем	20	4
27	и даже	4	4
28	так же	5	4
29	том что	16	4
30	но это	5	4
31	в этой	3	4
32	и что	10	4
33	в себе	13	4
34	еще не	6	4
35	с ее	2	3
36	в своем	3	3
37	никто не	3	3
38	как в	10	3
39	тем самым	4	3
40	и как	6	3
41	должно быть	7	3
42	в его	5	3
43	для него	4	3
44	при этом	6	3
45	как будто	2	3
46	мог бы	2	3
47	в мире	3	3
48	с ним	3	3
49	то есть	42	3
50	под влиянием	2	2
51	не имеет	5	2
52	не могут	4	2
53	что и	6	2
54	в душе	11	2
55	то и	7	2
56	по мнению	3	2
57	но при	3	2
58	что все	3	2
59	а как	2	2
60	вопрос о	4	2
61	если б	2	2
62	уже не	2	2
63	к тому	4	2
64	столь же	3	2
65	о его	2	2
66	не так	3	2
67	в том	26	2
68	друг друга	5	2
69	но все	2	2
70	так что	16	2
71	в таком	5	2
72	не в	15	2
73	в глазах	3	2
74	точно так	11	2
75	и то	3	2
76	потому что	52	2
77	в первом	5	2
78	с тем	5	2
79	тем что	9	2
80	по поводу	3	2
81	о том	2	2
82	и это	3	2
83	в самом	3	2
84	не мог	3	2
85	он не	3	2
86	в одном	8	2
87	никогда не	4	2
