N	2gram	Tiupa_Teor_1	Narrotol
1	не только	16	32
2	может быть	17	25
3	но и	9	23
4	в качестве	24	21
5	и не	13	20
6	и в	18	19
7	то есть	12	19
8	в том	16	18
9	в этом	8	17
10	в тексте	14	16
11	в частности	16	14
12	том что	9	14
13	не в	7	14
14	состоит в	17	13
15	в рамках	7	12
16	а не	9	12
17	своего рода	7	12
18	тогда как	15	12
19	представляет собой	9	12
20	то что	3	11
21	а в	13	11
22	не может	4	10
23	точки зрения	9	10
24	при этом	12	9
25	со стороны	2	9
26	так и	10	9
27	в его	6	9
28	в мире	19	9
29	с другой	7	8
30	не является	4	8
31	во времени	3	8
32	и т.п	4	8
33	в себе	9	8
34	времени и	2	7
35	и т.д	3	7
36	как и	4	7
37	еще не	4	7
38	к тому	2	7
39	такого рода	8	7
40	а также	6	7
41	как в	5	7
42	по отношению	4	7
43	с одной	2	7
44	одной стороны	2	7
45	том числе	2	6
46	с его	5	6
47	отношению к	4	6
48	то в	2	6
49	но не	9	6
50	именно в	3	6
51	в себя	3	6
52	в той	2	6
53	высказывания в	3	6
54	тем самым	4	6
55	как это	8	6
56	иначе говоря	4	6
57	но в	9	6
58	и как	2	5
59	отнюдь не	3	5
60	или иной	4	5
61	можно сказать	3	5
62	себя в	6	5
63	не все	3	5
64	в форме	2	5
65	уже не	4	5
66	и его	8	5
67	в данном	8	5
68	в основе	3	5
69	между двумя	3	5
70	в отличие	6	5
71	отличие от	6	5
72	в этой	3	5
73	далеко не	2	5
74	перед нами	2	4
75	во втором	3	4
76	прежде всего	2	4
77	в пространстве	2	4
78	в нем	4	4
79	то же	7	4
80	же время	5	4
81	вслед за	2	4
82	имеет место	2	4
83	одной из	2	4
84	как бы	5	4
85	и тем	3	4
86	данном случае	5	4
87	внутреннего зрения	11	4
88	другой стороны	5	4
89	отличается от	2	4
90	в принципе	4	4
91	в рассказе	2	4
92	сказать что	3	4
93	только в	6	4
94	как правило	4	4
95	героя и	5	4
96	не менее	4	3
97	а с	3	3
98	жизни в	2	3
99	что в	9	3
100	могут быть	4	3
101	никогда не	4	3
102	из этих	3	3
103	в свою	3	3
104	тем не	3	3
105	ни в	2	3
106	в присутствии	2	3
107	свою очередь	2	3
108	хотя и	3	3
109	он не	3	3
110	и даже	2	3
111	мог бы	3	3
112	если в	2	3
113	один из	2	3
114	не с	3	3
115	с ее	3	3
116	не будет	2	3
117	как говорит	3	3
118	в первом	2	3
119	в ее	5	3
120	в эпизоде	3	3
121	а именно	2	3
122	сводится к	5	3
123	значении этого	3	3
124	столь же	2	3
125	жизни как	4	3
126	или иначе	5	3
127	о ней	2	3
128	между тем	5	3
129	на себя	2	3
130	в конечном	6	3
131	по своей	3	3
132	в то	6	3
133	как будто	2	3
134	в произведении	3	3
135	присутствия в	6	3
136	художественного высказывания	3	2
137	говорит и	2	2
138	конечном счете	6	2
139	между собой	3	2
140	в своем	4	2
141	в какой	2	2
142	в противоположность	2	2
143	текста в	3	2
144	или даже	4	2
145	не могло	2	2
146	личности в	3	2
147	или иного	3	2
148	в литературе	2	2
149	не сводится	4	2
150	кто говорит	3	2
151	субъекта и	2	2
152	первого эпизода	2	2
153	есть в	2	2
154	более или	2	2
155	м.м бахтин	2	2
156	между ними	4	2
157	имеем дело	2	2
158	для него	2	2
159	в пределах	5	2
160	в аспекте	2	2
161	в роли	3	2
162	и потому	2	2
163	так или	4	2
164	даже в	3	2
165	по сути	2	2
166	говоря словами	3	2
167	внутреннего слуха	3	2
168	зрения и	2	2
169	в культуре	2	2
170	во второй	7	2
171	или менее	2	2
172	приводит к	5	2
173	который в	2	2
174	отношение к	5	2
175	так же	2	2
176	как раз	2	2
177	ценностного центра	3	2
178	не на	2	2
179	как к	2	2
180	отношения к	2	2
181	все эти	2	2
182	ключ к	2	2
183	того или	3	2
184	времени в	2	2
185	одним из	2	2
186	и для	2	2
187	с точки	3	2
188	это не	2	2
189	роль в	2	2
190	или в	3	2
191	являет собой	2	2
192	не случайно	5	2
193	участок текста	2	2
194	нового времени	3	2
195	однако в	7	2
196	может оказаться	2	2
197	и ее	3	2
198	говорить о	3	2
199	художественного текста	11	2
200	без исключения	4	2
201	в структуре	2	2
202	и соответственно	2	2
203	этого слова	3	2
204	в организации	2	2
205	жизни но	2	2
206	его в	2	2
207	всего лишь	6	2
208	мы имеем	7	2
209	к которому	3	2
210	текста как	4	2
211	и одновременно	4	2
