N	2gram	Bakhtin_Pr_3	VeschiIm
1	т е	12	42
2	не может	19	33
3	не только	10	31
4	может быть	19	29
5	и не	29	28
6	и в	34	26
7	то что	11	24
8	и т	8	21
9	т д	2	20
10	а не	9	20
11	есть только	3	17
12	что я	15	16
13	только в	6	14
14	и что	5	13
15	того что	5	13
16	по себе	3	13
17	что это	5	12
18	было бы	2	12
19	но и	12	12
20	сказать что	2	12
21	все же	7	12
22	и то	3	12
23	и ее	2	12
24	что же	8	11
25	таким образом	5	11
26	то же	14	10
27	уже не	2	10
28	в ней	3	10
29	как бы	27	10
30	потому что	12	10
31	что такое	2	10
32	в том	3	9
33	в самом	8	9
34	бы то	4	9
35	и с	15	9
36	ни было	4	9
37	прежде всего	15	9
38	то ни	4	9
39	что не	7	9
40	себя и	8	8
41	но это	4	8
42	с ее	3	8
43	в себе	6	8
44	и это	4	8
45	ничего не	4	8
46	что оно	2	7
47	говорить о	3	7
48	в то	12	7
49	его в	4	7
50	так как	4	7
51	том что	3	7
52	как раз	4	7
53	с другими	4	7
54	в этом	16	7
55	ли это	2	7
56	с собою	6	6
57	так что	5	6
58	и как	3	6
59	что они	6	6
60	что в	7	6
61	для него	13	6
62	жизни и	3	6
63	отличается от	2	6
64	и только	2	6
65	должно быть	3	6
66	точки зрения	8	6
67	но в	16	6
68	по крайней	3	6
69	крайней мере	3	6
70	бы и	4	6
71	с ним	8	6
72	не менее	3	5
73	ведь и	3	5
74	в отношении	9	5
75	вообще не	2	5
76	это не	5	5
77	с этой	2	5
78	тем не	2	5
79	не в	9	5
80	еще не	4	5
81	для этого	3	5
82	и тут	2	5
83	а в	5	5
84	как к	4	5
85	с тем	5	5
86	если бы	4	5
87	отнюдь не	2	5
88	в ее	3	5
89	это и	2	5
90	но не	4	5
91	того же	2	5
92	в сущности	11	5
93	для себя	6	5
94	и для	8	5
95	в чем	5	5
96	я не	7	4
97	в своем	2	4
98	с другой	4	4
99	же время	12	4
100	тут не	3	4
101	когда я	5	4
102	из них	5	4
103	и даже	7	4
104	с этим	2	4
105	о том	2	4
106	и все	19	4
107	как и	18	4
108	так чтобы	3	4
109	во всех	2	4
110	и потому	2	4
111	нет и	3	4
112	что и	5	4
113	быть и	2	4
114	как я	3	4
115	с точки	4	4
116	что значит	2	4
117	со всем	2	4
118	тем что	4	4
119	же не	2	4
120	сама по	2	3
121	никогда не	8	3
122	собою и	4	3
123	вопрос о	2	3
124	к тому	5	3
125	на этом	4	3
126	было в	2	3
127	и сам	5	3
128	в нем	19	3
129	отношение к	6	3
130	себя самого	11	3
131	все это	16	3
132	ее как	3	3
133	их в	3	3
134	к себе	17	3
135	но как	4	3
136	себя как	2	3
137	или как	2	3
138	нисколько не	2	3
139	даже и	4	3
140	к другому	20	3
141	в одном	5	3
142	в жизни	2	3
143	один из	2	3
144	что он	23	3
145	если я	2	3
146	тот же	2	3
147	к ней	2	3
148	как можно	3	3
149	в своей	3	3
150	вместе с	4	3
151	так и	6	3
152	да и	4	3
153	только на	4	3
154	а с	3	3
155	в той	2	3
156	самом деле	13	3
157	бы в	3	3
158	хотя бы	5	3
159	тому как	2	3
160	не то	2	3
161	подобно тому	2	3
162	с самим	14	3
163	и вообще	2	3
164	я в	4	3
165	на вопрос	4	2
166	это уже	2	2
167	его и	3	2
168	тому что	2	2
169	сущности не	2	2
170	именно потому	2	2
171	но зато	3	2
172	ни в	4	2
173	но все	5	2
174	ли вы	6	2
175	мог бы	2	2
176	и если	2	2
177	знает и	7	2
178	мы уже	6	2
179	у меня	6	2
180	в виду	3	2
181	именно тем	2	2
182	я сам	7	2
183	но только	2	2
184	чем не	2	2
185	и вот	5	2
186	в слове	5	2
187	не мог	5	2
188	так же	8	2
189	жизнь и	2	2
190	теперь же	2	2
191	самим собою	9	2
192	самого себя	2	2
193	а так	2	2
194	как она	2	2
195	на него	7	2
196	о чем	2	2
197	и во	3	2
198	во внутреннем	2	2
199	не с	2	2
200	а я	10	2
201	то в	2	2
202	признать что	2	2
203	себе как	2	2
204	но именно	2	2
205	себе и	5	2
206	же вы	2	2
207	он не	15	2
208	и этот	2	2
209	когда он	2	2
210	как в	4	2
211	находится в	2	2
212	если не	3	2
213	еще более	2	2
214	все равно	4	2
215	не я	2	2
216	как мы	7	2
217	к чему	2	2
218	и его	16	2
219	той же	2	2
220	из его	4	2
221	во всяком	5	2
222	говорили что	3	2
223	отношении к	7	2
224	это было	3	2
