N	2gram	Propp_Isto_7	VeschiIm
1	т е	16	42
2	не может	14	33
3	не только	21	31
4	может быть	14	29
5	и не	4	28
6	и в	24	26
7	то что	7	24
8	это значит	2	22
9	и т	17	21
10	т д	16	20
11	а не	8	20
12	не просто	2	18
13	что она	5	14
14	только в	6	14
15	и что	10	13
16	того что	6	13
17	что это	6	12
18	было бы	2	12
19	но и	11	12
20	сказать что	2	12
21	все же	9	12
22	и ее	2	12
23	таким образом	7	11
24	то же	8	10
25	уже не	2	10
26	как бы	4	10
27	потому что	9	10
28	что мы	3	10
29	что такое	2	10
30	в том	7	9
31	в самом	2	9
32	прежде всего	2	9
33	что не	2	9
34	на то	3	8
35	но это	3	8
36	и это	2	8
37	ничего не	5	8
38	со своим	4	7
39	в свете	3	7
40	в то	2	7
41	его в	3	7
42	так как	8	7
43	е в	2	7
44	том что	10	7
45	есть и	4	7
46	не будет	2	7
47	в этом	12	7
48	так что	3	6
49	что они	3	6
50	что в	13	6
51	ни с	2	6
52	со стороны	2	6
53	отличается от	2	6
54	точки зрения	4	6
55	то не	4	6
56	но в	5	6
57	она не	2	6
58	с ним	5	6
59	а если	2	6
60	не менее	5	5
61	вообще не	2	5
62	это не	10	5
63	с этой	6	5
64	тем не	4	5
65	не в	9	5
66	еще не	8	5
67	должны быть	3	5
68	а в	10	5
69	в ее	2	5
70	одна из	7	5
71	но не	6	5
72	того же	2	5
73	другими словами	2	5
74	на себя	2	5
75	в чем	5	5
76	как только	2	4
77	с другой	9	4
78	в отдельности	2	4
79	из них	2	4
80	в их	4	4
81	то и	4	4
82	и даже	3	4
83	с этим	2	4
84	о том	9	4
85	и все	6	4
86	то это	5	4
87	как и	6	4
88	во всех	7	4
89	и о	2	4
90	его на	2	4
91	что и	8	4
92	этот вопрос	2	4
93	мы не	4	4
94	в данном	4	4
95	тем что	6	4
96	и другое	2	3
97	никогда не	4	3
98	вопрос о	3	3
99	есть еще	2	3
100	не содержит	2	3
101	без всякого	2	3
102	в нем	6	3
103	отношение к	5	3
104	все это	8	3
105	ее как	2	3
106	к себе	3	3
107	мы имеем	12	3
108	тогда когда	3	3
109	один из	7	3
110	что он	21	3
111	мы видим	10	3
112	тот же	2	3
113	между прочим	3	3
114	к ней	2	3
115	вместе с	7	3
116	так и	5	3
117	только на	2	3
118	тем более	2	3
119	если это	2	3
120	в основе	2	3
121	на вопрос	4	2
122	тому что	2	2
123	ни в	2	2
124	но все	4	2
125	и нет	2	2
126	кроме того	3	2
127	и если	3	2
128	мы уже	4	2
129	не стоит	2	2
130	меня на	2	2
131	и тем	2	2
132	данном случае	3	2
133	этой точки	3	2
134	так же	6	2
135	от всех	2	2
136	прочим и	2	2
137	как это	2	2
138	ничем не	2	2
139	мы можем	4	2
140	на него	2	2
141	но они	3	2
142	а потом	2	2
143	превращается в	3	2
144	если он	3	2
145	с собой	7	2
146	в одну	2	2
147	в силу	2	2
148	в качестве	3	2
149	себе и	3	2
150	но оно	2	2
151	для нее	2	2
152	об этом	6	2
153	он не	6	2
154	и когда	2	2
155	что из	2	2
156	когда он	3	2
157	как в	12	2
158	тогда как	3	2
159	если не	4	2
160	как мы	3	2
161	и его	3	2
162	не случайно	3	2
163	в особенности	2	2
164	не все	3	2
165	то чтобы	2	2
