N	2gram	Propp_Isto_3	PoTuStor
1	может быть	11	17
2	и в	22	16
3	и пр	11	12
4	прежде всего	3	9
5	таким образом	10	9
6	в этом	17	9
7	мы можем	6	9
8	совершенно не	2	8
9	и его	4	8
10	и с	4	8
11	точки зрения	2	8
12	не может	4	8
13	сказать что	3	7
14	не только	14	7
15	и это	2	6
16	и к	3	6
17	при этом	2	6
18	к отцу	2	6
19	отношение к	4	5
20	все эти	4	5
21	в чем	3	5
22	ни в	2	5
23	еще не	10	5
24	в него	2	5
25	в нем	9	4
26	но и	12	4
27	так и	2	4
28	и все	3	4
29	так как	7	4
30	и не	12	4
31	на самом	2	4
32	как мы	8	4
33	и ее	3	4
34	можно сказать	2	4
35	и даже	2	4
36	с ними	3	4
37	и на	4	4
38	в этой	5	4
39	все что	3	4
40	только в	4	4
41	его в	3	4
42	но в	10	4
43	в его	3	4
44	во время	6	3
45	мы знаем	2	3
46	в этих	11	3
47	что в	15	3
48	жизни и	2	3
49	и есть	2	3
50	и др	2	3
51	могут быть	5	3
52	вместе с	9	3
53	сих пор	5	3
54	матери и	2	3
55	даже не	2	3
56	в одном	2	3
57	и вот	2	3
58	большинстве случаев	2	3
59	и она	3	3
60	в том	9	3
61	а в	6	3
62	том что	8	3
63	и как	3	3
64	то что	7	3
65	их в	3	3
66	на этом	4	3
67	только на	2	3
68	как это	4	3
69	во всяком	2	3
70	и потому	2	3
71	до сих	5	3
72	всяком случае	2	3
73	не менее	5	2
74	ее в	3	2
75	это делает	2	2
76	один из	5	2
77	что и	9	2
78	же как	2	2
79	связанных с	2	2
80	в частности	5	2
81	никогда не	3	2
82	что не	2	2
83	в них	6	2
84	находится в	4	2
85	и так	2	2
86	из этих	3	2
87	с этим	8	2
88	в жизни	2	2
89	то же	6	2
90	к этому	7	2
91	нет никаких	2	2
92	что он	9	2
93	что на	4	2
94	у него	3	2
95	и для	2	2
96	для нас	4	2
97	в этот	2	2
98	как и	3	2
99	они не	4	2
100	мы видим	8	2
101	так же	3	2
102	но это	3	2
103	за счет	2	2
104	мы уже	6	2
105	знаем что	2	2
106	он не	5	2
107	есть и	5	2
108	характерно для	2	2
109	всю жизнь	2	2
110	в пределах	4	2
111	ту же	2	2
112	было бы	3	2
113	о том	3	2
114	и о	2	2
115	и действительно	2	2
