N	2gram	Losev_Vlad_1	EvropaiE
1	и в	31	37
2	в отношении	3	32
3	точки зрения	2	23
4	что в	14	21
5	не только	24	18
6	в то	8	16
7	хотя бы	2	15
8	то же	6	15
9	в своем	4	14
10	в качестве	6	14
11	же время	4	14
12	но и	19	14
13	и не	17	14
14	но в	12	14
15	в этом	14	12
16	в том	11	11
17	с и	2	10
18	так и	6	10
19	отнюдь не	3	9
20	не может	6	9
21	в себе	4	9
22	только в	9	9
23	к тому	3	8
24	было бы	2	8
25	в своей	4	8
26	как и	4	7
27	по своему	3	7
28	между прочим	11	7
29	того что	2	7
30	а также	5	7
31	с другой	3	7
32	также и	10	7
33	так как	8	7
34	вовсе не	5	6
35	том что	14	6
36	может быть	6	6
37	для того	2	6
38	на то	5	6
39	то что	18	6
40	того чтобы	2	6
41	и даже	15	6
42	и на	3	6
43	то есть	3	6
44	в частности	2	5
45	не в	5	5
46	но не	3	5
47	одной из	2	5
48	со стороны	2	5
49	как мы	9	5
50	в течение	9	5
51	тем самым	2	5
52	и по	8	5
53	в виде	3	5
54	в россии	4	5
55	и потому	6	5
56	но даже	2	4
57	можно сказать	6	4
58	несмотря на	4	4
59	в самом	2	4
60	к ней	4	4
61	даже в	2	4
62	для нас	4	4
63	и притом	3	4
64	сказать что	7	4
65	тем более	2	4
66	в каком	2	4
67	в полной	2	4
68	как это	7	4
69	место в	2	3
70	и к	6	3
71	можно считать	2	3
72	но на	3	3
73	с тем	2	3
74	уже и	2	3
75	никогда не	9	3
76	в них	2	3
77	и от	5	3
78	на себя	3	3
79	этом смысле	4	3
80	по своим	3	3
81	в общем	3	3
82	того же	6	3
83	как было	2	3
84	и мы	2	3
85	из них	2	3
86	всяком случае	2	3
87	что и	5	3
88	когда он	5	3
89	как в	3	3
90	и для	2	3
91	как на	2	3
92	не из	2	3
93	в результате	2	3
94	потому что	11	3
95	во всяком	2	3
96	тем что	2	3
97	россии и	2	3
98	этот факт	2	3
99	о том	11	3
100	дело в	4	3
101	что все	2	2
102	он сам	2	2
103	с в	3	2
104	и все	4	2
105	к нему	4	2
106	и теперь	4	2
107	главным образом	4	2
108	что на	2	2
109	и можно	2	2
110	и как	4	2
111	но как	5	2
112	в англию	2	2
113	кажется что	2	2
114	и если	5	2
115	ними и	2	2
116	он не	10	2
117	в его	12	2
118	в котором	6	2
119	только к	3	2
120	с а	9	2
121	в свои	2	2
122	жизни и	5	2
123	вместе с	3	2
124	на основании	2	2
125	что к	3	2
126	что же	5	2
127	а в	9	2
128	таким образом	3	2
129	начиная с	2	2
130	и других	2	2
131	а именно	2	2
132	и сейчас	2	2
133	и что	6	2
134	на этот	6	2
135	другой стороны	3	2
136	и тут	2	2
137	во многом	2	2
138	в своих	5	2
139	и с	14	2
140	хотя и	4	2
141	и еще	2	2
142	в этой	4	2
143	и то	10	2
144	по своей	4	2
145	в истории	4	2
146	мы должны	2	2
147	его на	2	2
