N	3gram	Vinokur_Vv_1	Problemy
1	в то же	5	12
2	то же время	5	12
3	и т п	5	6
4	не может быть	8	6
5	во всяком случае	3	5
6	по отношению к	4	5
7	в этом смысле	10	4
8	с точки зрения	2	4
9	по крайней мере	4	3
10	в самом деле	5	3
11	в конце концов	2	3
12	с другой стороны	5	3
13	и в самом	3	3
14	но в то	3	3
15	смысле этого слова	2	2
16	и в этом	3	2
17	о том что	12	2
18	и т д	37	2
19	тем не менее	8	2
20	в этом случае	6	2
21	в отличие от	3	2
22	хотя бы и	2	2
23	как мы видели	2	2
24	сама по себе	3	2
25	вместе с тем	3	2
26	что в нем	2	2
