N	2gram	Bakhtin_Pr_3	VLabPisa
1	таким образом	5	27
2	в этом	16	26
3	и в	34	25
4	и т	8	24
5	не только	10	22
6	может быть	19	21
7	хотя бы	5	20
8	и не	29	19
9	т е	12	17
10	не может	19	17
11	в его	22	15
12	т д	2	15
13	прежде всего	15	13
14	в том	3	13
15	все это	16	12
16	с другой	4	11
17	из них	5	11
18	о том	2	10
19	что в	7	9
20	для него	13	9
21	но и	12	9
22	то же	14	9
23	т п	6	9
24	все эти	4	8
25	в своем	2	8
26	другой стороны	3	8
27	как и	18	7
28	том что	3	7
29	было бы	2	7
30	говорит о	2	7
31	отношению к	6	7
32	во всех	2	7
33	вместе с	4	7
34	по отношению	5	7
35	не было	2	7
36	а не	9	7
37	у него	4	6
38	это не	5	6
39	в себе	6	6
40	это и	2	6
41	то что	11	6
42	в нем	19	6
43	так и	6	6
44	бы и	4	6
45	и его	16	6
46	их в	3	6
47	между тем	3	6
48	в то	12	6
49	тому что	2	5
50	же время	12	5
51	все же	7	5
52	в пределах	6	5
53	как бы	27	5
54	один из	2	5
55	сказать что	2	5
56	только в	6	5
57	не в	9	5
58	не является	2	5
59	в плане	6	5
60	к тому	5	4
61	для его	2	4
62	никогда не	8	4
63	в одном	5	4
64	в целом	5	4
65	что все	4	4
66	что он	23	4
67	с его	6	4
68	в ее	3	4
69	в своей	3	4
70	в самом	8	4
71	даже в	5	4
72	когда он	2	4
73	вот как	3	4
74	как раз	4	4
75	в них	2	4
76	с ними	6	4
77	и к	12	3
78	во время	2	3
79	всех этих	2	3
80	и ее	2	3
81	с тем	5	3
82	и как	3	3
83	даже и	4	3
84	и мир	2	3
85	и от	5	3
86	в конце	5	3
87	только что	3	3
88	мы знаем	2	3
89	мы видели	3	3
90	из его	4	3
91	что они	6	3
92	в творчестве	3	3
93	но как	4	3
94	с этим	2	3
95	что не	7	3
96	например в	2	3
97	далеко не	3	3
98	и он	2	3
99	в виду	3	3
100	в котором	3	3
101	нет и	3	3
102	его в	4	3
103	что и	5	3
104	жизни и	3	3
105	сводится к	3	3
106	того что	5	3
107	так же	8	3
108	в слове	5	3
109	в которых	2	3
110	как на	2	3
111	точки зрения	8	3
112	бы в	3	3
113	не менее	3	2
114	на вопрос	4	2
115	он сам	5	2
116	в каждом	3	2
117	я бы	3	2
118	отличается от	2	2
119	по крайней	3	2
120	в жизни	2	2
121	вовсе не	11	2
122	а как	2	2
123	по себе	3	2
124	было в	2	2
125	или иной	2	2
126	крайней мере	3	2
127	что его	3	2
128	ли это	2	2
129	и потому	2	2
130	но не	4	2
131	но для	3	2
132	и слова	2	2
133	еще не	4	2
134	он и	5	2
135	в общем	4	2
136	если бы	4	2
137	в ней	3	2
138	конце концов	3	2
139	и даже	7	2
140	всяком случае	5	2
141	и этот	2	2
142	отнюдь не	2	2
143	ни одного	5	2
144	он может	2	2
145	слова не	2	2
146	ее как	3	2
147	бы не	2	2
148	а в	5	2
149	что оно	2	2
150	но с	2	2
151	при всей	2	2
152	достоевского и	3	2
153	что такое	2	2
154	и для	8	2
155	чего бы	2	2
156	с другими	4	2
157	тому как	2	2
158	собою и	4	2
159	пока еще	2	2
160	во всяком	5	2
161	хотя и	3	2
162	лишь в	5	2
163	не о	4	2
164	он в	4	2
165	он не	15	2
166	подобно тому	2	2
167	говорить о	3	2
168	в другом	8	2
169	самого себя	2	2
170	что даже	2	2
171	того или	2	2
172	будто бы	2	2
173	как он	3	2
174	которые в	2	2
175	в чем	5	2
176	в которой	2	2
177	нет ни	2	2
178	о чем	2	2
179	но в	16	2
180	братьев карамазовых	2	2
