N	2gram	Bakhtin_Pr_3	FransuaR
1	и в	34	29
2	таким образом	5	20
3	и не	29	16
4	и все	19	13
5	как и	18	12
6	но в	16	12
7	так и	6	11
8	и на	6	11
9	в этом	16	11
10	то же	14	10
11	во время	2	10
12	как мы	7	10
13	мы уже	6	10
14	в то	12	10
15	не только	10	10
16	вовсе не	11	9
17	в конце	5	9
18	но и	12	9
19	все эти	4	9
20	и с	15	9
21	его в	4	9
22	же время	12	8
23	прежде всего	15	8
24	в его	22	8
25	и его	16	8
26	как бы	27	8
27	в них	2	7
28	мы видели	3	7
29	так же	8	7
30	в том	3	7
31	так как	4	7
32	из них	5	6
33	в большинстве	2	6
34	в сущности	11	6
35	своего рода	2	6
36	но он	3	6
37	что это	5	5
38	у него	4	5
39	это не	5	5
40	это и	2	5
41	того же	2	5
42	до конца	3	5
43	далеко не	3	5
44	в нем	19	5
45	уже говорили	3	5
46	в своей	3	5
47	большинстве случаев	3	5
48	рядом с	4	5
49	сказать что	2	5
50	он и	5	5
51	с его	6	4
52	что он	23	4
53	но это	4	4
54	по своему	3	4
55	еще не	4	4
56	конце концов	3	4
57	один из	2	4
58	то что	11	4
59	жизни и	3	4
60	конечно не	2	4
61	все это	16	4
62	на самом	11	4
63	с другой	4	4
64	жизнь и	2	4
65	связан с	2	4
66	тем что	4	4
67	точки зрения	8	4
68	в которой	2	4
69	в плане	6	4
70	тому как	2	3
71	все время	5	3
72	всех этих	2	3
73	в своем	2	3
74	и так	5	3
75	с ее	3	3
76	самого начала	8	3
77	что у	6	3
78	в ее	3	3
79	все же	7	3
80	но как	4	3
81	с самого	8	3
82	том что	3	3
83	и как	3	3
84	то в	2	3
85	такой же	3	3
86	и сам	5	3
87	тот же	2	3
88	того что	5	3
89	здесь и	2	3
90	той же	2	3
91	он не	15	3
92	к нему	14	3
93	другой стороны	3	3
94	как к	4	3
95	при этом	4	3
96	и вот	5	3
97	и даже	7	3
98	что значит	2	3
99	особенно в	2	3
100	с ними	6	3
101	в ней	3	3
102	же и	2	3
103	подобно тому	2	3
104	в себе	6	3
105	почти все	2	3
106	там где	7	3
107	в чем	5	3
108	уже в	3	2
109	бы не	2	2
110	в другой	2	2
111	по всему	2	2
112	в жизни	2	2
113	это в	2	2
114	и со	2	2
115	его к	3	2
116	а как	2	2
117	у вас	2	2
118	о мире	8	2
119	к тому	5	2
120	и к	12	2
121	но только	2	2
122	ни в	4	2
123	да и	4	2
124	что я	15	2
125	что они	6	2
126	мы увидим	2	2
127	на этом	4	2
128	но не	4	2
129	о своей	2	2
130	было в	2	2
131	не может	19	2
132	о чем	2	2
133	на его	4	2
134	может быть	19	2
135	же вы	2	2
136	хотя и	3	2
137	у меня	6	2
138	никогда не	8	2
139	уже не	2	2
140	в виду	3	2
141	все те	2	2
142	в котором	3	2
143	на них	5	2
144	с таким	4	2
145	раз в	2	2
146	и для	8	2
147	всего романа	2	2
148	вот как	3	2
149	его и	3	2
150	как в	4	2
151	как раз	4	2
152	которых он	2	2
153	в той	2	2
154	и у	5	2
155	и наконец	5	2
156	с точки	4	2
157	друг друга	2	2
158	как на	2	2
159	в слове	5	2
160	эпизод с	2	2
161	не мог	5	2
162	где он	3	2
163	и то	3	2
164	их в	3	2
165	в одной	3	2
166	даже и	4	2
167	как будто	7	2
168	только в	6	2
169	но этот	2	2
170	о том	2	2
171	как он	3	2
172	и это	4	2
173	так сказать	2	2
174	с ним	8	2
175	к которому	2	2
176	же не	2	2
