N	2gram	Nazirov_Tv_1	Istorich
1	и в	21	25
2	что он	6	22
3	вместе с	2	22
4	и т	3	20
5	представление о	3	17
6	может быть	5	17
7	не только	7	13
8	но и	3	13
9	в его	13	12
10	и не	7	11
11	уже не	3	11
12	так как	3	11
13	все же	5	10
14	в этом	6	10
15	с другой	3	9
16	и его	6	9
17	таким образом	5	9
18	в виде	3	9
19	что в	12	8
20	том что	11	8
21	и на	7	8
22	в частности	2	7
23	в качестве	2	7
24	а затем	2	7
25	как и	12	7
26	но это	5	7
27	то что	8	7
28	в нем	3	7
29	при помощи	2	7
30	представлений о	2	7
31	потому что	5	7
32	представляет собой	3	7
33	только в	5	7
34	о том	6	7
35	в этих	2	6
36	это не	4	6
37	прежде всего	4	6
38	что и	2	6
39	как в	8	6
40	не может	4	6
41	и он	2	6
42	не в	2	6
43	или в	2	6
44	могут быть	2	6
45	в том	7	6
46	живет в	2	5
47	здесь мы	2	5
48	но не	3	5
49	в ней	2	5
50	в него	2	5
51	так же	3	5
52	не менее	6	4
53	что все	3	4
54	и тем	2	4
55	тем не	2	4
56	в дальнейшем	3	4
57	он видит	3	4
58	в основном	4	4
59	из себя	2	4
60	герой в	2	4
61	все это	10	4
62	то же	13	4
63	на смену	2	4
64	он не	8	4
65	в которой	3	4
66	с ним	3	4
67	никогда не	3	3
68	и как	4	3
69	и все	6	3
70	в целом	4	3
71	ее и	2	3
72	в книге	3	3
73	в свою	7	3
74	что его	2	3
75	в этой	5	3
76	в то	15	3
77	в себя	2	3
78	на том	2	3
79	если в	2	3
80	а в	6	3
81	в данном	2	3
82	и с	3	3
83	человека в	6	3
84	в русской	5	3
85	героя и	2	3
86	перед нами	2	2
87	уже в	3	2
88	это уже	5	2
89	у него	7	2
90	когда человек	2	2
91	человека и	4	2
92	к этому	2	2
93	вовсе не	5	2
94	а как	2	2
95	можно сказать	2	2
96	так что	2	2
97	об этом	2	2
98	такой же	2	2
99	одна из	2	2
100	того же	2	2
101	жизни и	3	2
102	одним из	4	2
103	свою противоположность	2	2
104	из других	2	2
105	как бы	17	2
106	это время	2	2
107	еще в	2	2
108	даже в	3	2
109	один из	4	2
110	в своей	4	2
111	когда он	2	2
112	время в	3	2
113	на берегу	3	2
114	ее в	3	2
115	данном случае	2	2
116	говорит о	3	2
117	в наше	2	2
118	с которым	2	2
119	до этого	2	2
120	и других	3	2
121	в одно	2	2
122	самом деле	2	2
123	а не	5	2
124	того что	3	2
125	и по	3	2
126	то в	2	2
127	связан с	3	2
128	с большой	4	2
129	сказать что	2	2
130	но он	2	2
131	ту же	3	2
132	из них	2	2
133	значит что	2	2
