N	2gram	Berdyaev_V_1	Russkaja
1	и не	20	19
2	в том	3	17
3	в этом	4	17
4	и в	16	14
5	то что	9	13
6	но и	5	10
7	том что	2	9
8	не только	2	9
9	во всяком	2	9
10	прежде всего	2	8
11	того чтобы	2	8
12	к богу	8	7
13	к тому	3	7
14	не будет	2	7
15	самого себя	2	7
16	что он	4	6
17	с тем	2	6
18	для него	2	6
19	все это	5	6
20	и для	3	6
21	хотя бы	3	5
22	конечно не	2	5
23	в своей	3	5
24	никогда не	3	5
25	в нем	4	5
26	во всех	3	5
27	а между	2	5
28	а в	2	5
29	потому что	4	5
30	во имя	32	5
31	только в	2	5
32	между тем	2	5
33	но не	2	4
34	не могут	2	4
35	что в	3	4
36	в мире	5	4
37	как и	4	4
38	все что	4	4
39	как бы	5	4
40	жизни и	3	4
41	на земле	7	4
42	не в	3	4
43	можно было	2	4
44	и то	2	4
45	в его	4	4
46	так как	9	4
47	для них	2	3
48	на том	2	3
49	в конце	3	3
50	что все	4	3
51	да и	2	3
52	лишь в	3	3
53	что они	7	3
54	должно быть	3	3
55	еще не	8	3
56	и потому	7	3
57	и будут	2	3
58	но мы	2	3
59	то это	3	3
60	что и	3	3
61	не есть	6	3
62	и т	2	3
63	не было	3	3
64	того что	5	3
65	тем что	2	3
66	и во	2	3
67	говорить о	4	3
68	одна из	2	3
69	мира от	4	3
70	любовь к	3	2
71	а с	2	2
72	должна быть	3	2
73	и есть	4	2
74	по этому	3	2
75	его и	2	2
76	не нужна	3	2
77	во главе	2	2
78	ни в	3	2
79	уже не	2	2
80	но это	3	2
81	всех людей	3	2
82	от него	2	2
83	за то	3	2
84	в ней	4	2
85	к чему	3	2
86	от своей	2	2
87	в котором	4	2
88	не к	2	2
89	для нас	2	2
90	ее в	2	2
91	и тогда	2	2
92	тому что	3	2
93	они будут	4	2
94	если не	3	2
95	все эти	3	2
96	и что	3	2
97	а не	7	2
98	не так	2	2
99	людей и	2	2
100	их в	3	2
101	раз навсегда	2	2
102	на себя	5	2
103	в этих	3	2
104	с ним	2	2
105	но в	3	2
