N	2gram	Voloshinov_1	Tragedij
1	и в	19	18
2	в романе	2	10
3	в этом	16	9
4	не только	8	8
5	и не	26	7
6	и на	4	7
7	и с	2	7
8	может быть	26	7
9	как бы	15	7
10	что он	2	6
11	и его	19	6
12	же время	3	6
13	но в	7	6
14	все же	8	5
15	так и	11	5
16	не может	24	5
17	то же	7	5
18	в дальнейшем	3	5
19	как и	12	5
20	в то	3	5
21	но и	8	4
22	то что	8	4
23	что в	4	4
24	все это	3	4
25	прежде всего	13	4
26	и все	5	4
27	в нем	10	4
28	и даже	2	4
29	так же	7	4
30	том что	3	4
31	в себе	2	4
32	еще не	4	4
33	с ее	2	3
34	отнюдь не	6	3
35	в своем	2	3
36	в конце	5	3
37	как в	4	3
38	все эти	7	3
39	и он	2	3
40	и как	3	3
41	в основном	6	3
42	должно быть	2	3
43	в его	6	3
44	для него	9	3
45	при этом	8	3
46	мог бы	2	3
47	не имеет	3	2
48	не могут	3	2
49	что и	2	2
50	как же	4	2
51	в частности	2	2
52	в отличие	5	2
53	но при	2	2
54	что все	2	2
55	а как	3	2
56	вопрос о	4	2
57	не просто	2	2
58	бы и	2	2
59	к тому	2	2
60	между этими	2	2
61	и здесь	6	2
62	ни в	2	2
63	в ее	7	2
64	в том	6	2
65	до конца	5	2
66	друг друга	8	2
67	отличие от	5	2
68	но все	3	2
69	в таком	2	2
70	не в	5	2
71	в данном	4	2
72	одна из	2	2
73	в первом	3	2
74	тем что	2	2
75	и ее	3	2
76	о том	2	2
77	его в	3	2
78	и это	3	2
79	в самом	10	2
80	этими двумя	2	2
81	ничего не	6	2
82	он не	3	2
83	никогда не	2	2
