N	2gram	Losev_Prob_2	Analitik
1	в качестве	2	31
2	может быть	18	29
3	в том	12	27
4	не может	13	22
5	и не	37	21
6	в частности	5	19
7	и в	35	18
8	а не	10	17
9	но и	16	17
10	представляет собой	2	16
11	отнюдь не	5	15
12	не только	24	15
13	не в	2	14
14	как и	5	13
15	в его	7	13
16	в этом	17	13
17	том что	19	12
18	при этом	3	12
19	в себе	5	11
20	то есть	39	11
21	но не	4	10
22	то же	5	9
23	а в	4	9
24	в то	6	9
25	есть не	6	8
26	не есть	33	8
27	в той	2	8
28	но в	6	8
29	к тому	3	7
30	тем самым	7	7
31	прежде всего	11	6
32	или иной	5	6
33	в самом	5	6
34	в случае	3	6
35	той или	5	6
36	далеко не	4	6
37	то что	38	6
38	в основе	3	6
39	точки зрения	2	6
40	только в	14	6
41	и того	3	5
42	и как	4	5
43	в этой	9	5
44	что в	11	5
45	такого рода	15	5
46	как бы	4	5
47	в целом	3	5
48	в их	3	5
49	сводится к	2	5
50	лишь в	3	5
51	и на	5	5
52	что иное	3	5
53	о том	18	5
54	иное как	3	5
55	того что	12	4
56	и более	5	4
57	с другой	6	4
58	по себе	8	4
59	не что	3	4
60	ни в	6	4
61	для того	3	4
62	в области	6	4
63	все же	8	4
64	вместе с	2	4
65	так и	7	4
66	собственно говоря	2	4
67	уже не	8	4
68	из которых	2	4
69	с другими	5	4
70	смысла и	2	3
71	том числе	2	3
72	не могут	4	3
73	и есть	4	3
74	в нашем	3	3
75	то ни	3	3
76	хотя бы	12	3
77	и все	5	3
78	или иного	5	3
79	и к	3	3
80	что он	4	3
81	и т	6	3
82	том или	3	3
83	еще не	10	3
84	одной стороны	5	3
85	что не	5	3
86	никто не	3	3
87	он не	2	3
88	о нем	2	3
89	даже в	2	3
90	что и	2	3
91	не будет	11	3
92	бы то	2	3
93	ни с	2	3
94	а именно	6	3
95	таким образом	4	3
96	с одной	5	3
97	того чтобы	2	3
98	того или	7	3
99	к нему	2	3
100	в таком	11	3
101	тому как	3	3
102	мере в	2	3
103	или ином	2	3
104	подобно тому	2	3
105	как будто	6	3
106	что мы	14	3
107	разного рода	4	3
108	будто бы	5	3
109	а также	2	3
110	если бы	4	3
111	таком случае	10	3
112	может иметь	2	2
113	и то	10	2
114	не являются	3	2
115	только не	3	2
116	все эти	7	2
117	между собой	5	2
118	для этого	3	2
119	не является	7	2
120	из этих	3	2
121	тогда когда	3	2
122	не просто	11	2
123	вовсе не	37	2
124	вопрос о	3	2
125	можно сказать	6	2
126	тех или	3	2
127	самое время	4	2
128	должно быть	2	2
129	и сам	2	2
130	или не	2	2
131	случае не	4	2
132	было бы	8	2
133	мысль о	2	2
134	несмотря на	3	2
135	себе в	2	2
136	и о	4	2
137	совпадает с	2	2
138	не о	6	2
139	и самого	4	2
140	и является	3	2
141	еще в	2	2
142	к предмету	3	2
143	нет и	3	2
144	сами по	2	2
145	не все	4	2
146	один из	3	2
147	элементов а	2	2
148	общения людей	3	2
149	ли он	3	2
150	не говоря	4	2
151	данном случае	5	2
152	что же	9	2
153	другой стороны	5	2
154	отличается от	2	2
155	здесь не	2	2
156	бы не	3	2
157	той же	2	2
158	на самом	4	2
159	самом деле	4	2
160	ю м	2	2
161	свидетельствует о	2	2
162	едва ли	9	2
163	и по	3	2
164	роль в	2	2
165	как мы	5	2
166	каждый из	2	2
167	также и	12	2
168	тем более	10	2
169	для себя	9	2
170	в данном	10	2
171	что из	2	2
172	же самое	6	2
173	могли бы	3	2
174	при помощи	8	2
175	которые в	2	2
176	нет ничего	2	2
177	так как	7	2
178	потому что	13	2
179	и с	10	2
