N	2gram	Vinokur_St_3	Mirosoze
1	и в	25	46
2	у него	9	22
3	может быть	19	21
4	в этом	24	20
5	никогда не	2	18
6	для него	3	18
7	и не	10	18
8	не только	12	18
9	но и	9	15
10	не может	7	15
11	как и	4	13
12	а не	5	13
13	прежде всего	10	12
14	потому что	5	12
15	не было	4	11
16	в ней	4	11
17	но он	3	11
18	у нас	4	11
19	но в	5	10
20	он не	5	10
21	он был	3	9
22	не в	6	9
23	но это	4	8
24	как бы	6	8
25	так как	3	8
26	отношение к	4	8
27	связана с	4	7
28	в этой	14	7
29	что он	19	7
30	и к	4	7
31	как в	6	7
32	и для	4	7
33	что это	16	6
34	того что	5	6
35	и здесь	3	6
36	в русской	6	6
37	то же	5	5
38	в отношении	2	5
39	что все	3	5
40	в самом	2	5
41	один из	2	5
42	это не	7	5
43	в конце	6	5
44	в духе	2	5
45	к тому	2	5
46	то что	12	5
47	в своей	4	5
48	для того	2	5
49	и его	3	5
50	в его	12	5
51	и это	5	5
52	что в	19	4
53	тому что	3	4
54	для этого	2	4
55	до конца	3	4
56	нет в	3	4
57	его отношение	2	4
58	что у	2	4
59	не имеет	2	4
60	в русском	2	4
61	с его	3	4
62	в жизни	4	4
63	в свою	2	4
64	том что	15	4
65	должен быть	2	4
66	так и	5	4
67	т е	8	4
68	уже не	3	4
69	себя и	2	3
70	в каждом	4	3
71	в такой	2	3
72	ни в	5	3
73	в том	20	3
74	что они	2	3
75	он хочет	2	3
76	и всегда	2	3
77	не мог	2	3
78	не так	3	3
79	в своих	8	3
80	и на	6	3
81	сказать что	4	3
82	и с	4	3
83	о том	8	3
84	в россии	6	3
85	к которому	3	3
86	если бы	4	3
87	в них	5	3
88	и во	2	3
89	с которым	3	3
90	в трагедии	6	3
91	связано с	5	3
92	до сих	2	3
93	народ в	2	3
94	на почве	5	3
95	сих пор	2	3
96	от того	2	3
97	русской истории	2	3
98	и тогда	2	3
99	той же	2	3
100	тем что	19	3
101	только в	6	3
102	есть в	2	3
103	в творчестве	3	3
104	в чем	4	3
105	место в	6	2
106	уже в	3	2
107	сам он	2	2
108	не был	2	2
109	о русском	2	2
110	в этих	11	2
111	или иной	2	2
112	все время	2	2
113	я и	3	2
114	нас не	2	2
115	так что	11	2
116	это есть	4	2
117	он считает	2	2
118	и если	3	2
119	соединение с	2	2
120	на его	4	2
121	такого рода	5	2
122	к нему	4	2
123	и за	2	2
124	и других	2	2
125	лишь в	4	2
126	его не	2	2
127	а в	6	2
128	точки зрения	7	2
129	между тем	6	2
130	на этом	3	2
131	то он	2	2
132	тогда когда	2	2
133	мы видим	4	2
134	то в	4	2
135	связи с	3	2
136	и что	3	2
137	быть назван	2	2
138	и тот	2	2
139	в сущности	2	2
140	во всех	2	2
141	что русский	2	2
142	к ней	4	2
143	вместе с	2	2
144	ее в	2	2
145	если я	2	2
146	в центре	4	2
147	россии и	2	2
148	говорит что	5	2
149	что не	2	2
150	которые в	2	2
151	в которой	4	2
152	ничего не	4	2
