N	2gram	Trubetskoy_1	RusskieA
1	и в	26	36
2	не только	10	22
3	что в	9	19
4	том что	7	19
5	в том	11	17
6	но и	9	16
7	так как	9	15
8	во время	4	14
9	и другие	3	13
10	в этом	15	12
11	в других	3	11
12	вместе с	15	10
13	и на	2	10
14	потому что	7	10
15	а в	4	9
16	с тем	18	8
17	состоит в	2	8
18	из них	7	8
19	может быть	10	8
20	один из	2	8
21	и по	4	8
22	о том	6	8
23	что и	6	7
24	так и	6	7
25	между тем	2	7
26	и не	8	6
27	так например	2	6
28	при этом	3	6
29	в них	2	6
30	уже не	3	6
31	таким образом	22	6
32	все это	6	6
33	не имеет	5	6
34	в виде	4	6
35	то что	7	6
36	все же	6	5
37	как бы	12	5
38	в течение	4	5
39	и у	8	5
40	в которых	4	5
41	одно из	2	5
42	из этих	10	4
43	к этому	3	4
44	к тому	6	4
45	по существу	2	4
46	представляет собой	3	4
47	еще не	2	4
48	связи с	9	4
49	вплоть до	2	4
50	во всех	2	4
51	в россии	2	4
52	не может	4	4
53	в связи	3	4
54	а с	7	4
55	мы имеем	2	4
56	и что	4	4
57	того что	3	4
58	только в	4	4
59	в русском	2	4
60	не менее	3	3
61	начиная с	2	3
62	к жизни	5	3
63	что это	3	3
64	связанные с	7	3
65	в этих	4	3
66	в качестве	3	3
67	в своем	3	3
68	но все	7	3
69	в одном	3	3
70	представление о	6	3
71	так называемой	2	3
72	в свою	2	3
73	от них	2	3
74	и к	5	3
75	тем не	3	3
76	и другой	2	3
77	несмотря на	6	3
78	к ним	3	3
79	а также	2	3
80	если в	3	3
81	не с	2	3
82	русского народа	3	3
83	и из	2	3
84	приводит к	2	3
85	в разных	2	3
86	то же	4	3
87	с точки	6	3
88	на этот	4	3
89	так же	5	3
90	и те	3	3
91	точки зрения	13	3
92	то есть	4	3
93	далеко не	4	3
94	в области	9	3
95	не было	2	2
96	только для	2	2
97	и потому	6	2
98	в образе	2	2
99	главным образом	8	2
100	на все	2	2
101	что именно	2	2
102	в нем	4	2
103	его от	2	2
104	так что	3	2
105	и как	3	2
106	в силу	5	2
107	но не	8	2
108	тем и	2	2
109	быть и	2	2
110	на западе	3	2
111	с целью	2	2
112	когда он	3	2
113	должно было	2	2
114	в его	5	2
115	подойти к	3	2
116	и с	10	2
117	к другу	2	2
118	с ней	3	2
119	для этого	2	2
120	все эти	6	2
121	а не	5	2
122	и для	5	2
123	мы можем	2	2
124	должна была	2	2
125	и связанные	2	2
126	и здесь	2	2
127	но в	7	2
128	ничего общего	2	2
129	мы должны	6	2
