N	2gram	Tiupa_Lite_1	KFilosof
1	может быть	13	43
2	в его	7	39
3	в нем	2	31
4	не может	5	27
5	и не	12	26
6	по отношению	3	25
7	и в	8	22
8	отношению к	2	21
9	в себе	7	21
10	не есть	2	19
11	а не	16	17
12	и его	4	17
13	только в	8	16
14	точки зрения	6	13
15	в этом	12	13
16	для него	2	12
17	но не	4	12
18	все эти	2	11
19	в своей	4	11
20	не в	8	11
21	в своем	11	10
22	это не	4	10
23	от себя	2	10
24	с точки	2	10
25	и есть	3	9
26	в целом	8	9
27	но и	17	9
28	в их	3	9
29	как бы	7	9
30	для нее	2	9
31	не было	3	8
32	лишь в	4	8
33	мир в	4	8
34	было бы	2	8
35	жизни и	3	8
36	со стороны	4	8
37	должен быть	2	7
38	то что	10	7
39	себя в	6	7
40	в себя	2	7
41	я не	7	6
42	и я	6	6
43	в том	16	6
44	и только	2	6
45	в мире	2	6
46	отнюдь не	2	6
47	уже не	7	6
48	мира в	3	6
49	никогда не	4	5
50	хотя бы	2	5
51	то же	5	5
52	в основе	3	5
53	его в	3	5
54	но в	3	5
55	как и	6	5
56	что я	2	5
57	действительного мира	2	5
58	не только	24	5
59	для себя	5	5
60	все же	4	5
61	ко всему	2	5
62	что в	3	4
63	при этом	19	4
64	в своих	4	4
65	между тем	2	4
66	не как	4	4
67	том что	14	4
68	а в	3	4
69	тем самым	5	4
70	во мне	2	3
71	должна быть	2	3
72	не менее	7	3
73	из его	2	3
74	в виду	3	3
75	и тем	4	3
76	того что	6	3
77	поскольку он	2	3
78	в то	5	3
79	о том	2	3
80	не должен	3	3
81	еще не	4	3
82	бы не	3	3
83	самом деле	2	3
84	что не	2	3
85	тем что	2	3
86	могут быть	2	3
87	в другом	2	3
88	сознания в	12	2
89	это уже	2	2
90	та же	2	2
91	прежде всего	11	2
92	или иной	2	2
93	тем не	2	2
94	эстетического субъекта	9	2
95	же время	5	2
96	и само	2	2
97	для этого	4	2
98	мышления и	2	2
99	в принципе	3	2
100	потому что	3	2
101	он и	3	2
102	к себе	3	2
103	в сознании	2	2
104	я и	7	2
105	а как	2	2
106	с его	5	2
107	и то	2	2
108	раз и	2	2
109	в жизни	6	2
110	что он	5	2
111	и того	2	2
112	в качестве	17	2
113	дело не	2	2
114	не остается	2	2
115	так и	4	2
116	как в	5	2
117	чтобы не	2	2
118	сводится к	3	2
119	в данном	5	2
120	в этой	4	2
121	дело в	3	2
122	в области	3	2
123	а для	2	2
