N	2gram	Potebnia_M_4	Literetu
1	не только	10	24
2	при этом	15	19
3	но и	11	17
4	а не	12	16
5	в том	23	16
6	том что	12	14
7	может быть	26	13
8	тогда как	4	13
9	и не	18	12
10	в этом	23	12
11	состоит в	2	11
12	в своем	8	11
13	то что	29	10
14	или иначе	2	9
15	так или	2	8
16	не в	11	8
17	и в	23	8
18	только в	15	8
19	не менее	5	7
20	я не	2	7
21	в его	5	7
22	как бы	5	7
23	уже не	3	7
24	в себе	14	7
25	и я	2	6
26	как и	14	6
27	связи с	3	6
28	того что	14	6
29	точки зрения	4	6
30	то есть	34	6
31	что он	4	5
32	же время	3	5
33	я в	2	5
34	как в	7	5
35	не может	11	5
36	то же	14	5
37	уже в	5	5
38	тем самым	4	5
39	в данном	4	5
40	в то	4	5
41	столь же	2	4
42	это не	7	4
43	в силу	7	4
44	еще не	3	4
45	и тем	4	4
46	данном случае	2	4
47	со стороны	3	4
48	так и	6	4
49	никогда не	3	4
50	лишь в	3	4
51	друг друга	2	4
52	и его	2	4
53	ведет к	3	4
54	в своих	2	4
55	не как	2	4
56	не было	12	3
57	что в	17	3
58	в сознание	2	3
59	и есть	3	3
60	с другой	2	3
61	да и	4	3
62	что его	2	3
63	и прежде	2	3
64	например в	3	3
65	в самом	3	3
66	том же	2	3
67	один из	2	3
68	и др	2	3
69	этом в	2	3
70	по отношению	10	3
71	бы не	3	3
72	а в	5	3
73	таким образом	24	3
74	более чем	3	3
75	говоря словами	2	3
76	и даже	2	3
77	той же	3	3
78	потому что	33	3
79	во всяком	5	3
80	но в	8	3
81	его в	4	3
82	в области	2	3
83	в виду	3	3
84	а как	2	2
85	все более	3	2
86	превращается в	2	2
87	так называемых	3	2
88	дело не	2	2
89	из этих	2	2
90	подобно тому	2	2
91	человека и	3	2
92	для понимания	2	2
93	в мире	2	2
94	к тому	3	2
95	тем не	4	2
96	что я	11	2
97	отношения между	2	2
98	для него	5	2
99	было бы	8	2
100	по поводу	4	2
101	мы в	3	2
102	в искусстве	3	2
103	всяком случае	3	2
104	даже в	2	2
105	в нем	7	2
106	то это	8	2
107	не есть	9	2
108	отношению к	8	2
109	если оно	2	2
110	на том	2	2
111	в сущности	2	2
112	то он	2	2
113	художественное произведение	2	2
114	только на	4	2
115	эта мысль	2	2
116	то и	4	2
117	и только	3	2
118	человеческого духа	6	2
119	все эти	3	2
120	самом деле	3	2
121	что не	6	2
122	что такое	7	2
123	хотя бы	4	2
124	и вполне	2	2
125	с точки	3	2
126	во многих	2	2
127	в слове	22	2
128	можно было	2	2
129	тому как	2	2
130	и то	5	2
131	между тем	9	2
132	тем более	5	2
133	тем что	10	2
134	могут быть	7	2
135	себе в	3	2
136	ту же	3	2
137	о том	8	2
138	нет ничего	3	2
139	поэзии и	7	2
140	в сознании	4	2
141	нашего времени	3	2
