N	2gram	Tiupa_Lite_3	Hudozhes
1	в мире	16	23
2	в качестве	5	19
3	то есть	5	18
4	состоит в	6	16
5	и не	22	16
6	в том	12	15
7	и в	16	15
8	не только	14	15
9	в частности	11	13
10	может быть	12	13
11	тогда как	17	13
12	при этом	15	12
13	а в	5	12
14	и его	6	12
15	но не	4	11
16	в этом	14	11
17	эстетического отношения	2	11
18	в себе	6	11
19	я в	7	11
20	представляет собой	2	10
21	как бы	8	10
22	отношению к	4	10
23	но и	14	10
24	так и	9	10
25	по отношению	4	10
26	то же	9	10
27	а не	12	10
28	такого рода	10	9
29	в его	6	9
30	точки зрения	7	9
31	в рамках	4	8
32	произведение искусства	6	8
33	себя в	7	8
34	своего рода	10	8
35	присутствия в	6	8
36	с другой	6	7
37	или иной	2	7
38	в отличие	5	7
39	в принципе	2	7
40	в то	9	7
41	отличие от	5	7
42	но в	3	7
43	я и	10	7
44	в основе	5	6
45	с его	6	6
46	что в	2	6
47	в ее	5	6
48	том что	8	6
49	не в	10	6
50	же время	7	6
51	отношение к	2	6
52	в тексте	4	6
53	не может	8	6
54	по своей	3	6
55	художественного творчества	2	5
56	можно сказать	2	5
57	а также	4	5
58	только в	7	5
59	тем самым	7	5
60	в самом	3	5
61	того что	9	5
62	той или	2	5
63	я с	3	5
64	в нем	2	5
65	с ее	3	5
66	то что	12	5
67	и одновременно	2	5
68	и т.п	6	5
69	другой стороны	2	5
70	уже не	3	5
71	коммуникативного события	5	5
72	место в	4	4
73	а на	2	4
74	говоря словами	3	4
75	личности в	3	4
76	прежде всего	3	4
77	к тому	6	4
78	и как	3	4
79	в другом	6	4
80	особого рода	5	4
81	для него	2	4
82	еще не	6	4
83	например в	3	4
84	хотя и	4	4
85	жизни как	2	4
86	и тем	3	4
87	в своей	7	4
88	со стороны	7	4
89	входит в	4	4
90	отношения к	3	4
91	лирический герой	5	4
92	в слове	3	4
93	самим собой	3	4
94	между тем	3	4
95	не знает	2	4
96	эстетического объекта	6	4
97	как это	3	4
98	эстетический объект	3	4
99	художественного произведения	2	3
100	не менее	2	3
101	если бы	2	3
102	однако в	4	3
103	в противоположность	2	3
104	это не	5	3
105	что он	5	3
106	в стихотворении	6	3
107	и к	3	3
108	субъекта и	5	3
109	эстетического субъекта	7	3
110	перед лицом	4	3
111	того же	2	3
112	парадигмы художественности	2	3
113	в свою	2	3
114	о чем	3	3
115	однако если	3	3
116	как раз	2	3
117	далеко не	2	3
118	в целом	5	3
119	объекта и	2	3
120	как и	5	3
121	лишь в	5	3
122	во втором	2	3
123	с точки	3	3
124	во всей	2	3
125	и для	4	3
126	не случайно	3	3
127	и адресата	2	3
128	потому что	3	3
129	автора и	2	3
130	и ее	2	3
131	в данном	4	3
132	его в	2	3
133	всего лишь	5	3
134	в области	3	3
135	в творческом	2	2
136	том числе	3	2
137	по мысли	6	2
138	я не	2	2
139	ни к	3	2
140	в сторону	3	2
141	нас самих	2	2
142	себя и	2	2
143	так или	2	2
144	числе и	2	2
145	жизни в	4	2
146	другого я	2	2
147	не как	2	2
148	в одном	4	2
149	вследствие этого	2	2
150	по себе	2	2
151	субъект и	2	2
152	этого текста	2	2
153	личности с	3	2
154	субъекта жизни	2	2
155	художественной культуры	5	2
156	эстетической деятельности	2	2
157	одной стороны	4	2
158	и сам	2	2
159	для такого	2	2
160	несмотря на	2	2
161	мира в	3	2
162	во всех	2	2
163	и потому	2	2
164	не вполне	2	2
165	к жизни	2	2
166	даже в	4	2
167	причастности к	6	2
168	для себя	2	2
169	оно не	2	2
170	хх века	11	2
171	коммуникативное событие	4	2
172	художественное произведение	2	2
173	как в	5	2
174	а именно	5	2
175	здесь не	2	2
176	в романе	3	2
177	другого в	4	2
178	я как	4	2
179	на свою	3	2
180	с одной	4	2
181	именно в	5	2
182	в году	5	2
183	от себя	2	2
184	того чтобы	2	2
185	для того	2	2
186	а.н веселовского	2	2
187	так же	2	2
188	право на	2	2
189	или иначе	2	2
190	и на	2	2
191	одно из	4	2
192	в этой	8	2
193	лирического героя	7	2
194	о том	6	2
195	еще один	2	2
196	мира и	2	2
197	для меня	2	2
