N	2gram	Voloshinov_1	Mirosoze
1	и в	16	46
2	в нем	4	22
3	у него	2	22
4	может быть	17	21
5	в этом	9	20
6	никогда не	2	18
7	для него	6	18
8	и не	4	18
9	не только	7	18
10	но и	4	15
11	не может	8	15
12	как и	2	13
13	не есть	2	13
14	прежде всего	9	12
15	но в	4	10
16	он не	2	10
17	не знает	2	9
18	и есть	3	8
19	но это	2	8
20	как бы	5	8
21	так как	4	8
22	отношение к	5	8
23	в этой	4	7
24	что он	2	7
25	и к	6	7
26	и потому	3	7
27	хотя бы	4	7
28	и для	2	7
29	что это	2	6
30	так же	2	6
31	жизни и	3	6
32	то же	2	5
33	и вот	3	5
34	совсем не	2	5
35	в самом	2	5
36	один из	2	5
37	те же	3	5
38	и все	4	5
39	то что	3	5
40	в своей	2	5
41	и его	8	5
42	в его	4	5
43	и это	6	5
44	что в	3	4
45	для этого	2	4
46	все что	4	4
47	только и	2	4
48	они не	2	4
49	с его	7	4
50	в жизни	2	4
51	том что	3	4
52	что и	2	4
53	так и	4	4
54	же как	2	3
55	себя и	2	3
56	ни в	5	3
57	в том	3	3
58	всю жизнь	2	3
59	момент в	2	3
60	влечет к	2	3
61	и на	4	3
62	сказать что	7	3
63	и с	8	3
64	о том	2	3
65	его в	4	3
66	с ним	2	3
67	не существует	2	3
68	в них	2	3
69	есть и	2	3
70	до сих	3	3
71	не будет	2	3
72	сих пор	3	3
73	и она	3	3
74	только в	4	3
75	есть в	2	3
76	в чем	5	3
77	в этих	3	2
78	быть может	2	2
79	я и	6	2
80	отношения к	3	2
81	чем не	3	2
82	и других	2	2
83	а в	3	2
84	к себе	3	2
85	в основе	3	2
86	точки зрения	8	2
87	на этом	3	2
88	мы видим	2	2
89	во всех	3	2
90	оно не	2	2
91	нем нет	2	2
92	вместе с	3	2
93	ее в	2	2
94	что не	2	2
95	к матери	8	2
96	сознания и	2	2
97	и этим	2	2
