N	2gram	Berdyaev_O_1	Vladivir
1	и в	19	40
2	то что	5	28
3	и не	13	25
4	не только	11	25
5	учение о	2	24
6	у него	22	24
7	но и	13	18
8	в том	5	18
9	том что	2	18
10	что в	4	17
11	в этом	12	16
12	так что	2	14
13	в его	7	14
14	не может	4	14
15	сказать что	2	12
16	даже и	2	12
17	никогда не	9	11
18	потому что	9	11
19	о том	3	11
20	прежде всего	9	10
21	и потому	2	10
22	не есть	2	10
23	и его	4	10
24	и с	2	9
25	и то	2	9
26	в своей	2	9
27	что же	2	9
28	в себе	3	9
29	в своем	2	8
30	в этой	5	8
31	для него	5	8
32	может быть	11	8
33	он не	7	8
34	а не	11	8
35	что все	2	7
36	хотя и	2	7
37	а в	5	7
38	в своих	3	7
39	так как	2	7
40	с тем	2	7
41	того что	3	7
42	что и	2	7
43	как и	6	7
44	и на	2	6
45	и от	3	6
46	по себе	2	6
47	так и	2	6
48	хотя бы	3	6
49	совсем не	2	5
50	должно быть	2	5
51	не было	9	5
52	все эти	4	5
53	только и	4	5
54	в истории	2	5
55	что он	3	5
56	тем что	2	5
57	ничего не	2	5
58	вопрос о	10	4
59	до конца	7	4
60	в самом	5	4
61	не имеет	2	4
62	и все	10	4
63	чем в	2	4
64	еще не	3	4
65	было бы	3	4
66	и о	2	4
67	него в	5	4
68	о боге	4	4
69	все же	2	4
70	но в	2	4
71	уже в	2	3
72	это не	3	3
73	всегда есть	4	3
74	человека и	10	3
75	как бы	3	3
76	в нем	10	3
77	к нему	3	3
78	и против	2	3
79	ни с	7	3
80	что есть	2	3
81	в россии	5	3
82	не все	2	3
83	ее в	2	3
84	того чтобы	4	3
85	не в	11	3
86	и для	2	3
87	это было	3	3
88	он сам	4	2
89	не могут	3	2
90	можно ли	2	2
91	в этих	3	2
92	же это	2	2
93	он был	8	2
94	не очень	2	2
95	должен был	2	2
96	он всегда	7	2
97	его в	2	2
98	нет ничего	7	2
99	и ни	2	2
100	к этой	2	2
101	никогда и	2	2
102	с его	4	2
103	к этому	2	2
104	и к	2	2
105	выше всего	2	2
106	в этот	2	2
107	для того	3	2
108	с чего	2	2
109	в другом	2	2
110	в которой	2	2
