N	2gram	Trubetskoy_1	Stilisti
1	и в	26	42
2	как бы	12	27
3	не только	10	27
4	прежде всего	2	22
5	и т.д	6	20
6	хотя бы	3	17
7	но и	9	15
8	то же	4	15
9	и не	8	14
10	может быть	10	12
11	не может	4	12
12	точки зрения	13	11
13	и как	3	10
14	что мы	2	10
15	мы должны	6	10
16	в этом	15	10
17	при этом	3	9
18	в то	4	9
19	то что	7	9
20	для того	5	9
21	все же	6	8
22	таким образом	22	8
23	с тем	18	8
24	в себе	6	8
25	и это	2	8
26	никогда не	5	7
27	и от	4	7
28	же время	2	7
29	и на	2	7
30	потому что	7	7
31	так как	9	7
32	с его	2	7
33	а не	5	7
34	того чтобы	5	7
35	мы можем	2	7
36	только в	4	7
37	в которой	3	7
38	или иной	2	6
39	не в	2	6
40	в этой	4	6
41	в свою	2	6
42	в конце	6	6
43	в нем	4	6
44	во всех	2	6
45	в процессе	2	6
46	так и	6	6
47	в области	9	6
48	уже в	2	5
49	и является	2	5
50	мы видели	2	5
51	те же	2	5
52	а в	4	5
53	и с	10	5
54	и наконец	2	5
55	же самое	2	5
56	в его	5	5
57	вместе с	15	5
58	с точки	6	5
59	самого начала	2	4
60	что это	3	4
61	что именно	2	4
62	можно сказать	3	4
63	к тому	6	4
64	с самого	3	4
65	но все	7	4
66	в качестве	3	4
67	в самом	4	4
68	той или	2	4
69	один из	2	4
70	все это	6	4
71	того что	3	4
72	так же	5	4
73	о том	6	4
74	но в	7	4
75	если бы	3	4
76	и к	5	4
77	так называемые	3	4
78	а с	7	4
79	уже не	3	4
80	то есть	4	4
81	в разных	2	3
82	или иное	2	3
83	связанных с	2	3
84	главным образом	8	3
85	в котором	4	3
86	не к	2	3
87	из них	7	3
88	жизни и	2	3
89	заключает в	2	3
90	что оно	4	3
91	лишь в	5	3
92	и даже	3	3
93	сказать что	2	3
94	и здесь	2	3
95	в начале	2	3
96	в виду	2	3
97	и все	2	3
98	в одном	3	3
99	но при	2	3
100	том что	7	3
101	еще не	2	3
102	конечно не	2	3
103	должно было	2	3
104	так называемой	2	3
105	что и	6	3
106	если не	2	3
107	и для	5	3
108	то или	2	3
109	конце концов	3	3
110	связи с	9	3
111	связанный с	2	2
112	не всегда	2	2
113	в мире	5	2
114	в том	11	2
115	тому же	5	2
116	и нет	3	2
117	для него	3	2
118	несмотря на	6	2
119	подойти к	3	2
120	не с	2	2
121	в этих	4	2
122	отношение к	5	2
123	целый ряд	4	2
124	в связи	3	2
125	в отношении	6	2
126	не было	2	2
127	этом отношении	2	2
128	все эти	6	2
129	и больше	2	2
130	его не	2	2
131	и те	3	2
132	либо в	2	2
133	в которых	4	2
134	для каждого	2	2
135	по своей	2	2
136	что эти	3	2
137	мы имеем	2	2
138	к которому	2	2
139	для всех	2	2
140	в так	4	2
141	к этому	3	2
142	связанные с	7	2
143	ясно что	3	2
144	что он	4	2
145	и при	3	2
146	должна была	2	2
147	представляет собой	3	2
148	но не	8	2
149	по своему	2	2
150	ни один	2	2
151	связано с	2	2
152	тот же	2	2
153	одной из	5	2
154	оно является	2	2
155	и потому	6	2
156	с ней	3	2
157	сих пор	5	2
158	связь с	2	2
159	в значительной	3	2
160	из которых	4	2
161	к нему	7	2
162	у них	3	2
163	тем и	2	2
164	ее с	2	2
165	которые в	2	2
