N	2gram	Propp_Isto_2	Psycholo
1	то что	12	32
2	и в	15	31
3	в том	6	30
4	и т	19	26
5	что в	12	23
6	может быть	17	22
7	таким образом	7	20
8	при помощи	2	20
9	при этом	4	19
10	совершенно ясно	2	19
11	так как	14	18
12	не может	5	17
13	как и	2	16
14	том что	7	16
15	и не	11	16
16	только в	6	14
17	а не	5	13
18	не только	18	13
19	что и	6	13
20	так же	13	12
21	мы не	3	12
22	в этом	11	12
23	могут быть	2	11
24	не в	7	11
25	на то	3	10
26	в сущности	2	10
27	того что	3	10
28	потому что	9	10
29	ни в	2	9
30	как в	5	9
31	самом деле	2	9
32	никогда не	15	8
33	вместе с	7	8
34	все это	3	8
35	показать что	2	8
36	т д	18	8
37	и что	6	8
38	что мы	3	8
39	что он	24	7
40	и его	3	7
41	того чтобы	2	7
42	тому как	3	7
43	сказать что	2	7
44	о том	3	7
45	что это	6	6
46	одной стороны	3	6
47	было бы	5	6
48	из этих	3	6
49	а в	12	6
50	что она	5	6
51	в его	6	6
52	и есть	5	5
53	показывает что	4	5
54	все же	9	5
55	так что	6	5
56	мы видим	8	5
57	с одной	4	5
58	для нас	4	5
59	она не	5	5
60	говорит что	3	5
61	как бы	6	5
62	был бы	2	5
63	оказывается что	2	5
64	другой стороны	2	5
65	и для	2	5
66	то же	10	5
67	с другой	2	5
68	подобно тому	3	5
69	как будто	3	5
70	к тому	5	4
71	в которой	2	4
72	в котором	5	4
73	и другие	4	4
74	в виду	2	4
75	прежде всего	5	4
76	и так	2	4
77	очень часто	4	4
78	в себе	4	4
79	по существу	2	4
80	чтобы понять	2	4
81	же как	5	4
82	одна из	2	4
83	мы увидим	8	4
84	у него	4	4
85	и если	2	4
86	один из	8	4
87	в этих	11	4
88	мы можем	8	4
89	как это	3	4
90	мы имеем	15	4
91	уже в	2	3
92	с тем	9	3
93	состоит в	2	3
94	его и	4	3
95	что у	2	3
96	в состоянии	3	3
97	точно так	6	3
98	представление о	2	3
99	вопрос о	4	3
100	мы знаем	11	3
101	тому же	2	3
102	но это	4	3
103	в силу	2	3
104	но не	2	3
105	до сих	6	3
106	например в	2	3
107	в этой	4	3
108	он не	8	3
109	и когда	2	3
110	сих пор	7	3
111	или его	2	3
112	так и	5	3
113	что при	5	3
114	не было	2	3
115	и по	2	3
116	той же	2	3
117	роль в	3	3
118	в которых	2	3
119	в одной	4	3
120	и только	2	3
121	с этим	5	3
122	слова в	2	3
123	что эти	4	3
124	и это	3	3
125	что эта	2	3
126	когда мы	2	3
127	но в	6	3
128	т е	29	3
129	на вопрос	2	2
130	тот кто	2	2
131	такой же	2	2
132	видели что	3	2
133	в немецкой	2	2
134	в другой	4	2
135	главным образом	2	2
136	в жизни	2	2
137	и здесь	9	2
138	и вместе	2	2
139	смысле этого	2	2
140	есть ли	2	2
141	себя и	2	2
142	представляет собой	5	2
143	что они	10	2
144	что здесь	4	2
145	в качестве	3	2
146	и может	2	2
147	когда она	3	2
148	на один	2	2
149	и их	2	2
150	в область	4	2
151	видим что	5	2
152	в него	2	2
153	в нем	7	2
154	мы видели	2	2
155	из них	2	2
156	когда он	3	2
157	но и	14	2
158	приводит к	2	2
159	в связи	5	2
160	нигде не	2	2
161	на самом	2	2
162	в себя	3	2
163	подойти к	2	2
164	тем самым	2	2
165	к чему	2	2
166	к нему	5	2
167	не обладает	3	2
168	его не	2	2
169	увидим что	3	2
170	ничего не	7	2
171	в русском	2	2
172	их в	2	2
173	и с	4	2
174	одно из	2	2
175	и то	2	2
176	это только	2	2
177	будто бы	2	2
178	его в	10	2
179	как он	3	2
180	к этой	4	2
181	в одном	5	2
182	как она	4	2
