N	2gram	Voloshinov_1	TeoriaLi
1	не только	6	18
2	и не	8	16
3	а в	2	14
4	и в	13	13
5	может быть	8	12
6	так и	3	12
7	при этом	2	11
8	в этом	2	11
9	в том	2	11
10	а не	2	10
11	и его	12	10
12	в его	7	9
13	то же	4	9
14	что в	3	8
15	своего рода	2	8
16	отношению к	3	8
17	но и	3	8
18	по отношению	3	8
19	в себе	3	7
20	том что	2	7
21	в данном	2	7
22	точки зрения	7	7
23	только в	6	7
24	лишь в	4	6
25	как бы	6	6
26	но в	4	6
27	или иного	2	5
28	а также	2	5
29	в ее	3	5
30	как и	3	5
31	не в	3	5
32	в пределах	3	5
33	в самом	2	5
34	того или	2	5
35	в нем	2	5
36	данном случае	2	5
37	как в	2	5
38	с другой	2	5
39	между тем	2	5
40	в искусстве	3	5
41	героя и	2	5
42	не менее	2	4
43	не столько	3	4
44	в своей	4	4
45	то что	6	4
46	литературного произведения	2	4
47	в их	3	4
48	и т.п	7	4
49	не может	8	4
50	и ее	2	4
51	говорить о	3	4
52	эстетический объект	7	4
53	и др	2	3
54	никогда не	3	3
55	в отношении	2	3
56	прежде всего	9	3
57	художественного произведения	5	3
58	и к	2	3
59	для него	2	3
60	мог бы	2	3
61	на две	2	3
62	во времени	2	3
63	другой стороны	2	3
64	входит в	2	3
65	таким образом	6	3
66	в другом	2	3
67	и то	3	3
68	и т.д	5	3
69	все эти	2	3
70	в произведении	2	3
71	эстетического объекта	5	3
72	если бы	2	2
73	могут быть	2	2
74	за пределы	3	2
75	на фоне	4	2
76	вовсе не	2	2
77	к тому	2	2
78	соответствии с	2	2
79	что они	2	2
80	одной стороны	2	2
81	одно и	3	2
82	вслед за	2	2
83	имеет место	2	2
84	здесь мы	3	2
85	и тем	2	2
86	в целом	2	2
87	не на	2	2
88	собственно говоря	2	2
89	и для	3	2
90	с одной	2	2
91	к одному	3	2
92	с точки	5	2
93	во всей	2	2
94	так же	2	2
95	роль в	2	2
96	в структуре	2	2
97	в чем	2	2
98	в которой	3	2
99	в области	2	2
