N	2gram	Tiupa_Narr_2	EvropaiE
1	и в	13	37
2	точки зрения	5	23
3	что в	4	21
4	не только	26	18
5	с точки	2	17
6	в то	5	16
7	хотя бы	2	15
8	то же	4	15
9	в своем	6	14
10	в качестве	14	14
11	же время	3	14
12	но и	15	14
13	и не	14	14
14	но в	6	14
15	в этом	13	12
16	в том	14	11
17	в области	2	11
18	так и	9	10
19	отнюдь не	4	9
20	прежде всего	6	9
21	не может	8	9
22	в себе	8	9
23	только в	11	9
24	так же	2	9
25	к тому	9	8
26	в ее	4	8
27	одной стороны	5	8
28	было бы	2	8
29	в своей	4	8
30	с одной	5	8
31	между тем	3	8
32	как и	4	7
33	по своему	2	7
34	того что	6	7
35	а также	6	7
36	с другой	5	7
37	с этой	3	6
38	вовсе не	2	6
39	том что	13	6
40	может быть	10	6
41	вслед за	6	6
42	на то	2	6
43	как бы	6	6
44	то что	8	6
45	того чтобы	3	6
46	и даже	3	6
47	то есть	9	6
48	же как	2	5
49	в частности	11	5
50	столь же	2	5
51	не в	8	5
52	но не	3	5
53	со стороны	6	5
54	в той	5	5
55	в течение	2	5
56	тем самым	5	5
57	и по	3	5
58	в виде	2	5
59	именно в	2	4
60	или иного	3	4
61	или иной	3	4
62	можно сказать	6	4
63	несмотря на	2	4
64	в самом	2	4
65	в ней	2	4
66	к ней	3	4
67	той или	3	4
68	в процессе	2	4
69	для нас	2	4
70	мы не	2	4
71	в направлении	2	4
72	не имеет	2	4
73	сказать что	3	4
74	тем более	2	4
75	того или	3	4
76	как это	4	4
77	мира в	4	4
78	место в	5	3
79	и к	6	3
80	этом отношении	3	3
81	никогда не	6	3
82	жизни в	6	3
83	представляет собой	16	3
84	в свою	2	3
85	как было	2	3
86	в известном	3	3
87	в культуре	2	3
88	известном смысле	3	3
89	не является	4	3
90	и тем	5	3
91	что и	2	3
92	говорит о	2	3
93	не будет	2	3
94	во второй	2	3
95	как в	5	3
96	и для	3	3
97	как на	2	3
98	в таком	3	3
99	можно было	2	3
100	в результате	2	3
101	потому что	2	3
102	существования в	2	3
103	в будущем	2	3
104	в данном	10	3
105	о том	5	3
106	всего лишь	6	3
107	мира и	3	3
108	он сам	2	2
109	и более	2	2
110	а не	17	2
111	в случае	2	2
112	в какой	4	2
113	мира не	2	2
114	и все	4	2
115	но также	2	2
116	большей части	3	2
117	исключительно в	2	2
118	же в	4	2
119	и того	3	2
120	в силу	4	2
121	должна быть	2	2
122	участие в	2	2
123	что это	4	2
124	своему характеру	2	2
125	не к	4	2
126	имеет место	2	2
127	он не	5	2
128	в его	6	2
129	в котором	5	2
130	только к	3	2
131	в мире	4	2
132	жизни и	4	2
133	данном случае	6	2
134	иначе говоря	7	2
135	а в	9	2
136	таким образом	5	2
137	если бы	4	2
138	и что	2	2
139	более чем	2	2
140	в других	2	2
141	войны и	4	2
142	в своих	2	2
143	хотя и	5	2
144	в этой	4	2
145	по своей	3	2
146	далеко не	5	2
147	между собой	3	2
148	бы в	2	2
