N	2gram	Tiupa_Anal_1	KFilosof
1	может быть	29	43
2	в его	13	39
3	в нем	3	31
4	не может	22	27
5	и не	21	26
6	по отношению	6	25
7	и в	18	22
8	в котором	3	21
9	отношению к	5	21
10	в себе	11	21
11	не есть	8	19
12	а не	17	17
13	и его	5	17
14	только в	6	16
15	точки зрения	6	13
16	в этом	13	13
17	ни в	4	12
18	для него	2	12
19	но не	10	12
20	все эти	2	11
21	в своей	6	11
22	не в	14	11
23	к нему	3	11
24	это не	6	10
25	от себя	3	10
26	с точки	4	10
27	и есть	3	9
28	в целом	5	9
29	но и	17	9
30	в их	5	9
31	как бы	5	9
32	и все	3	9
33	бытия и	2	9
34	лишь в	5	8
35	если бы	3	8
36	было бы	2	8
37	со стороны	2	8
38	на основе	2	7
39	вовсе не	2	7
40	должен быть	6	7
41	что и	3	7
42	то что	6	7
43	себя в	6	7
44	в себя	6	7
45	в том	27	6
46	отношение к	2	6
47	смысл и	3	6
48	в мире	8	6
49	отнюдь не	15	6
50	он не	3	6
51	уже не	4	6
52	мира в	2	6
53	никогда не	2	5
54	хотя бы	3	5
55	то же	9	5
56	именно в	4	5
57	должно быть	2	5
58	в основе	6	5
59	с ним	4	5
60	но в	8	5
61	как и	13	5
62	не только	15	5
63	для себя	2	5
64	ни одно	2	5
65	все же	4	5
66	мы имеем	6	5
67	времени и	6	4
68	место в	3	4
69	что в	5	4
70	ни было	4	4
71	при этом	12	4
72	между тем	5	4
73	в категориях	2	4
74	бы быть	3	4
75	том что	12	4
76	о нем	3	4
77	а в	9	4
78	тем самым	7	4
79	других людей	2	3
80	лишь при	4	3
81	того что	4	3
82	и на	5	3
83	в то	9	3
84	события в	2	3
85	того или	3	3
86	о том	5	3
87	тогда когда	2	3
88	или иного	3	3
89	не должен	2	3
90	в акте	2	3
91	могла бы	3	3
92	еще не	3	3
93	ним и	2	3
94	не могу	2	3
95	нет и	2	3
96	бы не	2	3
97	на самом	2	3
98	самом деле	2	3
99	для того	4	3
100	что не	3	3
101	вступает в	3	3
102	могут быть	4	3
103	в другом	4	3
104	здесь не	2	3
105	смысла и	3	2
106	а с	3	2
107	сознания в	4	2
108	смысла в	2	2
109	его и	2	2
110	то ни	3	2
111	принципиально не	3	2
112	прежде всего	6	2
113	вследствие этого	3	2
114	вопрос о	2	2
115	его к	2	2
116	или иной	6	2
117	и как	5	2
118	основе своей	2	2
119	эстетического субъекта	3	2
120	соответствии с	2	2
121	же время	6	2
122	он может	2	2
123	не о	2	2
124	себя и	4	2
125	по себе	4	2
126	для этого	2	2
127	как к	2	2
128	быть не	3	2
129	в принципе	8	2
130	потому что	2	2
131	может иметь	2	2
132	той или	6	2
133	героя это	2	2
134	подхода к	3	2
135	в сознании	2	2
136	я и	6	2
137	а как	2	2
138	с его	3	2
139	и то	2	2
140	думать что	2	2
141	что он	3	2
142	и того	5	2
143	не будет	3	2
144	бы то	3	2
145	в качестве	31	2
146	как предмет	4	2
147	и потому	2	2
148	этого слова	7	2
149	жизни но	2	2
150	дело не	3	2
151	научного мышления	2	2
152	в процессе	2	2
153	не остается	2	2
154	так и	4	2
155	дело с	4	2
156	сводится к	5	2
157	того чтобы	3	2
158	в данном	2	2
159	и та	2	2
160	и просто	2	2
161	в этой	5	2
162	едва ли	2	2
163	в области	4	2
