N	2gram	Savitsky_E_1	Marksizm
1	точки зрения	23	34
2	может быть	6	26
3	и не	14	26
4	не может	9	24
5	с точки	17	20
6	и в	37	19
7	таким образом	2	17
8	в этом	12	16
9	как бы	6	15
10	в процессе	4	14
11	прежде всего	9	13
12	как мы	5	13
13	как и	7	12
14	так и	10	11
15	и для	3	11
16	в самом	4	10
17	ни было	4	10
18	в результате	3	9
19	только в	9	9
20	бы то	4	8
21	но и	14	8
22	то ни	4	8
23	не только	18	8
24	то что	6	8
25	точка зрения	2	7
26	в направлении	4	7
27	так же	9	7
28	но в	14	7
29	в ее	8	7
30	во всех	6	7
31	то же	15	7
32	а не	2	7
33	в смысле	9	6
34	в том	11	6
35	в пределах	25	6
36	другой стороны	2	6
37	отнюдь не	9	6
38	того же	3	6
39	в его	2	6
40	и того	2	6
41	мы не	4	6
42	с другой	7	5
43	именно в	4	5
44	не в	5	5
45	и потому	5	5
46	и все	2	5
47	вовсе не	6	5
48	по преимуществу	2	5
49	того чтобы	6	5
50	хотя бы	15	5
51	этот вопрос	2	5
52	во всяком	3	5
53	что в	21	4
54	в отношении	32	4
55	вопрос о	4	4
56	как же	2	4
57	дело идет	2	4
58	в ней	4	4
59	не является	3	4
60	а в	2	4
61	и на	6	4
62	сказать что	4	4
63	жизни в	3	4
64	с этим	2	4
65	по себе	4	4
66	в идеологическом	2	4
67	было бы	8	4
68	не будет	3	4
69	что же	2	4
70	как в	3	4
71	для того	6	4
72	и эта	2	4
73	между ними	2	4
74	в данном	3	4
75	отношении к	15	4
76	далеко не	2	4
77	место в	3	3
78	этом отношении	3	3
79	в какой	2	3
80	и от	3	3
81	и ту	2	3
82	или иной	4	3
83	можно сказать	4	3
84	и как	2	3
85	но именно	2	3
86	в большинстве	2	3
87	же время	14	3
88	не дает	3	3
89	на язык	2	3
90	в котором	2	3
91	из них	3	3
92	этот процесс	2	3
93	того что	7	3
94	не имеет	4	3
95	с другими	2	3
96	между тем	8	3
97	в то	16	3
98	большинстве случаев	3	3
99	не могут	2	3
100	в каком	4	3
101	и к	3	3
102	том что	6	3
103	мы должны	2	3
104	одной из	5	3
105	он не	2	3
106	не есть	2	3
107	в своей	8	3
108	в истории	2	3
109	целый ряд	2	3
110	на этот	2	3
111	каких бы	2	3
112	в области	11	3
113	же как	5	2
114	независимо от	4	2
115	должна быть	2	2
116	в частности	5	2
117	никогда не	3	2
118	в своем	14	2
119	что все	2	2
120	свою очередь	2	2
121	иными словами	4	2
122	в свою	3	2
123	мог бы	2	2
124	но если	5	2
125	всяком случае	3	2
126	жизни и	2	2
127	и только	3	2
128	имеет место	2	2
129	и других	2	2
130	это так	3	2
131	во втором	2	2
132	и даже	6	2
133	можно было	3	2
134	в своих	2	2
135	с этой	6	2
136	значения для	2	2
137	о том	3	2
138	этом смысле	3	2
139	так как	7	2
140	бы в	2	2
141	и с	2	2
142	от этого	5	2
143	в процессах	2	2
144	или хотя	2	2
145	и более	2	2
146	для них	2	2
147	если бы	2	2
148	и та	2	2
149	между собой	2	2
150	эти области	6	2
151	и во	2	2
152	в себе	9	2
153	то в	4	2
154	во все	3	2
155	в качестве	14	2
156	она не	2	2
157	в данной	3	2
158	к тому	8	2
159	и этот	2	2
160	что и	3	2
161	бы и	3	2
162	и прежде	3	2
163	культуры и	2	2
164	мира и	3	2
165	в таком	3	2
166	или в	2	2
167	мы можем	3	2
168	тем что	3	2
169	могут быть	2	2
170	как оно	2	2
171	там где	3	2
