N	2gram	Vinokur_St_3	PoTuStor
1	может быть	19	17
2	и в	25	16
3	и пр	13	12
4	прежде всего	10	9
5	таким образом	10	9
6	в этом	24	9
7	и только	2	9
8	и его	3	8
9	и с	4	8
10	точки зрения	7	8
11	не может	7	8
12	с его	3	7
13	сказать что	4	7
14	не только	12	7
15	и это	5	6
16	и к	4	6
17	с точки	4	6
18	самом деле	2	6
19	для него	3	6
20	я и	3	6
21	отношение к	4	5
22	все эти	3	5
23	что такое	7	5
24	в чем	4	5
25	ни в	5	5
26	еще не	2	5
27	как бы	6	5
28	с самого	2	4
29	самого начала	2	4
30	но и	9	4
31	так и	5	4
32	все это	8	4
33	так как	3	4
34	и не	10	4
35	а потому	2	4
36	как мы	2	4
37	и ее	2	4
38	можно сказать	4	4
39	и наконец	3	4
40	и на	6	4
41	в этой	14	4
42	с ее	2	4
43	и может	2	4
44	только в	6	4
45	но в	5	4
46	в его	12	4
47	во время	3	3
48	в этих	11	3
49	что в	19	3
50	во всех	2	3
51	и др	4	3
52	могут быть	2	3
53	вместе с	2	3
54	сих пор	2	3
55	этом смысле	4	3
56	крайней мере	4	3
57	быть это	3	3
58	в том	20	3
59	а в	6	3
60	том что	15	3
61	то что	12	3
62	на этом	3	3
63	по крайней	4	3
64	в общем	4	3
65	на язык	3	3
66	в области	6	3
67	во всяком	4	3
68	до сих	2	3
69	всяком случае	4	3
70	не менее	2	2
71	ее в	2	2
72	нет и	2	2
73	этих трех	2	2
74	один из	2	2
75	в развитии	2	2
76	никогда не	2	2
77	что не	2	2
78	для этого	2	2
79	в них	5	2
80	того же	2	2
81	с этой	3	2
82	из этих	6	2
83	с этим	7	2
84	в жизни	4	2
85	то же	5	2
86	к этому	3	2
87	и других	2	2
88	что он	19	2
89	мы не	2	2
90	что мы	3	2
91	у него	9	2
92	и по	2	2
93	и для	4	2
94	как и	4	2
95	на основе	2	2
96	мы видим	4	2
97	но это	4	2
98	есть в	2	2
99	не на	2	2
100	он не	5	2
101	при всей	2	2
102	между собою	2	2
103	в каком	4	2
104	говорить о	3	2
105	в начале	4	2
106	на протяжении	4	2
107	было бы	7	2
108	что это	16	2
109	о том	8	2
110	в самом	2	2
111	но как	2	2
112	в своей	4	2
113	можно назвать	4	2
114	себя и	2	2
115	цели и	2	2
