N	3gram	Vygotskiy__5	Dialekti
1	и т д	3	15
2	с точки зрения	2	8
3	в том что	14	6
4	о том что	6	4
5	одно и то	3	4
6	и то же	3	4
7	с другой стороны	5	4
8	в самом деле	5	3
9	сам по себе	3	3
10	может быть и	2	3
11	по себе не	2	3
12	что иное как	2	3
13	сами по себе	2	3
14	можно сказать что	2	3
15	не что иное	2	3
16	не может быть	2	3
17	принять во внимание	2	3
18	с самого начала	3	2
19	в данном случае	2	2
20	в зависимости от	6	2
21	иметь в виду	3	2
22	так как это	3	2
23	не только в	2	2
24	то же самое	3	2
25	не в состоянии	3	2
26	и т п	3	2
27	само по себе	2	2
28	до сих пор	5	2
29	потому что он	2	2
