N	3gram	Vinokur_Ku_3	Psycholo
1	для того чтобы	11	19
2	в том что	8	14
3	с одной стороны	4	12
4	в зависимости от	7	6
5	о том что	3	6
6	в самом деле	11	5
7	до сих пор	8	5
8	совершенно ясно что	2	5
9	с другой стороны	3	5
10	а с другой	3	4
11	сам по себе	3	3
12	одним и тем	2	3
13	и тем же	2	3
14	и т д	8	3
15	можно было бы	10	3
16	и т п	41	3
17	бы сказать что	3	2
18	тех пор пока	4	2
19	одного и того	2	2
20	в данном случае	4	2
21	в отличие от	2	2
22	и того же	2	2
23	той или иной	5	2
24	и в самом	4	2
25	принять во внимание	2	2
26	с точки зрения	16	2
27	не может быть	3	2
28	до тех пор	4	2
29	не только в	3	2
30	на самом деле	3	2
31	потому что в	2	2
32	в том чтобы	3	2
33	зависимости от того	3	2
34	в этом случае	4	2
