N	2gram	Bakhtin_fo_2	VelikijI
1	и не	9	20
2	и в	46	16
3	то что	7	9
4	так как	6	9
5	еще не	6	8
6	в истории	4	8
7	что они	4	7
8	и потому	2	7
9	на земле	2	7
10	а не	4	7
11	человека и	4	6
12	бога и	2	5
13	в мире	4	5
14	хотя и	3	5
15	как бы	10	5
16	но и	9	5
17	все это	6	5
18	того что	3	5
19	и есть	2	4
20	что все	2	4
21	в образе	4	4
22	что он	3	4
23	в нем	5	4
24	как и	8	4
25	все что	2	4
26	в котором	4	4
27	так и	7	4
28	потому что	8	4
29	в этом	22	4
30	говорить о	2	4
31	и все	6	4
32	в его	8	4
33	если не	2	3
34	что в	5	3
35	в этих	3	3
36	в них	7	3
37	в конце	2	3
38	в том	10	3
39	не в	9	3
40	но это	2	3
41	тот же	3	3
42	к тому	3	3
43	во всех	11	3
44	этого мира	2	3
45	никогда не	6	3
46	что и	3	3
47	жизни и	8	3
48	не было	3	3
49	и они	3	3
50	лишь в	2	3
51	и для	9	3
52	должно быть	5	3
53	их в	4	3
54	от этого	2	3
55	все эти	5	3
56	но в	10	3
57	до того	2	2
58	с тем	2	2
59	на нас	3	2
60	это не	2	2
61	в прошлом	3	2
62	в духе	2	2
63	прежде всего	14	2
64	что было	3	2
65	ее и	2	2
66	том что	4	2
67	но не	5	2
68	в последнем	2	2
69	конечно не	4	2
70	для него	3	2
71	того чтобы	8	2
72	и во	6	2
73	не только	11	2
74	нет и	3	2
75	не могли	3	2
76	один из	2	2
77	и т	14	2
78	ее в	3	2
79	всего в	3	2
80	в форме	3	2
81	т д	3	2
82	тем что	3	2
83	в себя	2	2
84	над ними	2	2
85	уже не	3	2
86	а в	3	2
87	с ним	4	2
88	людей и	2	2
89	могут быть	2	2
90	только в	11	2
91	и это	2	2
92	во всяком	2	2
93	мира в	3	2
