N	3gram	Vinokur_Vv_1	Psycholo
1	в том что	12	17
2	для того чтобы	21	13
3	в самом деле	5	11
4	с точки зрения	2	10
5	заключается в том	3	10
6	не может быть	8	8
7	и т п	5	8
8	то же самое	2	6
9	в этом отношении	3	5
10	до сих пор	5	5
11	только в том	2	4
12	в данном случае	4	4
13	и в самом	3	4
14	о том что	12	4
15	и той же	2	4
16	можно было бы	3	4
17	одной и той	2	4
18	тем не менее	8	4
19	в конце концов	2	3
20	само по себе	3	3
21	в том виде	3	3
22	в том чтобы	5	3
23	точно так же	2	3
24	с тем что	3	3
25	по сравнению с	3	2
26	то же время	5	2
27	же самое что	2	2
28	состоит в том	2	2
29	и в том	3	2
30	во всяком случае	3	2
31	в то же	5	2
32	и то что	2	2
33	на этот вопрос	3	2
34	имеет дело с	2	2
35	и т д	37	2
36	не в том	2	2
37	с другой стороны	5	2
