N	2gram	Vygotskiy__1	KFilosof
1	может быть	22	43
2	в его	6	39
3	в нем	2	31
4	не может	17	27
5	и не	16	26
6	и в	31	22
7	в котором	4	21
8	в себе	4	21
9	не есть	3	19
10	в ее	5	17
11	а не	13	17
12	и его	7	17
13	только в	14	16
14	точки зрения	15	13
15	в этом	12	13
16	ни в	9	12
17	но не	3	12
18	и это	3	12
19	в своей	3	11
20	не в	11	11
21	к нему	2	11
22	в своем	3	10
23	все это	8	10
24	от себя	4	10
25	с точки	2	10
26	и есть	5	9
27	в целом	5	9
28	но и	2	9
29	как бы	5	9
30	и все	5	9
31	и для	5	9
32	не было	3	8
33	если бы	6	8
34	было бы	6	8
35	жизни и	3	8
36	со стороны	4	8
37	на основе	2	7
38	и здесь	2	7
39	во всем	3	7
40	вовсе не	6	7
41	что и	13	7
42	то что	32	7
43	в себя	2	7
44	в том	30	6
45	но это	3	6
46	отношение к	2	6
47	и только	3	6
48	отнюдь не	6	6
49	совершенно не	5	6
50	и их	2	6
51	он не	3	6
52	уже не	2	6
53	никогда не	8	5
54	ее и	2	5
55	то же	5	5
56	в основе	2	5
57	но как	2	5
58	его в	2	5
59	с ним	2	5
60	но в	3	5
61	как и	16	5
62	что я	4	5
63	не только	13	5
64	все же	5	5
65	мы имеем	4	5
66	там где	4	5
67	что в	23	4
68	для нас	5	4
69	при этом	19	4
70	к ним	2	4
71	в своих	4	4
72	между тем	4	4
73	могло бы	4	4
74	в одном	2	4
75	быть в	2	4
76	том что	16	4
77	а в	6	4
78	тем самым	2	4
79	в каком	2	4
80	в чем	2	4
81	бы и	2	3
82	независимо от	2	3
83	должна быть	3	3
84	что это	6	3
85	не менее	2	3
86	в каждом	3	3
87	из его	3	3
88	не дает	2	3
89	до конца	6	3
90	в виду	4	3
91	был бы	5	3
92	и тем	2	3
93	от того	3	3
94	нигде не	2	3
95	того что	10	3
96	и совершенно	5	3
97	в то	5	3
98	о том	7	3
99	мы не	12	3
100	тогда когда	5	3
101	этом смысле	2	3
102	ясно что	19	3
103	не быть	2	3
104	от него	2	3
105	на самом	2	3
106	может дать	2	3
107	самом деле	9	3
108	для того	6	3
109	к чему	2	3
110	могут быть	11	3
111	ничего не	2	3
112	слова в	3	2
113	или иное	2	2
114	можно ли	2	2
115	его и	3	2
116	та же	3	2
117	прежде всего	4	2
118	вопрос о	3	2
119	тем не	2	2
120	себе а	3	2
121	и как	2	2
122	это есть	5	2
123	совсем не	3	2
124	себя и	2	2
125	в него	2	2
126	поскольку она	2	2
127	по себе	9	2
128	тому что	4	2
129	что есть	2	2
130	как к	2	2
131	мышления и	3	2
132	и других	3	2
133	отказаться от	2	2
134	ее от	3	2
135	потому что	10	2
136	в сознании	2	2
137	что только	2	2
138	и то	2	2
139	с тем	3	2
140	что эта	3	2
141	в жизни	2	2
142	к этому	4	2
143	что он	7	2
144	целом не	2	2
145	не будет	3	2
146	в качестве	2	2
147	ли это	2	2
148	тот же	2	2
149	и может	2	2
150	и тот	2	2
151	со всеми	4	2
152	или иным	2	2
153	и когда	3	2
154	и потому	2	2
155	этого слова	4	2
156	в процессе	5	2
157	так и	3	2
158	как в	9	2
159	дело с	3	2
160	это только	2	2
161	это и	3	2
162	того чтобы	7	2
163	то или	2	2
164	это можно	2	2
165	в этой	3	2
166	стал бы	2	2
167	или как	2	2
168	в области	11	2
