N	2gram	Ircho_Kome_3	formyVre
1	и в	22	50
2	в этом	8	25
3	в нем	3	24
4	человека в	2	17
5	и его	6	16
6	прежде всего	5	15
7	и не	21	14
8	как мы	2	14
9	вовсе не	4	13
10	как раз	6	13
11	в его	8	13
12	по существу	2	12
13	так и	4	12
14	человека и	2	11
15	может быть	6	11
16	таким образом	12	11
17	то же	7	11
18	но в	5	10
19	в конце	7	9
20	в том	12	9
21	же время	5	9
22	в других	3	9
23	в то	6	9
24	не только	5	9
25	с его	3	9
26	роль в	2	9
27	ничего не	3	9
28	в самом	9	8
29	и т	4	8
30	но и	4	8
31	и на	2	8
32	как и	3	8
33	того же	6	8
34	ни в	10	8
35	т п	4	8
36	не было	2	7
37	и во	2	7
38	все же	4	6
39	в частности	3	6
40	это не	2	6
41	в их	2	6
42	не может	3	6
43	так же	4	6
44	в результате	2	6
45	так как	11	6
46	у него	4	6
47	с этим	3	6
48	и все	2	6
49	связи с	5	6
50	во всех	2	6
51	то что	4	6
52	в ее	3	6
53	как в	2	6
54	что в	5	5
55	в образе	2	5
56	не в	4	5
57	в пределах	2	5
58	до нас	4	5
59	в связи	4	5
60	время как	2	5
61	в основе	2	5
62	точки зрения	4	5
63	но все	4	5
64	если бы	8	5
65	отнюдь не	4	5
66	еще не	6	5
67	наряду с	2	5
68	он не	5	5
69	отношению к	3	5
70	и речи	4	5
71	того чтобы	6	5
72	для того	6	5
73	в своем	8	4
74	до конца	4	4
75	в котором	2	4
76	могло быть	2	4
77	все это	5	4
78	не имеет	3	4
79	потому что	10	4
80	и с	4	4
81	в ней	4	4
82	к себе	5	4
83	нет ничего	2	4
84	между собой	4	4
85	в них	3	4
86	в присутствии	2	4
87	то время	2	4
88	античной литературы	2	4
89	конечно не	3	4
90	раз в	2	4
91	том что	13	4
92	и для	4	4
93	и это	2	4
94	здесь не	2	4
95	не могут	2	3
96	себя и	2	3
97	в отношении	4	3
98	к тому	6	3
99	с тем	4	3
100	при этом	7	3
101	хотя и	5	3
102	в виду	2	3
103	здесь нет	4	3
104	один из	3	3
105	по отношению	5	3
106	отношения к	2	3
107	этом отношении	2	3
108	с одной	3	3
109	друг друга	4	3
110	а в	7	3
111	их в	3	3
112	в начале	3	3
113	его в	8	3
114	в одном	2	3
115	а как	2	3
116	был бы	2	3
117	не знает	3	3
118	к этому	6	3
119	к концу	2	3
120	в качестве	2	3
121	одной из	3	3
122	в сущности	2	3
123	что и	8	3
124	вместе с	9	3
125	сих пор	9	3
126	а не	4	3
127	что не	3	3
128	между ними	2	3
129	мы не	2	3
130	в таком	2	3
131	с другими	2	3
132	во всяком	3	3
133	и ее	2	3
134	в себе	4	3
135	до сих	9	3
136	уже в	2	2
137	самого начала	4	2
138	чувствует себя	2	2
139	никогда не	3	2
140	в течение	3	2
141	с другой	4	2
142	само собой	4	2
143	разумеется что	2	2
144	его от	2	2
145	тому же	6	2
146	с самого	4	2
147	в глаза	3	2
148	в свою	7	2
149	одной стороны	3	2
150	не о	3	2
151	в целом	3	2
152	отношение к	5	2
153	на них	3	2
154	к своему	2	2
155	с помощью	4	2
156	и даже	3	2
157	к ним	3	2
158	в которых	5	2
159	и еще	3	2
160	что мы	2	2
161	как он	3	2
162	с ним	5	2
163	в дом	14	2
164	не является	4	2
165	сравнению с	2	2
166	здесь и	2	2
167	не как	2	2
168	ясно что	6	2
169	стороны и	2	2
170	и к	3	2
171	об этом	7	2
172	чем в	3	2
173	равно как	2	2
174	было бы	3	2
175	начиная от	2	2
176	к ней	8	2
177	а также	2	2
178	нет и	4	2
179	по сравнению	2	2
180	в своей	5	2
181	как бы	3	2
182	даже не	3	2
183	совершенно не	2	2
184	не зная	3	2
185	если мы	2	2
186	с точки	3	2
187	хотя бы	4	2
188	в которой	3	2
189	на своей	2	2
190	собой разумеется	2	2
191	тем что	5	2
192	на себя	4	2
193	его на	2	2
194	далеко не	3	2
195	отличие от	2	2
